Pos,ID,Name,BV,SV,Team,32_xMins,33_xMins,34_xMins,35_xMins,36_xMins,37_xMins,38_xMins,32_eo,33_eo,34_eo,35_eo,36_eo,37_eo,38_eo
G,1,Raya,6.0,6.0,Arsenal,89.10,89.10,89.10,89.10,89.10,89.10,89.10,0.63,0.66,0.33,0.68,0.66,0.73,0.76
G,2,Arrizabalaga,4.0,4.0,Arsenal,1.20,1.20,1.20,1.20,1.20,1.20,1.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G,4,Setford,3.9,3.9,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,5,Gabriel,7.2,7.2,Arsenal,85.65,85.65,85.65,85.65,85.65,85.65,85.65,1.02,1.04,0.69,1.08,0.95,1.16,1.05
D,6,Saliba,6.1,6.1,Arsenal,85.65,85.65,85.65,85.65,85.65,85.65,85.65,0.02,0.02,0.00,0.01,0.00,0.00,0.01
D,7,Calafiori,5.6,5.6,Arsenal,73.50,73.50,22.20,22.20,22.20,22.20,22.20,0.00,0.00,0.00,0.00,0.01,0.01,0.00
D,8,J.Timber,6.3,6.3,Arsenal,25.20,84.00,84.00,84.00,84.00,84.00,84.00,0.42,0.46,0.15,0.47,0.43,0.49,0.46
D,10,Lewis-Skelly,5.0,5.0,Arsenal,30.60,30.60,9.45,9.45,9.45,9.45,9.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,11,White,5.1,5.1,Arsenal,67.80,4.65,4.65,4.65,4.65,4.65,4.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,13,Clarke,3.7,3.7,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,15,Nichols,3.7,3.7,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,16,Saka,9.8,9.8,Arsenal,19.80,77.10,77.10,77.10,77.10,77.10,77.10,0.04,0.03,0.00,0.02,0.00,0.00,0.02
M,17,Ødegaard,7.8,7.8,Arsenal,52.80,52.80,52.80,52.80,52.80,52.80,52.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,18,Madueke,6.8,6.8,Arsenal,45.45,26.40,26.40,26.40,26.40,26.40,26.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,19,Martinelli,6.8,6.8,Arsenal,33.75,19.20,19.20,19.20,19.20,19.20,19.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,20,Trossard,6.5,6.5,Arsenal,60.60,60.60,60.60,60.60,60.60,60.60,60.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,21,Rice,7.3,7.3,Arsenal,84.00,84.00,84.00,84.00,84.00,84.00,84.00,0.45,0.46,0.14,0.45,0.40,0.43,0.40
