Team,League (2024-25),Off Score,Def Score,Fin Score,Final Rating
Manchester City,Premier League,80.73,66.27,50,137.3
Liverpool,Premier League,83.89,58.25,40.07,131.93
Arsenal,Premier League,70.59,69.05,48.53,130.52
Chelsea,Premier League,65.85,52.3,43.75,110.72
Newcastle,Premier League,65.51,47.83,24.35,104.44
Tottenham Hotspur,Premier League,65.82,42.59,30.47,100.62
Brighton,Premier League,58.47,48.8,21.81,98.72
Aston Villa,Premier League,58.81,45.78,20.17,96.15
Bournemouth,Premier League,57.56,46.9,15.99,95.61
Brentford,Premier League,59.08,44.74,14.2,94.86
Manchester United,Premier League,56.77,45.23,30.22,94.82
Fulham,Premier League,53.85,47.09,12.17,92.07
Crystal Palace,Premier League,51.82,47.88,16.79,91.41
Nottingham Forest,Premier League,50.01,47.32,16.38,89.24
Everton,Premier League,46.38,47.57,10.72,85.62
Leeds,Premier League,49.16,43.74,10.23,84.38
West Ham,Premier League,51.26,40.89,13.39,84.27
Wolves,Premier League,46.92,42.98,11.78,82.09
Leicester,Championship,48.37,40.58,0.27,80.08
Ipswich,Championship,47.02,38.22,0.26,76.74
Sunderland,Premier League,37.57,45.25,8.77,75.2
West Brom,Championship,39.62,43.93,0.07,75.2
Middlesbrough,Championship,42.97,39.68,0.12,74.39
Coventry,Championship,42.13,39.6,0.11,73.56
Southampton,Championship,44.17,36.28,0.28,72.44
Norwich,Championship,40.62,35.88,0.1,68.86
Burnley,Premier League,36.4,39.23,7.51,68.63
Millwall,Championship,33.3,42.71,0.02,68.41
Blackburn,Championship,36.48,38.81,0.04,67.76
Swansea,Championship,37.18,37.36,0.04,67.08
Bristol City,Championship,36.59,37.75,0.05,66.91
Hull,Championship,33.46,39.86,0.05,65.98
Sheffield Wednesday,Championship,37.12,36.11,0.01,65.9
Sheffield United,Championship,36.75,35.14,0.17,64.71
Derby,Championship,30.93,40.28,0,64.09
QPR,Championship,32.57,37.81,0.04,63.35
Preston,Championship,32.08,38.2,0.03,63.26
Stoke,Championship,33.45,36.49,0.04,62.95
Watford,Championship,34.83,35.08,0.06,62.92
Portsmouth,Championship,34.7,31.74,0,59.79
Luton,Championship,34.2,32.01,0.06,59.59
Cardiff,Championship,31.96,33.77,0.03,59.16
Oxford,Championship,30.28,33.22,0,57.15
Plymouth,Championship,31.36,27.23,0.01,52.73
