Pos,ID,Name,BV,SV,Team,36_xMins,37_xMins,38_xMins,36_Pts,37_Pts,38_Pts
G,1,Raya,6.1,6.1,Arsenal,89.10,89.10,89.10,3.42,4.07,3.87
G,2,Arrizabalaga,4.0,4.0,Arsenal,1.20,1.20,1.20,0.04,0.05,0.05
G,4,Setford,3.9,3.9,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00
D,5,Gabriel,7.2,7.2,Arsenal,85.05,85.05,85.05,4.65,5.79,5.28
D,6,Saliba,6.1,6.1,Arsenal,85.05,85.05,85.05,3.64,4.60,4.19
D,7,Calafiori,5.6,5.6,Arsenal,39.30,39.30,39.30,2.01,2.55,2.15
D,8,J.Timber,6.0,6.0,Arsenal,23.40,46.05,78.15,1.17,3.03,4.35
D,10,Lewis-Skelly,5.0,5.0,Arsenal,16.20,16.20,16.20,0.68,0.83,0.72
D,11,White,5.1,5.1,Arsenal,43.50,35.40,9.45,2.18,2.24,0.50
D,13,Clarke,3.7,3.7,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00
D,15,Nichols,3.7,3.7,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00
M,16,Saka,9.8,9.8,Arsenal,66.60,66.60,66.60,4.55,6.08,4.34
M,17,Ødegaard,7.8,7.8,Arsenal,59.70,59.70,59.70,2.99,3.83,2.94
M,18,Madueke,6.8,6.8,Arsenal,34.65,34.65,34.65,2.01,2.56,1.93
M,19,Martinelli,6.8,6.8,Arsenal,33.45,33.45,33.45,1.99,2.60,1.90
M,20,Trossard,6.5,6.5,Arsenal,23.55,23.55,23.55,1.40,1.83,1.34
M,21,Rice,7.2,7.2,Arsenal,78.15,78.15,78.15,4.24,5.39,4.21
M,22,Merino,5.4,5.4,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00
M,24,Nørgaard,5.1,5.1,Arsenal,6.00,6.00,6.00,0.24,0.26,0.23
M,26,Zubimendi,5.0,5.0,Arsenal,76.80,76.80,76.80,3.01,3.60,3.05
M,27,Nelson,4.8,4.8,Brentford,7.50,7.50,7.50,0.35,0.45,0.36
