team,team_id,season,league,wins,draws,loses,scored,missed,pts,xG,xGA,npxG,npxGA,deep,deep_allowed,xpts
Bayern Munich,117,2014,Bundesliga,,,,,,,,,,,,,
Hamburger SV,118,2014,Bundesliga,,,,,,,,,,,,,
Bayer Leverkusen,119,2014,Bundesliga,,,,,,,,,,,,,
Hoffenheim,120,2014,Bundesliga,,,,,,,,,,,,,
Augsburg,121,2014,Bundesliga,,,,,,,,,,,,,
Hertha Berlin,122,2014,Bundesliga,,,,,,,,,,,,,
Werder Bremen,123,2014,Bundesliga,,,,,,,,,,,,,
Schalke 04,124,2014,Bundesliga,,,,,,,,,,,,,
Mainz 05,125,2014,Bundesliga,,,,,,,,,,,,,
Hannover 96,128,2014,Bundesliga,,,,,,,,,,,,,
Borussia Dortmund,129,2014,Bundesliga,,,,,,,,,,,,,
Borussia M.Gladbach,130,2014,Bundesliga,,,,,,,,,,,,,
Wolfsburg,131,2014,Bundesliga,,,,,,,,,,,,,
Eintracht Frankfurt,132,2014,Bundesliga,,,,,,,,,,,,,
VfB Stuttgart,133,2014,Bundesliga,,,,,,,,,,,,,
FC Cologne,134,2014,Bundesliga,,,,,,,,,,,,,
Freiburg,135,2014,Bundesliga,,,,,,,,,,,,,
Paderborn,205,2014,Bundesliga,,,,,,,,,,,,,
