id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
5455,True,h,"{'id': '130', 'title': 'Borussia M.Gladbach', 'short_title': 'BMG'}","{'id': '133', 'title': 'VfB Stuttgart', 'short_title': 'STU'}","{'h': '1', 'a': '1'}","{'h': '2.40939', 'a': '0.433199'}",2014-08-24 16:30:00,"{'w': 0.8133743069312782, 'd': 0.1369354226839348, 'l': 0.049690227150022685}",d,Borussia M.Gladbach,2014,Bundesliga
5464,True,a,"{'id': '135', 'title': 'Freiburg', 'short_title': 'FRE'}","{'id': '130', 'title': 'Borussia M.Gladbach', 'short_title': 'BMG'}","{'h': '0', 'a': '0'}","{'h': '1.30113', 'a': '0.321709'}",2014-08-31 16:30:00,"{'w': 0.6202405048843954, 'd': 0.2889970789810676, 'l': 0.09076241612279166}",d,Borussia M.Gladbach,2014,Bundesliga
5417,True,h,"{'id': '130', 'title': 'Borussia M.Gladbach', 'short_title': 'BMG'}","{'id': '124', 'title': 'Schalke 04', 'short_title': 'SCH'}","{'h': '4', 'a': '1'}","{'h': '3.37955', 'a': '1.81788'}",2014-09-13 17:30:00,"{'w': 0.6776614178936751, 'd': 0.14501666396308416, 'l': 0.17731909872115117}",w,Borussia M.Gladbach,2014,Bundesliga
5428,True,a,"{'id': '134', 'title': 'FC Cologne', 'short_title': 'COL'}","{'id': '130', 'title': 'Borussia M.Gladbach', 'short_title': 'BMG'}","{'h': '0', 'a': '0'}","{'h': '0.551855', 'a': '0.772177'}",2014-09-21 16:30:00,"{'w': 0.23653030774800116, 'd': 0.3921022397523944, 'l': 0.3713674524995968}",d,Borussia M.Gladbach,2014,Bundesliga
5435,True,h,"{'id': '130', 'title': 'Borussia M.Gladbach', 'short_title': 'BMG'}","{'id': '118', 'title': 'Hamburger SV', 'short_title': 'HAM'}","{'h': '1', 'a': '0'}","{'h': '2.38906', 'a': '0.560569'}",2014-09-24 19:00:00,"{'w': 0.7813139084700383, 'd': 0.14975946527626752, 'l': 0.06892658745408878}",w,Borussia M.Gladbach,2014,Bundesliga
5443,True,a,"{'id': '205', 'title': 'Paderborn', 'short_title': 'PAD'}","{'id': '130', 'title': 'Borussia M.Gladbach', 'short_title': 'BMG'}","{'h': '1', 'a': '2'}","{'h': '1.5747', 'a': '1.43504'}",2014-09-27 14:30:00,"{'w': 0.40968768100815167, 'd': 0.2419153101557011, 'l': 0.348397008631762}",w,Borussia M.Gladbach,2014,Bundesliga
5391,True,h,"{'id': '130', 'title': 'Borussia M.Gladbach', 'short_title': 'BMG'}","{'id': '125', 'title': 'Mainz 05', 'short_title': 'MAI'}","{'h': '1', 'a': '1'}","{'h': '1.66132', 'a': '1.10201'}",2014-10-05 16:30:00,"{'w': 0.5041993085840979, 'd': 0.24350698686684605, 'l': 0.2522937042197329}",d,Borussia M.Gladbach,2014,Bundesliga
5394,True,a,"{'id': '128', 'title': 'Hannover 96', 'short_title': 'HAN'}","{'id': '130', 'title': 'Borussia M.Gladbach', 'short_title': 'BMG'}","{'h': '0', 'a': '3'}","{'h': '0.558311', 'a': '1.61826'}",2014-10-18 14:30:00,"{'w': 0.12494491758073545, 'd': 0.2415208135215608, 'l': 0.6335342686673382}",w,Borussia M.Gladbach,2014,Bundesliga
5409,True,h,"{'id': '130', 'title': 'Borussia M.Gladbach', 'short_title': 'BMG'}","{'id': '117', 'title': 'Bayern Munich', 'short_title': 'BAY'}","{'h': '0', 'a': '0'}","{'h': '0.648384', 'a': '1.2047'}",2014-10-26 16:30:00,"{'w': 0.19942188472097488, 'd': 0.30528365017823944, 'l': 0.49529446509673625}",d,Borussia M.Gladbach,2014,Bundesliga
5353,True,h,"{'id': '130', 'title': 'Borussia M.Gladbach', 'short_title': 'BMG'}","{'id': '120', 'title': 'Hoffenheim', 'short_title': 'HOF'}","{'h': '3', 'a': '1'}","{'h': '2.46276', 'a': '0.646539'}",2014-11-02 14:30:00,"{'w': 0.7728410057830628, 'd': 0.14952427448301525, 'l': 0.07763466257967319}",w,Borussia M.Gladbach,2014,Bundesliga
5364,True,a,"{'id': '129', 'title': 'Borussia Dortmund', 'short_title': 'DOR'}","{'id': '130', 'title': 'Borussia M.Gladbach', 'short_title': 'BMG'}","{'h': '1', 'a': '0'}","{'h': '2.28053', 'a': '0.0335359'}",2014-11-09 16:30:00,"{'w': 0.8899336688855528, 'd': 0.10656493795451567, 'l': 0.0035013717941186277}",l,Borussia M.Gladbach,2014,Bundesliga
5367,True,h,"{'id': '130', 'title': 'Borussia M.Gladbach', 'short_title': 'BMG'}","{'id': '132', 'title': 'Eintracht Frankfurt', 'short_title': 'EIN'}","{'h': '1', 'a': '3'}","{'h': '0.595484', 'a': '1.73996'}",2014-11-22 14:30:00,"{'w': 0.12209058452263692, 'd': 0.22619284267784326, 'l': 0.6517165721891909}",l,Borussia M.Gladbach,2014,Bundesliga
5381,True,a,"{'id': '131', 'title': 'Wolfsburg', 'short_title': 'WOL'}","{'id': '130', 'title': 'Borussia M.Gladbach', 'short_title': 'BMG'}","{'h': '1', 'a': '0'}","{'h': '1.69265', 'a': '0.606945'}",2014-11-30 14:30:00,"{'w': 0.637728680618207, 'd': 0.23302977047251244, 'l': 0.12924154848747482}",l,Borussia M.Gladbach,2014,Bundesliga
5313,True,h,"{'id': '130', 'title': 'Borussia M.Gladbach', 'short_title': 'BMG'}","{'id': '122', 'title': 'Hertha Berlin', 'short_title': 'HER'}","{'h': '3', 'a': '2'}","{'h': '1.82786', 'a': '1.42138'}",2014-12-06 14:30:00,"{'w': 0.47200311214321417, 'd': 0.2274162232664854, 'l': 0.3005806633729198}",w,Borussia M.Gladbach,2014,Bundesliga
