id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
5451,True,a,"{'id': '132', 'title': 'Eintracht Frankfurt', 'short_title': 'EIN'}","{'id': '135', 'title': 'Freiburg', 'short_title': 'FRE'}","{'h': '1', 'a': '0'}","{'h': '1.75331', 'a': '1.38084'}",2014-08-23 14:30:00,"{'w': 0.4635145319124825, 'd': 0.2327656999115322, 'l': 0.3037197674733637}",l,Freiburg,2014,Bundesliga
5464,True,h,"{'id': '135', 'title': 'Freiburg', 'short_title': 'FRE'}","{'id': '130', 'title': 'Borussia M.Gladbach', 'short_title': 'BMG'}","{'h': '0', 'a': '0'}","{'h': '1.30113', 'a': '0.321709'}",2014-08-31 16:30:00,"{'w': 0.6202405048843954, 'd': 0.2889970789810676, 'l': 0.09076241612279166}",d,Freiburg,2014,Bundesliga
5414,True,a,"{'id': '129', 'title': 'Borussia Dortmund', 'short_title': 'DOR'}","{'id': '135', 'title': 'Freiburg', 'short_title': 'FRE'}","{'h': '3', 'a': '1'}","{'h': '1.71642', 'a': '0.261915'}",2014-09-13 14:30:00,"{'w': 0.7411928875607049, 'd': 0.2078192392453718, 'l': 0.05098787268535804}",l,Freiburg,2014,Bundesliga
5420,True,h,"{'id': '135', 'title': 'Freiburg', 'short_title': 'FRE'}","{'id': '122', 'title': 'Hertha Berlin', 'short_title': 'HER'}","{'h': '2', 'a': '2'}","{'h': '0.869782', 'a': '0.285542'}",2014-09-19 19:30:00,"{'w': 0.4849233066978551, 'd': 0.3981705178409471, 'l': 0.11690617546115618}",d,Freiburg,2014,Bundesliga
5429,True,a,"{'id': '120', 'title': 'Hoffenheim', 'short_title': 'HOF'}","{'id': '135', 'title': 'Freiburg', 'short_title': 'FRE'}","{'h': '3', 'a': '3'}","{'h': '1.81502', 'a': '2.44871'}",2014-09-23 19:00:00,"{'w': 0.28686787377136325, 'd': 0.19184897703537615, 'l': 0.5212830949786804}",d,Freiburg,2014,Bundesliga
5439,True,h,"{'id': '135', 'title': 'Freiburg', 'short_title': 'FRE'}","{'id': '119', 'title': 'Bayer Leverkusen', 'short_title': 'LEV'}","{'h': '0', 'a': '0'}","{'h': '0.722358', 'a': '1.17679'}",2014-09-27 14:30:00,"{'w': 0.2263634727994277, 'd': 0.3066849109140463, 'l': 0.4669516162835988}",d,Freiburg,2014,Bundesliga
5384,True,a,"{'id': '123', 'title': 'Werder Bremen', 'short_title': 'WER'}","{'id': '135', 'title': 'Freiburg', 'short_title': 'FRE'}","{'h': '1', 'a': '1'}","{'h': '1.21503', 'a': '1.03746'}",2014-10-04 14:30:00,"{'w': 0.40130405138676345, 'd': 0.28576675291786663, 'l': 0.3129291956903092}",d,Freiburg,2014,Bundesliga
5395,True,h,"{'id': '135', 'title': 'Freiburg', 'short_title': 'FRE'}","{'id': '131', 'title': 'Wolfsburg', 'short_title': 'WOL'}","{'h': '1', 'a': '2'}","{'h': '1.00939', 'a': '1.45969'}",2014-10-18 14:30:00,"{'w': 0.261255796641193, 'd': 0.263610484974594, 'l': 0.4751337183270158}",l,Freiburg,2014,Bundesliga
5403,True,a,"{'id': '121', 'title': 'Augsburg', 'short_title': 'AUG'}","{'id': '135', 'title': 'Freiburg', 'short_title': 'FRE'}","{'h': '2', 'a': '0'}","{'h': '2.2412', 'a': '0.909372'}",2014-10-25 14:30:00,"{'w': 0.6751348394858543, 'd': 0.18605317050389192, 'l': 0.13881197293930073}",l,Freiburg,2014,Bundesliga
5354,True,a,"{'id': '134', 'title': 'FC Cologne', 'short_title': 'COL'}","{'id': '135', 'title': 'Freiburg', 'short_title': 'FRE'}","{'h': '0', 'a': '1'}","{'h': '0.375065', 'a': '1.46003'}",2014-11-02 16:30:00,"{'w': 0.09300041320866767, 'd': 0.2597136290224581, 'l': 0.6472859577118384}",w,Freiburg,2014,Bundesliga
