id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,team,season,league
173,Pierre-Michel Lasogga,26,1862,4,5.359029703773558,0,2.1310444278642535,66,14,2,0,F S,Hamburger SV,4,5.359029703773558,7.976521482691169,1.3819416109472513,Hamburger SV,2014,Bundesliga
2153,Rafael van der Vaart,24,1653,4,4.405372489243746,1,1.8889536829665303,33,30,10,0,M S,Hamburger SV,1,2.1320415176451206,3.920925852842629,1.9249623836949468,Hamburger SV,2014,Bundesliga
179,Zoltán Stieber,25,1530,3,2.8872565841302276,2,1.9409325998276472,33,31,1,0,F M S,Hamburger SV,3,2.8872565841302276,5.791960940696299,1.9185604443773627,Hamburger SV,2014,Bundesliga
386,Gojko Kacar,13,709,3,1.14413888938725,0,0.24002580530941486,10,7,4,0,M S,Hamburger SV,3,1.14413888938725,1.7757609114050865,1.6332230288535357,Hamburger SV,2014,Bundesliga
303,Ivica Olic,16,1300,2,1.2181719960644841,0,0.9101961068809032,21,15,3,0,F M,Hamburger SV,2,1.2181719960644841,3.0438138879835606,1.3429021146148443,Hamburger SV,2014,Bundesliga
4282,Marcell Jansen,15,1058,2,0.8916613142937422,1,1.1621914319694042,19,9,1,0,D M S,Hamburger SV,2,0.8916613142937422,3.0987419579178095,1.3288746569305658,Hamburger SV,2014,Bundesliga
18,Slobodan Rajkovic,11,980,1,0.498949708417058,0,0.03228500112891197,4,1,1,0,D,Hamburger SV,1,0.498949708417058,0.5957219935953617,0.5634370036423206,Hamburger SV,2014,Bundesliga
166,Cléber,12,1030,1,0.7057995945215225,0,0,13,0,4,1,D S,Hamburger SV,1,0.7057995945215225,0.7842626506462693,0.4442365588620305,Hamburger SV,2014,Bundesliga
170,Nicolai Müller,27,2089,1,3.647581459954381,4,3.836670020595193,25,26,7,0,F M S,Hamburger SV,1,3.647581459954381,8.843419082462788,3.3448447389528155,Hamburger SV,2014,Bundesliga
2666,Artjoms Rudnevs,22,925,1,3.7976950220763683,3,2.201949656009674,33,13,1,0,F S,Hamburger SV,1,3.7976950220763683,6.763170022517443,0.883412117138505,Hamburger SV,2014,Bundesliga
53,Maximilian Beister,5,67,0,0.5184550285339355,0,0,1,0,0,0,S,Hamburger SV,0,0.5184550285339355,0.5184550285339355,0,Hamburger SV,2014,Bundesliga
163,René Adler,12,1059,0,0,0,0,0,0,1,0,GK S,Hamburger SV,0,0,0.06927766185253859,0.06927766185253859,Hamburger SV,2014,Bundesliga
167,Matthias Ostrzolek,25,2048,0,0.552281548269093,1,1.7058393033221364,10,16,4,1,D S,Hamburger SV,0,0.552281548269093,3.273778971284628,1.2614492662250996,Hamburger SV,2014,Bundesliga
169,Lewis Holtby,22,1585,0,0.9473642958328128,2,2.323578323237598,21,24,5,0,F M S,Hamburger SV,0,0.9473642958328128,5.614886864088476,3.66224358137697,Hamburger SV,2014,Bundesliga
172,Ivo Ilicevic,9,750,0,1.4151818016543984,0,0.4522242993116379,16,7,1,0,M,Hamburger SV,0,1.4151818016543984,2.5435587968677282,0.9995241761207581,Hamburger SV,2014,Bundesliga
175,Dennis Diekmeier,21,1630,0,0.10157290287315845,0,0.6270124018192291,2,13,7,0,D S,Hamburger SV,0,0.10157290287315845,2.579730898141861,2.0599890910089016,Hamburger SV,2014,Bundesliga
177,Marcelo Díaz,6,376,0,0.077149398624897,0,0.014807100407779217,1,1,2,0,M S,Hamburger SV,0,0.077149398624897,0.45421214774250984,0.45421214774250984,Hamburger SV,2014,Bundesliga
178,Jaroslav Drobny,23,1998,0,0,0,0.24184200167655945,0,1,4,1,GK,Hamburger SV,0,0,1.1963650099933147,0.9545230083167553,Hamburger SV,2014,Bundesliga
302,Johan Djourou,32,2805,0,0.3665509847924113,0,0.3070589005947113,7,8,4,1,D,Hamburger SV,0,0.3665509847924113,2.792348489165306,2.6626040656119585,Hamburger SV,2014,Bundesliga
304,Ashton Götz,10,578,0,0.06777170300483704,0,0.21617259830236435,1,5,1,0,D S,Hamburger SV,0,0.06777170300483704,1.8468630146235228,1.6964267175644636,Hamburger SV,2014,Bundesliga
570,Valon Behrami,22,1915,0,0.3920008931308985,0,0.2413931591436267,10,7,7,1,M,Hamburger SV,0,0.3920008931308985,2.967849268577993,2.667190421372652,Hamburger SV,2014,Bundesliga
1430,Milan Badelj,2,180,0,0.04392480105161667,0,0.06348740123212337,3,4,0,0,M,Hamburger SV,0,0.04392480105161667,0.8517147973179817,0.7873420994728804,Hamburger SV,2014,Bundesliga
2445,Heiko Westermann,28,2310,0,1.3306852830573916,0,1.0461755096912384,15,8,4,0,D M S,Hamburger SV,0,1.3306852830573916,2.893220885656774,2.359373544342816,Hamburger SV,2014,Bundesliga
4235,Petr Jirácek,19,952,0,0.6893388647586107,0,0.38756260834634304,8,6,5,0,M S,Hamburger SV,0,0.6893388647586107,2.593403953127563,1.742106550373137,Hamburger SV,2014,Bundesliga
4283,Mohamed Gouaida,11,680,0,0.8237512074410915,0,0.7762872269377112,7,7,1,0,M S,Hamburger SV,0,0.8237512074410915,3.788169790059328,2.2265347875654697,Hamburger SV,2014,Bundesliga
4323,Julian Green,5,111,0,0.12307220324873924,0,0.07709469646215439,2,1,1,0,M S,Hamburger SV,0,0.12307220324873924,1.0168795958161354,0.8167125955224037,Hamburger SV,2014,Bundesliga
4333,Ronny Marcos,9,678,0,0,0,0.2441410981118679,0,6,0,0,D M S,Hamburger SV,0,0,1.4532384928315878,1.2888165917247534,Hamburger SV,2014,Bundesliga
4348,Tolgay Arslan,13,649,0,0.9128081956878304,1,0.4946653791703284,5,7,2,0,M S,Hamburger SV,0,0.9128081956878304,2.993915295228362,1.724148703739047,Hamburger SV,2014,Bundesliga
4373,Valmir Nafiu,2,27,0,0.03941360116004944,0,0,1,0,0,0,S,Hamburger SV,0,0.03941360116004944,0.03941360116004944,0,Hamburger SV,2014,Bundesliga
4374,Matti Steinmann,1,3,0,0,0,0,0,0,0,0,S,Hamburger SV,0,0,0,0,Hamburger SV,2014,Bundesliga
4378,Tolcay Cigerci,1,17,0,0.02149369940161705,0,0,1,0,0,0,S,Hamburger SV,0,0.02149369940161705,0.02149369940161705,0,Hamburger SV,2014,Bundesliga
