id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
5454,True,h,"{'id': '205', 'title': 'Paderborn', 'short_title': 'PAD'}","{'id': '125', 'title': 'Mainz 05', 'short_title': 'MAI'}","{'h': '2', 'a': '2'}","{'h': '0.35254', 'a': '1.84123'}",2014-08-24 14:30:00,"{'w': 0.06311859301500933, 'd': 0.19649493688966774, 'l': 0.7403864687976648}",d,Paderborn,2014,Bundesliga
5459,True,a,"{'id': '118', 'title': 'Hamburger SV', 'short_title': 'HAM'}","{'id': '205', 'title': 'Paderborn', 'short_title': 'PAD'}","{'h': '0', 'a': '3'}","{'h': '1.14049', 'a': '2.37004'}",2014-08-30 14:30:00,"{'w': 0.16869931365739976, 'd': 0.1847140021613422, 'l': 0.6465866491506564}",w,Paderborn,2014,Bundesliga
5416,True,h,"{'id': '205', 'title': 'Paderborn', 'short_title': 'PAD'}","{'id': '134', 'title': 'FC Cologne', 'short_title': 'COL'}","{'h': '0', 'a': '0'}","{'h': '0.327136', 'a': '0.386458'}",2014-09-13 14:30:00,"{'w': 0.2011448667936968, 'd': 0.5537983662167316, 'l': 0.24505676698957146}",d,Paderborn,2014,Bundesliga
5424,True,h,"{'id': '205', 'title': 'Paderborn', 'short_title': 'PAD'}","{'id': '128', 'title': 'Hannover 96', 'short_title': 'HAN'}","{'h': '2', 'a': '0'}","{'h': '2.05175', 'a': '0.550873'}",2014-09-20 14:30:00,"{'w': 0.7274623110747003, 'd': 0.18465638208074012, 'l': 0.08788130143241435}",w,Paderborn,2014,Bundesliga
5430,True,a,"{'id': '117', 'title': 'Bayern Munich', 'short_title': 'BAY'}","{'id': '205', 'title': 'Paderborn', 'short_title': 'PAD'}","{'h': '4', 'a': '0'}","{'h': '3.48286', 'a': '0.402844'}",2014-09-23 19:00:00,"{'w': 0.9202829094808183, 'd': 0.06116947604532091, 'l': 0.018543589904474585}",l,Paderborn,2014,Bundesliga
5443,True,h,"{'id': '205', 'title': 'Paderborn', 'short_title': 'PAD'}","{'id': '130', 'title': 'Borussia M.Gladbach', 'short_title': 'BMG'}","{'h': '1', 'a': '2'}","{'h': '1.5747', 'a': '1.43504'}",2014-09-27 14:30:00,"{'w': 0.40968768100815167, 'd': 0.2419153101557011, 'l': 0.348397008631762}",l,Paderborn,2014,Bundesliga
5387,True,a,"{'id': '119', 'title': 'Bayer Leverkusen', 'short_title': 'LEV'}","{'id': '205', 'title': 'Paderborn', 'short_title': 'PAD'}","{'h': '2', 'a': '2'}","{'h': '1.60118', 'a': '1.12552'}",2014-10-04 14:30:00,"{'w': 0.48391358628526543, 'd': 0.2484163230658843, 'l': 0.2676700904476578}",d,Paderborn,2014,Bundesliga
5400,True,h,"{'id': '205', 'title': 'Paderborn', 'short_title': 'PAD'}","{'id': '132', 'title': 'Eintracht Frankfurt', 'short_title': 'EIN'}","{'h': '3', 'a': '1'}","{'h': '2.37575', 'a': '0.558647'}",2014-10-19 16:30:00,"{'w': 0.7797557868057094, 'd': 0.15088645164209505, 'l': 0.06935772542800385}",w,Paderborn,2014,Bundesliga
5404,True,a,"{'id': '120', 'title': 'Hoffenheim', 'short_title': 'HOF'}","{'id': '205', 'title': 'Paderborn', 'short_title': 'PAD'}","{'h': '1', 'a': '0'}","{'h': '1.5035', 'a': '0.673226'}",2014-10-25 14:30:00,"{'w': 0.5728821042206933, 'd': 0.26073868413956514, 'l': 0.16637921155468977}",l,Paderborn,2014,Bundesliga
5355,True,h,"{'id': '205', 'title': 'Paderborn', 'short_title': 'PAD'}","{'id': '122', 'title': 'Hertha Berlin', 'short_title': 'HER'}","{'h': '3', 'a': '1'}","{'h': '1.96835', 'a': '0.925677'}",2014-11-02 16:30:00,"{'w': 0.61689299417104, 'd': 0.21259149472423416, 'l': 0.17051550796616605}",w,Paderborn,2014,Bundesliga
5357,True,a,"{'id': '121', 'title': 'Augsburg', 'short_title': 'AUG'}","{'id': '205', 'title': 'Paderborn', 'short_title': 'PAD'}","{'h': '3', 'a': '0'}","{'h': '1.66135', 'a': '0.968616'}",2014-11-08 14:30:00,"{'w': 0.5362618958329699, 'd': 0.2439779989627071, 'l': 0.2197601048759002}",l,Paderborn,2014,Bundesliga
5370,True,h,"{'id': '205', 'title': 'Paderborn', 'short_title': 'PAD'}","{'id': '129', 'title': 'Borussia Dortmund', 'short_title': 'DOR'}","{'h': '2', 'a': '2'}","{'h': '0.638364', 'a': '1.92358'}",2014-11-22 14:30:00,"{'w': 0.11486240802915067, 'd': 0.2052687387440798, 'l': 0.6798688509098029}",d,Paderborn,2014,Bundesliga
5379,True,a,"{'id': '123', 'title': 'Werder Bremen', 'short_title': 'WER'}","{'id': '205', 'title': 'Paderborn', 'short_title': 'PAD'}","{'h': '4', 'a': '0'}","{'h': '4.47976', 'a': '0.839366'}",2014-11-29 14:30:00,"{'w': 0.9249781193502153, 'd': 0.04983606458731303, 'l': 0.025115680760519215}",l,Paderborn,2014,Bundesliga
5316,True,h,"{'id': '205', 'title': 'Paderborn', 'short_title': 'PAD'}","{'id': '135', 'title': 'Freiburg', 'short_title': 'FRE'}","{'h': '1', 'a': '1'}","{'h': '1.38276', 'a': '0.883469'}",2014-12-06 14:30:00,"{'w': 0.48531756130805204, 'd': 0.27475171172771484, 'l': 0.239930726937066}",d,Paderborn,2014,Bundesliga
