id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
5450,True,a,"{'id': '122', 'title': 'Hertha Berlin', 'short_title': 'HER'}","{'id': '123', 'title': 'Werder Bremen', 'short_title': 'WER'}","{'h': '2', 'a': '2'}","{'h': '1.75585', 'a': '1.19453'}",2014-08-23 14:30:00,"{'w': 0.5053738475284323, 'd': 0.23492087233157175, 'l': 0.2597052794471703}",d,Werder Bremen,2014,Bundesliga
5457,True,h,"{'id': '123', 'title': 'Werder Bremen', 'short_title': 'WER'}","{'id': '120', 'title': 'Hoffenheim', 'short_title': 'HOF'}","{'h': '1', 'a': '1'}","{'h': '2.51429', 'a': '1.29948'}",2014-08-30 14:30:00,"{'w': 0.6385044436677739, 'd': 0.17941100143158095, 'l': 0.18208448055552745}",d,Werder Bremen,2014,Bundesliga
5411,True,a,"{'id': '119', 'title': 'Bayer Leverkusen', 'short_title': 'LEV'}","{'id': '123', 'title': 'Werder Bremen', 'short_title': 'WER'}","{'h': '3', 'a': '3'}","{'h': '1.98321', 'a': '1.72618'}",2014-09-12 19:30:00,"{'w': 0.44415893129903555, 'd': 0.21411662312171484, 'l': 0.3417244415654899}",d,Werder Bremen,2014,Bundesliga
5425,True,a,"{'id': '121', 'title': 'Augsburg', 'short_title': 'AUG'}","{'id': '123', 'title': 'Werder Bremen', 'short_title': 'WER'}","{'h': '4', 'a': '2'}","{'h': '2.91201', 'a': '2.02462'}",2014-09-20 14:30:00,"{'w': 0.5658266237791327, 'd': 0.17201810483962596, 'l': 0.26215480149465287}",l,Werder Bremen,2014,Bundesliga
5431,True,h,"{'id': '123', 'title': 'Werder Bremen', 'short_title': 'WER'}","{'id': '124', 'title': 'Schalke 04', 'short_title': 'SCH'}","{'h': '0', 'a': '3'}","{'h': '0.992105', 'a': '1.36741'}",2014-09-23 19:00:00,"{'w': 0.2722701590525907, 'd': 0.2732221963041143, 'l': 0.4545076446197608}",l,Werder Bremen,2014,Bundesliga
5444,True,a,"{'id': '131', 'title': 'Wolfsburg', 'short_title': 'WOL'}","{'id': '123', 'title': 'Werder Bremen', 'short_title': 'WER'}","{'h': '2', 'a': '1'}","{'h': '1.24302', 'a': '0.32535'}",2014-09-27 17:30:00,"{'w': 0.6019374089691875, 'd': 0.3015719158504985, 'l': 0.09649067517406547}",l,Werder Bremen,2014,Bundesliga
5384,True,h,"{'id': '123', 'title': 'Werder Bremen', 'short_title': 'WER'}","{'id': '135', 'title': 'Freiburg', 'short_title': 'FRE'}","{'h': '1', 'a': '1'}","{'h': '1.21503', 'a': '1.03746'}",2014-10-04 14:30:00,"{'w': 0.40130405138676345, 'd': 0.28576675291786663, 'l': 0.3129291956903092}",d,Werder Bremen,2014,Bundesliga
5392,True,a,"{'id': '117', 'title': 'Bayern Munich', 'short_title': 'BAY'}","{'id': '123', 'title': 'Werder Bremen', 'short_title': 'WER'}","{'h': '6', 'a': '0'}","{'h': '2.49826', 'a': '0'}",2014-10-18 14:30:00,"{'w': 0.9177719806008773, 'd': 0.0822279508538776, 'l': 0}",l,Werder Bremen,2014,Bundesliga
5401,True,h,"{'id': '123', 'title': 'Werder Bremen', 'short_title': 'WER'}","{'id': '134', 'title': 'FC Cologne', 'short_title': 'COL'}","{'h': '0', 'a': '1'}","{'h': '0.514564', 'a': '0.519282'}",2014-10-24 19:30:00,"{'w': 0.26982542119655484, 'd': 0.45720356524433925, 'l': 0.2729710135591061}",l,Werder Bremen,2014,Bundesliga
5348,True,a,"{'id': '125', 'title': 'Mainz 05', 'short_title': 'MAI'}","{'id': '123', 'title': 'Werder Bremen', 'short_title': 'WER'}","{'h': '1', 'a': '2'}","{'h': '1.19297', 'a': '1.65943'}",2014-11-01 14:30:00,"{'w': 0.2747076213296389, 'd': 0.24258354523148942, 'l': 0.482708833112172}",w,Werder Bremen,2014,Bundesliga
5362,True,h,"{'id': '123', 'title': 'Werder Bremen', 'short_title': 'WER'}","{'id': '133', 'title': 'VfB Stuttgart', 'short_title': 'STU'}","{'h': '2', 'a': '0'}","{'h': '0.645076', 'a': '0.774005'}",2014-11-08 17:30:00,"{'w': 0.272110142752888, 'd': 0.3786744540308469, 'l': 0.34921540321625655}",w,Werder Bremen,2014,Bundesliga
5372,True,a,"{'id': '118', 'title': 'Hamburger SV', 'short_title': 'HAM'}","{'id': '123', 'title': 'Werder Bremen', 'short_title': 'WER'}","{'h': '2', 'a': '0'}","{'h': '2.60596', 'a': '1.14769'}",2014-11-23 14:30:00,"{'w': 0.6864977865018572, 'd': 0.16700629268927814, 'l': 0.14649580397868767}",l,Werder Bremen,2014,Bundesliga
5379,True,h,"{'id': '123', 'title': 'Werder Bremen', 'short_title': 'WER'}","{'id': '205', 'title': 'Paderborn', 'short_title': 'PAD'}","{'h': '4', 'a': '0'}","{'h': '4.47976', 'a': '0.839366'}",2014-11-29 14:30:00,"{'w': 0.9249781193502153, 'd': 0.04983606458731303, 'l': 0.025115680760519215}",w,Werder Bremen,2014,Bundesliga
5320,True,a,"{'id': '132', 'title': 'Eintracht Frankfurt', 'short_title': 'EIN'}","{'id': '123', 'title': 'Werder Bremen', 'short_title': 'WER'}","{'h': '5', 'a': '2'}","{'h': '3.8335', 'a': '1.44207'}",2014-12-07 16:30:00,"{'w': 0.7977637533910498, 'd': 0.10692030712966885, 'l': 0.09530366023087967}",l,Werder Bremen,2014,Bundesliga
5323,True,h,"{'id': '123', 'title': 'Werder Bremen', 'short_title': 'WER'}","{'id': '128', 'title': 'Hannover 96', 'short_title': 'HAN'}","{'h': '3', 'a': '3'}","{'h': '1.84609', 'a': '1.54036'}",2014-12-13 14:30:00,"{'w': 0.4512754065071039, 'd': 0.2243331796299906, 'l': 0.3243914124008203}",d,Werder Bremen,2014,Bundesliga
5336,True,a,"{'id': '130', 'title': 'Borussia M.Gladbach', 'short_title': 'BMG'}","{'id': '123', 'title': 'Werder Bremen', 'short_title': 'WER'}","{'h': '4', 'a': '1'}","{'h': '2.06898', 'a': '0.308689'}",2014-12-17 19:00:00,"{'w': 0.7930062630257902, 'd': 0.16217261006055034, 'l': 0.04482112087568906}",l,Werder Bremen,2014,Bundesliga
5341,True,h,"{'id': '123', 'title': 'Werder Bremen', 'short_title': 'WER'}","{'id': '129', 'title': 'Borussia Dortmund', 'short_title': 'DOR'}","{'h': '2', 'a': '1'}","{'h': '2.36795', 'a': '0.602289'}",2014-12-20 14:30:00,"{'w': 0.7684778194183598, 'd': 0.1550469228340006, 'l': 0.0764752231122936}",w,Werder Bremen,2014,Bundesliga
5260,True,h,"{'id': '123', 'title': 'Werder Bremen', 'short_title': 'WER'}","{'id': '122', 'title': 'Hertha Berlin', 'short_title': 'HER'}","{'h': '2', 'a': '0'}","{'h': '0.839904', 'a': '0.0990819'}",2015-02-01 14:30:00,"{'w': 0.5333342095524153, 'd': 0.42424822081129915, 'l': 0.042417569636260005}",w,Werder Bremen,2014,Bundesliga
5270,True,a,"{'id': '120', 'title': 'Hoffenheim', 'short_title': 'HOF'}","{'id': '123', 'title': 'Werder Bremen', 'short_title': 'WER'}","{'h': '1', 'a': '2'}","{'h': '1.33156', 'a': '0.576349'}",2015-02-04 19:00:00,"{'w': 0.552908885147107, 'd': 0.28607614825241756, 'l': 0.16101496658432637}",w,Werder Bremen,2014,Bundesliga
5278,True,h,"{'id': '123', 'title': 'Werder Bremen', 'short_title': 'WER'}","{'id': '119', 'title': 'Bayer Leverkusen', 'short_title': 'LEV'}","{'h': '2', 'a': '1'}","{'h': '0.885549', 'a': '1.74921'}",2015-02-08 14:30:00,"{'w': 0.18801181252406485, 'd': 0.2340578495287076, 'l': 0.5779303372919883}",w,Werder Bremen,2014,Bundesliga
5284,True,h,"{'id': '123', 'title': 'Werder Bremen', 'short_title': 'WER'}","{'id': '121', 'title': 'Augsburg', 'short_title': 'AUG'}","{'h': '3', 'a': '2'}","{'h': '2.62945', 'a': '0.585109'}",2015-02-14 14:30:00,"{'w': 0.809504175214617, 'd': 0.13023227985746794, 'l': 0.060263414146466326}",w,Werder Bremen,2014,Bundesliga
5293,True,a,"{'id': '124', 'title': 'Schalke 04', 'short_title': 'SCH'}","{'id': '123', 'title': 'Werder Bremen', 'short_title': 'WER'}","{'h': '1', 'a': '1'}","{'h': '1.19124', 'a': '1.38186'}",2015-02-21 14:30:00,"{'w': 0.3231692607907853, 'd': 0.26407663336572385, 'l': 0.4127541058131524}",d,Werder Bremen,2014,Bundesliga
5232,True,h,"{'id': '123', 'title': 'Werder Bremen', 'short_title': 'WER'}","{'id': '131', 'title': 'Wolfsburg', 'short_title': 'WOL'}","{'h': '3', 'a': '5'}","{'h': '1.44281', 'a': '2.5513'}",2015-03-01 16:30:00,"{'w': 0.20374053176049972, 'd': 0.1810130812152716, 'l': 0.6152462975487731}",l,Werder Bremen,2014,Bundesliga
5237,True,a,"{'id': '135', 'title': 'Freiburg', 'short_title': 'FRE'}","{'id': '123', 'title': 'Werder Bremen', 'short_title': 'WER'}","{'h': '0', 'a': '1'}","{'h': '0.430875', 'a': '0.649704'}",2015-03-07 14:30:00,"{'w': 0.2076485195728878, 'd': 0.44127062531906286, 'l': 0.3510808551080491}",w,Werder Bremen,2014,Bundesliga
