id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,team,season,league
271,Ja-Cheol Koo,27,2081,8,3.953702738508582,1,1.9220729731023312,40,28,6,0,F M S,Augsburg,8,3.953702738508582,8.488521717488766,3.4836204946041107,Augsburg,2015,Bundesliga
2655,Alfred Finnbogason,14,1137,7,6.33367402292788,1,0.5202042553573847,33,14,3,0,F S,Augsburg,6,5.575897032395005,7.49710825830698,1.576686106622219,Augsburg,2015,Bundesliga
264,Paul Verhaegh,25,2199,6,5.013798385858536,2,1.1549118123948574,10,16,8,0,D M,Augsburg,0,0.46714100055396557,7.501107104122639,6.220254357904196,Augsburg,2015,Bundesliga
272,Caiuby,26,2215,4,3.7307144049555063,5,4.198589574545622,68,38,11,0,F M S,Augsburg,4,3.7307144049555063,9.44503304362297,4.711885433644056,Augsburg,2015,Bundesliga
273,Raúl Bobadilla,27,1818,4,5.607042266987264,2,2.6919658314436674,61,29,2,1,F M S,Augsburg,4,5.607042266987264,8.754788879305124,3.0914564058184624,Augsburg,2015,Bundesliga
270,Alexander Esswein,29,1814,3,2.1179790161550045,1,4.269463788717985,47,31,1,0,M S,Augsburg,3,2.1179790161550045,7.973910723812878,3.1108212005347013,Augsburg,2015,Bundesliga
406,Hong Jeong-ho,23,1717,2,1.4834898998960853,0,0.22704530134797096,15,3,4,0,D S,Augsburg,2,1.4834898998960853,3.6661610081791878,3.5485729090869427,Augsburg,2015,Bundesliga
266,Jan-Ingwer Callsen-Bracker,10,739,1,0.6650172993540764,0,0.030131900683045387,5,1,1,0,D S,Augsburg,1,0.6650172993540764,1.80044268630445,1.770310690626502,Augsburg,2015,Bundesliga
268,Daniel Baier,28,2341,1,0.6598397549241781,2,3.2018153592944145,18,51,7,0,M,Augsburg,1,0.6598397549241781,8.408149972558022,7.247619705274701,Augsburg,2015,Bundesliga
278,Markus Feulner,19,1079,1,1.0412496784701943,0,0.3781722020357847,13,8,4,0,D M S,Augsburg,1,1.0412496784701943,3.4404795058071613,2.3101128973066807,Augsburg,2015,Bundesliga
280,Halil Altintop,19,1212,1,1.7817080859094858,2,1.287895318120718,14,15,1,0,F M S,Augsburg,1,1.7817080859094858,4.631016176193953,1.8571550967171788,Augsburg,2015,Bundesliga
367,Jan Morávek,11,386,1,0.9185099899768829,0,0.5755338966846466,6,5,0,0,M S,Augsburg,1,0.9185099899768829,1.4226278103888035,0.12538960203528404,Augsburg,2015,Bundesliga
368,Konstantinos Stafylidis,11,684,1,0.3503763061016798,0,0.16861460264772177,10,4,2,0,D S,Augsburg,1,0.3503763061016798,0.6388699971139431,0.4526807051151991,Augsburg,2015,Bundesliga
263,Marwin Hitz,33,2967,0,0,0,0.021028300747275352,0,1,2,0,GK,Augsburg,0,0,1.3055570600554347,1.2845290480181575,Augsburg,2015,Bundesliga
265,Ragnar Klavan,31,2787,0,0.6589377000927925,0,0.41574408672749996,9,7,2,0,D,Augsburg,0,0.6589377000927925,5.3316447008401155,5.088209692388773,Augsburg,2015,Bundesliga
267,Philipp Max,26,2083,0,0.2704068962484598,0,1.932406984269619,8,16,3,0,D M S,Augsburg,0,0.2704068962484598,6.915383473038673,4.910042058676481,Augsburg,2015,Bundesliga
269,Dominik Kohr,31,2514,0,1.049034096300602,3,1.141406912356615,24,10,12,0,M S,Augsburg,0,1.049034096300602,6.969851357862353,5.833309901878238,Augsburg,2015,Bundesliga
274,Christoph Janker,12,362,0,0.0739784985780716,0,0,1,0,2,0,D M S,Augsburg,0,0.0739784985780716,0.4858579896390438,0.4858579896390438,Augsburg,2015,Bundesliga
275,Tim Matavz,11,367,0,1.9466128125786781,0,0.7228927761316299,13,4,1,0,F S,Augsburg,0,1.9466128125786781,2.822277508676052,0.5774602219462395,Augsburg,2015,Bundesliga
276,Dong-Won Ji,21,781,0,1.496549079194665,0,0.4120938051491976,13,12,2,0,F M S,Augsburg,0,1.496549079194665,3.8622813131660223,2.276315398514271,Augsburg,2015,Bundesliga
277,Alexander Manninger,2,93,0,0,0,0,0,0,0,0,GK S,Augsburg,0,0,0.692779004573822,0.692779004573822,Augsburg,2015,Bundesliga
279,Piotr Trochowski,6,151,0,0.38182099163532257,0,0.22829120606184006,6,3,0,0,M S,Augsburg,0,0.38182099163532257,0.8031036928296089,0.49657830595970154,Augsburg,2015,Bundesliga
385,Daniel Opare,4,360,0,0.08225829899311066,0,0.15419599413871765,2,2,2,0,D M,Augsburg,0,0.08225829899311066,0.8236258700489998,0.5871719717979431,Augsburg,2015,Bundesliga
397,Tobias Werner,13,691,0,2.3605798576027155,1,1.0531111042946577,22,17,2,0,M S,Augsburg,0,2.3605798576027155,3.1266335882246494,0.22798829711973667,Augsburg,2015,Bundesliga
398,Sascha Mölders,4,23,0,0.13882100582122803,0,0,2,0,0,0,S,Augsburg,0,0.13882100582122803,0.13882100582122803,0,Augsburg,2015,Bundesliga
2665,Jeffrey Gouweleeuw,11,990,0,0.7222530245780945,0,0.2922600042074919,2,5,2,1,D M,Augsburg,0,0.7222530245780945,3.1377550549805164,2.7435411624610424,Augsburg,2015,Bundesliga
2673,Albian Ajeti,1,36,0,0,0,0,0,0,0,0,S,Augsburg,0,0,0.04258430004119873,0.04258430004119873,Augsburg,2015,Bundesliga
