id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
1026,True,h,"{'id': '127', 'title': 'Darmstadt', 'short_title': 'DAR'}","{'id': '128', 'title': 'Hannover 96', 'short_title': 'HAN'}","{'h': '2', 'a': '2'}","{'h': '1.80912', 'a': '1.85731'}",2015-08-15 17:30:00,"{'w': 0.38178466267267125, 'd': 0.21708075963508291, 'l': 0.401134575208857}",d,Darmstadt,2015,Bundesliga
1032,True,a,"{'id': '124', 'title': 'Schalke 04', 'short_title': 'SCH'}","{'id': '127', 'title': 'Darmstadt', 'short_title': 'DAR'}","{'h': '1', 'a': '1'}","{'h': '1.05775', 'a': '0.790379'}",2015-08-22 17:30:00,"{'w': 0.41231561966394104, 'd': 0.31945297570364956, 'l': 0.2682314046317384}",d,Darmstadt,2015,Bundesliga
1044,True,h,"{'id': '127', 'title': 'Darmstadt', 'short_title': 'DAR'}","{'id': '120', 'title': 'Hoffenheim', 'short_title': 'HOF'}","{'h': '0', 'a': '0'}","{'h': '0.287238', 'a': '1.3935'}",2015-08-29 17:30:00,"{'w': 0.07457199303113583, 'd': 0.26858020140230116, 'l': 0.6568478055364148}",d,Darmstadt,2015,Bundesliga
1053,True,a,"{'id': '119', 'title': 'Bayer Leverkusen', 'short_title': 'LEV'}","{'id': '127', 'title': 'Darmstadt', 'short_title': 'DAR'}","{'h': '0', 'a': '1'}","{'h': '1.3554', 'a': '0.284787'}",2015-09-12 17:30:00,"{'w': 0.6472422925853859, 'd': 0.2763477787502603, 'l': 0.07640992864374228}",w,Darmstadt,2015,Bundesliga
1058,True,h,"{'id': '127', 'title': 'Darmstadt', 'short_title': 'DAR'}","{'id': '117', 'title': 'Bayern Munich', 'short_title': 'BAY'}","{'h': '0', 'a': '3'}","{'h': '0.204756', 'a': '1.71752'}",2015-09-19 17:30:00,"{'w': 0.03921684600869107, 'd': 0.20241729591022972, 'l': 0.7583658575681288}",l,Darmstadt,2015,Bundesliga
1069,True,h,"{'id': '127', 'title': 'Darmstadt', 'short_title': 'DAR'}","{'id': '123', 'title': 'Werder Bremen', 'short_title': 'WER'}","{'h': '2', 'a': '1'}","{'h': '1.91868', 'a': '1.19628'}",2015-09-22 22:00:00,"{'w': 0.5421701694101498, 'd': 0.22195267218866346, 'l': 0.23587715615732993}",w,Darmstadt,2015,Bundesliga
1083,True,a,"{'id': '129', 'title': 'Borussia Dortmund', 'short_title': 'DOR'}","{'id': '127', 'title': 'Darmstadt', 'short_title': 'DAR'}","{'h': '2', 'a': '2'}","{'h': '1.97055', 'a': '0.508638'}",2015-09-27 19:30:00,"{'w': 0.7231512247594715, 'd': 0.19136122085630577, 'l': 0.08548755119925625}",d,Darmstadt,2015,Bundesliga
1084,True,h,"{'id': '127', 'title': 'Darmstadt', 'short_title': 'DAR'}","{'id': '125', 'title': 'Mainz 05', 'short_title': 'MAI'}","{'h': '2', 'a': '3'}","{'h': '1.86109', 'a': '1.45155'}",2015-10-02 22:30:00,"{'w': 0.4731225953334836, 'd': 0.2249596406123491, 'l': 0.30191776250516783}",l,Darmstadt,2015,Bundesliga
1094,True,a,"{'id': '121', 'title': 'Augsburg', 'short_title': 'AUG'}","{'id': '127', 'title': 'Darmstadt', 'short_title': 'DAR'}","{'h': '0', 'a': '2'}","{'h': '1.42706', 'a': '2.54284'}",2015-10-17 17:30:00,"{'w': 0.20187315315146567, 'd': 0.18115831199560442, 'l': 0.6169684490602614}",w,Darmstadt,2015,Bundesliga
1104,True,h,"{'id': '127', 'title': 'Darmstadt', 'short_title': 'DAR'}","{'id': '131', 'title': 'Wolfsburg', 'short_title': 'WOL'}","{'h': '0', 'a': '1'}","{'h': '0.594469', 'a': '0.976111'}",2015-10-24 17:30:00,"{'w': 0.21725931526415085, 'd': 0.3472494178684403, 'l': 0.4354912668671952}",l,Darmstadt,2015,Bundesliga
1118,True,a,"{'id': '133', 'title': 'VfB Stuttgart', 'short_title': 'STU'}","{'id': '127', 'title': 'Darmstadt', 'short_title': 'DAR'}","{'h': '2', 'a': '0'}","{'h': '2.13203', 'a': '1.08627'}",2015-11-01 18:30:00,"{'w': 0.6127997538993782, 'd': 0.2023893253660938, 'l': 0.18481091180060139}",l,Darmstadt,2015,Bundesliga
