id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,team,season,league
11,Sandro Wagner,32,2475,14,14.355865647550672,4,4.4791223127394915,87,28,8,1,F S,Darmstadt,12,11.324833591934294,14.72610653936863,3.9971847105771303,Darmstadt,2015,Bundesliga
4,Aytac Sulu,33,2970,7,2.427427174523473,0,0.8220121497288346,21,10,6,0,D,Darmstadt,7,2.427427174523473,1.747219305485487,1.6132799088954926,Darmstadt,2015,Bundesliga
6,Marcel Heller,33,2938,6,4.629632377997041,5,4.190616820938885,32,29,7,0,M,Darmstadt,6,4.629632377997041,10.794919409789145,3.3309588879346848,Darmstadt,2015,Bundesliga
8,Jérôme Gondorf,33,2923,3,2.0853258380666375,4,3.046525400131941,23,19,9,0,M,Darmstadt,3,2.0853258380666375,9.041203308850527,4.616188827902079,Darmstadt,2015,Bundesliga
12,Mario Vrancic,22,1027,2,2.5138087514787912,1,1.2074510641396046,14,17,2,0,M S,Darmstadt,2,2.5138087514787912,4.630860989913344,1.918260807171464,Darmstadt,2015,Bundesliga
13,Konstantin Rausch,31,2140,2,2.310374468564987,5,3.491614726372063,40,35,7,0,M S,Darmstadt,2,2.310374468564987,5.380678151734173,2.247017750516534,Darmstadt,2015,Bundesliga
299,Peter Niemeyer,31,2584,2,2.765217744745314,0,0.3865736909210682,29,7,13,0,M,Darmstadt,2,2.765217744745314,4.610303109511733,3.746692125685513,Darmstadt,2015,Bundesliga
14,Marco Sailer,14,426,1,0.9371175728738308,1,0.2829017983749509,6,4,1,0,M S,Darmstadt,1,0.9371175728738308,1.536415928043425,0.3163970112800598,Darmstadt,2015,Bundesliga
18,Slobodan Rajkovic,15,1007,1,0.7370110945776105,1,0.48198260366916656,5,2,4,0,D S,Darmstadt,1,0.7370110945776105,0.9309836775064468,0.8652845770120621,Darmstadt,2015,Bundesliga
1,Christian Mathenia,33,2970,0,0,0,0.3579294104129076,0,5,3,0,GK,Darmstadt,0,0,3.300251519307494,2.942322125658393,Darmstadt,2015,Bundesliga
2,György Garics,21,1796,0,0.04453310091048479,0,0.29217100143432617,3,3,8,0,D S,Darmstadt,0,0.04453310091048479,1.4184292014688253,1.249879201874137,Darmstadt,2015,Bundesliga
3,Luca Caldirola,34,3060,0,2.527458786033094,1,1.3206581007689238,15,8,4,0,D,Darmstadt,0,2.527458786033094,1.9972496796399355,1.3167488742619753,Darmstadt,2015,Bundesliga
5,Fabian Holland,18,1437,0,0.03605099953711033,0,0.4787452006712556,3,5,5,0,D M S,Darmstadt,0,0.03605099953711033,1.3847530838102102,1.2552305813878775,Darmstadt,2015,Bundesliga
7,Florian Jungwirth,19,1490,0,0.25907690450549126,1,0.8177192024886608,8,6,4,0,D M S,Darmstadt,0,0.25907690450549126,2.3149775974452496,1.6302644107490778,Darmstadt,2015,Bundesliga
9,Tobias Kempe,31,1263,0,1.5520326970145106,3,2.9050873438827693,30,30,0,0,M S,Darmstadt,0,1.5520326970145106,4.155971409752965,2.1787559278309345,Darmstadt,2015,Bundesliga
10,Jan Rosenthal,23,1430,0,1.4695512931793928,1,2.2440788690000772,16,13,2,0,M S,Darmstadt,0,1.4695512931793928,5.705191788263619,3.1581045612692833,Darmstadt,2015,Bundesliga
15,Júnior Díaz,12,869,0,0.1892372313886881,0,0.24949650280177593,5,5,2,0,D S,Darmstadt,0,0.1892372313886881,0.7916854061186314,0.5618820041418076,Darmstadt,2015,Bundesliga
16,Dominik Stroh-Engel,15,506,0,0.8112835036590695,1,0.2874843031167984,6,5,0,0,F S,Darmstadt,0,0.8112835036590695,1.3152847113087773,0.8518400192260742,Darmstadt,2015,Bundesliga
351,Lukasz Zaluska,1,90,0,0,0,0,0,0,0,0,GK,Darmstadt,0,0,0.013629299588501453,0.013629299588501453,Darmstadt,2015,Bundesliga
380,Sandro Sirigu,6,119,0,0,2,1.038308024406433,0,2,0,0,M S,Darmstadt,0,0,1.038308024406433,0,Darmstadt,2015,Bundesliga
404,Felix Platte,11,136,0,0.3054880052804947,0,0.1229574978351593,4,2,1,0,F S,Darmstadt,0,0.3054880052804947,0.4648215025663376,0.0363755002617836,Darmstadt,2015,Bundesliga
450,Benjamin Gorka,4,13,0,0,0,0,0,0,0,0,S,Darmstadt,0,0,0,0,Darmstadt,2015,Bundesliga
2623,Milan Ivana,1,2,0,0,0,0,0,0,0,0,S,Darmstadt,0,0,0,0,Darmstadt,2015,Bundesliga
