id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
1023,True,a,"{'id': '121', 'title': 'Augsburg', 'short_title': 'AUG'}","{'id': '122', 'title': 'Hertha Berlin', 'short_title': 'HER'}","{'h': '0', 'a': '1'}","{'h': '1.14869', 'a': '1.23291'}",2015-08-15 17:30:00,"{'w': 0.34072433434430294, 'd': 0.27757369130022214, 'l': 0.3817019743478056}",w,Hertha Berlin,2015,Bundesliga
1030,True,h,"{'id': '122', 'title': 'Hertha Berlin', 'short_title': 'HER'}","{'id': '123', 'title': 'Werder Bremen', 'short_title': 'WER'}","{'h': '1', 'a': '1'}","{'h': '0.494279', 'a': '0.957641'}",2015-08-21 22:30:00,"{'w': 0.18474756138909473, 'd': 0.35876360826969383, 'l': 0.4564888303410486}",d,Hertha Berlin,2015,Bundesliga
1046,True,a,"{'id': '129', 'title': 'Borussia Dortmund', 'short_title': 'DOR'}","{'id': '122', 'title': 'Hertha Berlin', 'short_title': 'HER'}","{'h': '3', 'a': '1'}","{'h': '3.73248', 'a': '0.633538'}",2015-08-30 17:30:00,"{'w': 0.9055787926361879, 'd': 0.06591736239999042, 'l': 0.02849481607703874}",l,Hertha Berlin,2015,Bundesliga
1051,True,h,"{'id': '122', 'title': 'Hertha Berlin', 'short_title': 'HER'}","{'id': '133', 'title': 'VfB Stuttgart', 'short_title': 'STU'}","{'h': '2', 'a': '1'}","{'h': '1.47686', 'a': '1.02726'}",2015-09-12 17:30:00,"{'w': 0.47536605871321874, 'd': 0.26153545290971963, 'l': 0.26309848830994303}",w,Hertha Berlin,2015,Bundesliga
1059,True,a,"{'id': '131', 'title': 'Wolfsburg', 'short_title': 'WOL'}","{'id': '122', 'title': 'Hertha Berlin', 'short_title': 'HER'}","{'h': '2', 'a': '0'}","{'h': '2.42975', 'a': '0.271584'}",2015-09-19 17:30:00,"{'w': 0.8524417468909927, 'd': 0.119269135315561, 'l': 0.028289069660306056}",l,Hertha Berlin,2015,Bundesliga
1067,True,h,"{'id': '122', 'title': 'Hertha Berlin', 'short_title': 'HER'}","{'id': '134', 'title': 'FC Cologne', 'short_title': 'COL'}","{'h': '2', 'a': '0'}","{'h': '1.34684', 'a': '0.853586'}",2015-09-22 22:00:00,"{'w': 0.4828871614751189, 'd': 0.2797084309434505, 'l': 0.23740440756250603}",w,Hertha Berlin,2015,Bundesliga
1082,True,a,"{'id': '132', 'title': 'Eintracht Frankfurt', 'short_title': 'EIN'}","{'id': '122', 'title': 'Hertha Berlin', 'short_title': 'HER'}","{'h': '1', 'a': '1'}","{'h': '1.41369', 'a': '2.23038'}",2015-09-27 17:30:00,"{'w': 0.2385351316419347, 'd': 0.20144073710486882, 'l': 0.5600241151805488}",d,Hertha Berlin,2015,Bundesliga
1087,True,h,"{'id': '122', 'title': 'Hertha Berlin', 'short_title': 'HER'}","{'id': '118', 'title': 'Hamburger SV', 'short_title': 'HAM'}","{'h': '3', 'a': '0'}","{'h': '2.0435', 'a': '0.315135'}",2015-10-03 17:30:00,"{'w': 0.7871415311216308, 'd': 0.165969788197708, 'l': 0.0468886755466902}",w,Hertha Berlin,2015,Bundesliga
1096,True,a,"{'id': '124', 'title': 'Schalke 04', 'short_title': 'SCH'}","{'id': '122', 'title': 'Hertha Berlin', 'short_title': 'HER'}","{'h': '2', 'a': '1'}","{'h': '2.51235', 'a': '0.933849'}",2015-10-17 17:30:00,"{'w': 0.7169651115517527, 'd': 0.16375807818066543, 'l': 0.11927673665723293}",l,Hertha Berlin,2015,Bundesliga
1108,True,a,"{'id': '126', 'title': 'Ingolstadt', 'short_title': 'ING'}","{'id': '122', 'title': 'Hertha Berlin', 'short_title': 'HER'}","{'h': '0', 'a': '1'}","{'h': '0.66126', 'a': '0.702791'}",2015-10-24 20:30:00,"{'w': 0.29291446951819133, 'd': 0.38895388308971973, 'l': 0.31813164739208627}",w,Hertha Berlin,2015,Bundesliga
