id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
1025,True,a,"{'id': '125', 'title': 'Mainz 05', 'short_title': 'MAI'}","{'id': '126', 'title': 'Ingolstadt', 'short_title': 'ING'}","{'h': '0', 'a': '1'}","{'h': '0.547769', 'a': '0.577316'}",2015-08-15 17:30:00,"{'w': 0.27256987105274694, 'd': 0.43568980070402563, 'l': 0.2917403282432276}",w,Ingolstadt,2015,Bundesliga
1037,True,h,"{'id': '126', 'title': 'Ingolstadt', 'short_title': 'ING'}","{'id': '129', 'title': 'Borussia Dortmund', 'short_title': 'DOR'}","{'h': '0', 'a': '4'}","{'h': '0.0514071', 'a': '3.63386'}",2015-08-23 17:30:00,"{'w': 0.00144998138354462, 'd': 0.030001017650520784, 'l': 0.9685423835332384}",l,Ingolstadt,2015,Bundesliga
1041,True,a,"{'id': '121', 'title': 'Augsburg', 'short_title': 'AUG'}","{'id': '126', 'title': 'Ingolstadt', 'short_title': 'ING'}","{'h': '0', 'a': '1'}","{'h': '0.832315', 'a': '1.24787'}",2015-08-29 17:30:00,"{'w': 0.2475724888988497, 'd': 0.29247410384906886, 'l': 0.45995340724546435}",w,Ingolstadt,2015,Bundesliga
1052,True,h,"{'id': '126', 'title': 'Ingolstadt', 'short_title': 'ING'}","{'id': '131', 'title': 'Wolfsburg', 'short_title': 'WOL'}","{'h': '0', 'a': '0'}","{'h': '0.178191', 'a': '0.732037'}",2015-09-12 17:30:00,"{'w': 0.08357104270600632, 'd': 0.4566636005941525, 'l': 0.45976535669983754}",d,Ingolstadt,2015,Bundesliga
1061,True,a,"{'id': '123', 'title': 'Werder Bremen', 'short_title': 'WER'}","{'id': '126', 'title': 'Ingolstadt', 'short_title': 'ING'}","{'h': '0', 'a': '1'}","{'h': '1.22829', 'a': '1.47429'}",2015-09-19 17:30:00,"{'w': 0.31559055857625434, 'd': 0.25577501885402815, 'l': 0.42863442249930295}",w,Ingolstadt,2015,Bundesliga
1068,True,h,"{'id': '126', 'title': 'Ingolstadt', 'short_title': 'ING'}","{'id': '118', 'title': 'Hamburger SV', 'short_title': 'HAM'}","{'h': '0', 'a': '1'}","{'h': '0.718034', 'a': '1.16174'}",2015-09-22 22:00:00,"{'w': 0.22746427005518938, 'd': 0.30908327893111515, 'l': 0.4634524510112478}",l,Ingolstadt,2015,Bundesliga
1075,True,a,"{'id': '134', 'title': 'FC Cologne', 'short_title': 'COL'}","{'id': '126', 'title': 'Ingolstadt', 'short_title': 'ING'}","{'h': '1', 'a': '1'}","{'h': '1.3352', 'a': '0.638071'}",2015-09-25 22:30:00,"{'w': 0.5366527495511617, 'd': 0.2851658295453806, 'l': 0.1781814208866897}",d,Ingolstadt,2015,Bundesliga
1089,True,h,"{'id': '126', 'title': 'Ingolstadt', 'short_title': 'ING'}","{'id': '132', 'title': 'Eintracht Frankfurt', 'short_title': 'EIN'}","{'h': '2', 'a': '0'}","{'h': '1.185', 'a': '0.740308'}",2015-10-03 17:30:00,"{'w': 0.4647677898475097, 'd': 0.3047109755524539, 'l': 0.2305212345968117}",w,Ingolstadt,2015,Bundesliga
1101,True,a,"{'id': '133', 'title': 'VfB Stuttgart', 'short_title': 'STU'}","{'id': '126', 'title': 'Ingolstadt', 'short_title': 'ING'}","{'h': '1', 'a': '0'}","{'h': '1.33256', 'a': '1.63336'}",2015-10-18 19:30:00,"{'w': 0.3129517991697258, 'd': 0.24159019003254362, 'l': 0.44545801052030987}",l,Ingolstadt,2015,Bundesliga
1108,True,h,"{'id': '126', 'title': 'Ingolstadt', 'short_title': 'ING'}","{'id': '122', 'title': 'Hertha Berlin', 'short_title': 'HER'}","{'h': '0', 'a': '1'}","{'h': '0.66126', 'a': '0.702791'}",2015-10-24 20:30:00,"{'w': 0.29291446951819133, 'd': 0.38895388308971973, 'l': 0.31813164739208627}",l,Ingolstadt,2015,Bundesliga
