id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
1029,True,h,"{'id': '133', 'title': 'VfB Stuttgart', 'short_title': 'STU'}","{'id': '134', 'title': 'FC Cologne', 'short_title': 'COL'}","{'h': '1', 'a': '3'}","{'h': '2.98558', 'a': '1.85087'}",2015-08-16 19:30:00,"{'w': 0.610440692556006, 'd': 0.16572901131637807, 'l': 0.22382966271425422}",l,VfB Stuttgart,2015,Bundesliga
1036,True,a,"{'id': '118', 'title': 'Hamburger SV', 'short_title': 'HAM'}","{'id': '133', 'title': 'VfB Stuttgart', 'short_title': 'STU'}","{'h': '3', 'a': '2'}","{'h': '1.32114', 'a': '1.89549'}",2015-08-22 20:30:00,"{'w': 0.2671568107604307, 'd': 0.22385453942937156, 'l': 0.5089886478883257}",l,VfB Stuttgart,2015,Bundesliga
1040,True,h,"{'id': '133', 'title': 'VfB Stuttgart', 'short_title': 'STU'}","{'id': '132', 'title': 'Eintracht Frankfurt', 'short_title': 'EIN'}","{'h': '1', 'a': '4'}","{'h': '2.52237', 'a': '1.9601'}",2015-08-29 17:30:00,"{'w': 0.5075750043126231, 'd': 0.18864202149541046, 'l': 0.303782893806351}",l,VfB Stuttgart,2015,Bundesliga
1051,True,a,"{'id': '122', 'title': 'Hertha Berlin', 'short_title': 'HER'}","{'id': '133', 'title': 'VfB Stuttgart', 'short_title': 'STU'}","{'h': '2', 'a': '1'}","{'h': '1.47686', 'a': '1.02726'}",2015-09-12 17:30:00,"{'w': 0.47536605871321874, 'd': 0.26153545290971963, 'l': 0.26309848830994303}",l,VfB Stuttgart,2015,Bundesliga
1063,True,h,"{'id': '133', 'title': 'VfB Stuttgart', 'short_title': 'STU'}","{'id': '124', 'title': 'Schalke 04', 'short_title': 'SCH'}","{'h': '0', 'a': '1'}","{'h': '3.31265', 'a': '1.09359'}",2015-09-20 17:30:00,"{'w': 0.7966601599101568, 'd': 0.11677955326185029, 'l': 0.08655806565784907}",l,VfB Stuttgart,2015,Bundesliga
1074,True,a,"{'id': '128', 'title': 'Hannover 96', 'short_title': 'HAN'}","{'id': '133', 'title': 'VfB Stuttgart', 'short_title': 'STU'}","{'h': '1', 'a': '3'}","{'h': '0.807709', 'a': '1.81814'}",2015-09-23 22:00:00,"{'w': 0.16186124409639763, 'd': 0.22467754617169836, 'l': 0.6134612086347012}",w,VfB Stuttgart,2015,Bundesliga
1077,True,h,"{'id': '133', 'title': 'VfB Stuttgart', 'short_title': 'STU'}","{'id': '130', 'title': 'Borussia M.Gladbach', 'short_title': 'BMG'}","{'h': '1', 'a': '3'}","{'h': '2.45923', 'a': '1.18534'}",2015-09-26 17:30:00,"{'w': 0.6530252046541409, 'd': 0.1794960037656373, 'l': 0.1674787354557974}",l,VfB Stuttgart,2015,Bundesliga
1088,True,a,"{'id': '120', 'title': 'Hoffenheim', 'short_title': 'HOF'}","{'id': '133', 'title': 'VfB Stuttgart', 'short_title': 'STU'}","{'h': '2', 'a': '2'}","{'h': '1.90929', 'a': '2.36648'}",2015-10-03 17:30:00,"{'w': 0.317348453631712, 'd': 0.195406588964419, 'l': 0.4872449209432802}",d,VfB Stuttgart,2015,Bundesliga
1101,True,h,"{'id': '133', 'title': 'VfB Stuttgart', 'short_title': 'STU'}","{'id': '126', 'title': 'Ingolstadt', 'short_title': 'ING'}","{'h': '1', 'a': '0'}","{'h': '1.33256', 'a': '1.63336'}",2015-10-18 19:30:00,"{'w': 0.3129517991697258, 'd': 0.24159019003254362, 'l': 0.44545801052030987}",w,VfB Stuttgart,2015,Bundesliga
1106,True,a,"{'id': '119', 'title': 'Bayer Leverkusen', 'short_title': 'LEV'}","{'id': '133', 'title': 'VfB Stuttgart', 'short_title': 'STU'}","{'h': '4', 'a': '3'}","{'h': '2.87154', 'a': '2.40291'}",2015-10-24 17:30:00,"{'w': 0.4914046057505547, 'd': 0.1750827754222967, 'l': 0.3335121854240522}",l,VfB Stuttgart,2015,Bundesliga
1118,True,h,"{'id': '133', 'title': 'VfB Stuttgart', 'short_title': 'STU'}","{'id': '127', 'title': 'Darmstadt', 'short_title': 'DAR'}","{'h': '2', 'a': '0'}","{'h': '2.13203', 'a': '1.08627'}",2015-11-01 18:30:00,"{'w': 0.6127997538993782, 'd': 0.2023893253660938, 'l': 0.18481091180060139}",w,VfB Stuttgart,2015,Bundesliga
1125,True,a,"{'id': '117', 'title': 'Bayern Munich', 'short_title': 'BAY'}","{'id': '133', 'title': 'VfB Stuttgart', 'short_title': 'STU'}","{'h': '4', 'a': '0'}","{'h': '4.71083', 'a': '0.284883'}",2015-11-07 18:30:00,"{'w': 0.9764856361334391, 'd': 0.019389771025196054, 'l': 0.004003944050907812}",l,VfB Stuttgart,2015,Bundesliga
1130,True,h,"{'id': '133', 'title': 'VfB Stuttgart', 'short_title': 'STU'}","{'id': '121', 'title': 'Augsburg', 'short_title': 'AUG'}","{'h': '0', 'a': '4'}","{'h': '0.921864', 'a': '2.23123'}",2015-11-21 18:30:00,"{'w': 0.14209794312799426, 'd': 0.18754420420700715, 'l': 0.6703578365497809}",l,VfB Stuttgart,2015,Bundesliga
1144,True,a,"{'id': '129', 'title': 'Borussia Dortmund', 'short_title': 'DOR'}","{'id': '133', 'title': 'VfB Stuttgart', 'short_title': 'STU'}","{'h': '4', 'a': '1'}","{'h': '2.12434', 'a': '0.700582'}",2015-11-29 18:30:00,"{'w': 0.7033822850153834, 'd': 0.18639965611020784, 'l': 0.11021805035203909}",l,VfB Stuttgart,2015,Bundesliga
1154,True,h,"{'id': '133', 'title': 'VfB Stuttgart', 'short_title': 'STU'}","{'id': '123', 'title': 'Werder Bremen', 'short_title': 'WER'}","{'h': '1', 'a': '1'}","{'h': '1.49974', 'a': '0.886678'}",2015-12-06 18:30:00,"{'w': 0.5158680880883859, 'd': 0.26143040718776506, 'l': 0.22270150464159072}",d,VfB Stuttgart,2015,Bundesliga
1156,True,a,"{'id': '125', 'title': 'Mainz 05', 'short_title': 'MAI'}","{'id': '133', 'title': 'VfB Stuttgart', 'short_title': 'STU'}","{'h': '0', 'a': '0'}","{'h': '0.747148', 'a': '0.601794'}",2015-12-11 23:30:00,"{'w': 0.3492601283075319, 'd': 0.38999036768924467, 'l': 0.2607495040032183}",d,VfB Stuttgart,2015,Bundesliga
