id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,team,season,league
300,Daniel Didavi,31,2447,13,11.135832443833351,3,3.7529220255091786,95,41,8,1,F M S,VfB Stuttgart,11,9.620279353111982,15.603656930848956,7.947335692122579,VfB Stuttgart,2015,Bundesliga
65,Timo Werner,33,2201,6,12.027152398601174,3,2.9567799251526594,64,21,0,0,F M S,VfB Stuttgart,6,12.027152398601174,16.17470122501254,2.8602312840521336,VfB Stuttgart,2015,Bundesliga
60,Christian Gentner,29,2499,5,4.58684479445219,2,2.5021831216290593,45,27,3,0,M,VfB Stuttgart,5,4.58684479445219,13.63706886768341,8.497594453394413,VfB Stuttgart,2015,Bundesliga
62,Lukas Rupp,29,2107,5,4.724886026233435,4,4.927752275951207,39,38,4,0,M S,VfB Stuttgart,5,4.724886026233435,12.712117165327072,6.4959320686757565,VfB Stuttgart,2015,Bundesliga
64,Filip Kostic,30,2608,5,4.821352827362716,5,10.7724584992975,49,79,5,0,M,VfB Stuttgart,4,4.063575881533325,15.816552449017763,6.519295487552881,VfB Stuttgart,2015,Bundesliga
58,Georg Niedermeier,18,1434,3,2.0384898809716105,1,1.8968213181942701,11,7,5,0,D S,VfB Stuttgart,3,2.0384898809716105,3.658443244174123,2.3869732934981585,VfB Stuttgart,2015,Bundesliga
426,Daniel Ginczek,7,630,3,3.7316497825086117,1,1.0057918801903725,18,12,1,0,F,VfB Stuttgart,2,2.973953191190958,4.486748099327087,0.8890571240335703,VfB Stuttgart,2015,Bundesliga
407,Martin Harnik,19,995,2,5.84822092205286,0,1.3971912749111652,32,10,2,0,F M S,VfB Stuttgart,2,5.84822092205286,8.563278391957283,2.810314651578665,VfB Stuttgart,2015,Bundesliga
57,Toni Sunjic,19,1358,1,0.8941650800406933,0,0.083713099360466,7,2,5,1,D S,VfB Stuttgart,1,0.8941650800406933,2.5446833539754152,2.5185634065419436,VfB Stuttgart,2015,Bundesliga
61,Geoffroy Serey Dié,23,1834,1,0.4885189412161708,2,2.3266324289143085,15,16,8,1,M,VfB Stuttgart,1,0.4885189412161708,8.484045144170523,6.634016657248139,VfB Stuttgart,2015,Bundesliga
63,Alexandru Maxim,25,1038,1,2.661413088440895,5,2.865239357575774,30,36,1,0,M S,VfB Stuttgart,1,2.661413088440895,5.3580888621509075,2.6256194710731506,VfB Stuttgart,2015,Bundesliga
384,Jan Kliment,8,148,1,0.09504790045320988,0,0.5425525158643723,3,3,1,0,S,VfB Stuttgart,1,0.09504790045320988,1.6921497862786055,1.1707289814949036,VfB Stuttgart,2015,Bundesliga
1320,Federico Barba,2,143,1,0.06082269921898842,0,0,1,0,0,0,D,VfB Stuttgart,1,0.06082269921898842,0.030166400596499443,0.030166400596499443,VfB Stuttgart,2015,Bundesliga
2630,Artem Kravets,15,585,1,1.311146818101406,2,1.57097152993083,17,7,1,0,F S,VfB Stuttgart,1,1.311146818101406,3.370371386408806,1.5390974590554833,VfB Stuttgart,2015,Bundesliga
55,Przemyslaw Tyton,30,2679,0,0,0,0.01772099919617176,0,1,1,1,GK,VfB Stuttgart,0,0,2.283624317497015,2.2659033183008432,VfB Stuttgart,2015,Bundesliga
56,Daniel Schwaab,29,2385,0,0.4246439039707184,1,0.6186670921742916,12,8,3,0,D M S,VfB Stuttgart,0,0.4246439039707184,5.355980379506946,5.076271569356322,VfB Stuttgart,2015,Bundesliga
59,Emiliano Insúa,33,2934,0,0.8860243447124958,1,3.7332485988736153,23,34,5,0,D,VfB Stuttgart,0,0.8860243447124958,9.737452156841755,6.358199432492256,VfB Stuttgart,2015,Bundesliga
66,Robbie Kruse,3,95,0,0.08103929832577705,0,0.031198600307106972,2,1,0,0,S,VfB Stuttgart,0,0.08103929832577705,0.13744859769940376,0.05640919879078865,VfB Stuttgart,2015,Bundesliga
67,Adam Hlousek,7,414,0,0.048392198979854584,0,0,1,0,1,0,D S,VfB Stuttgart,0,0.048392198979854584,0.9698997754603624,0.9698997754603624,VfB Stuttgart,2015,Bundesliga
68,Boris Tashchy,9,142,0,0.1008640006184578,0,0.03625459969043732,2,1,0,0,S,VfB Stuttgart,0,0.1008640006184578,0.07557379826903343,0.07557379826903343,VfB Stuttgart,2015,Bundesliga
69,Carlos Gruezo,2,61,0,0,0,0,0,0,0,0,M S,VfB Stuttgart,0,0,0,0,VfB Stuttgart,2015,Bundesliga
70,Philip Heise,5,147,0,0.19162549823522568,1,0.5103840231895447,3,1,0,0,D S,VfB Stuttgart,0,0.19162549823522568,0.6997877098619938,0.077155701816082,VfB Stuttgart,2015,Bundesliga
71,Timo Baumgartl,19,1547,0,1.1966309128329158,0,0,7,0,3,0,D S,VfB Stuttgart,0,1.1966309128329158,3.2848660685122013,2.491904053837061,VfB Stuttgart,2015,Bundesliga
374,Marvin Wanitzek,1,3,0,0,0,0,0,0,0,0,S,VfB Stuttgart,0,0,0,0,VfB Stuttgart,2015,Bundesliga
375,Odisseas Vlachodimos,3,200,0,0,0,0,0,0,0,0,GK S,VfB Stuttgart,0,0,0.018434999510645866,0.018434999510645866,VfB Stuttgart,2015,Bundesliga
376,Arianit Ferati,3,68,0,0.0635261982679367,1,0.5316629931330681,1,4,0,0,S,VfB Stuttgart,0,0.0635261982679367,0.7513149976730347,0.17923810333013535,VfB Stuttgart,2015,Bundesliga
