id,isResult,h,a,goals,xG,datetime,forecast,season,league
1327,True,"{'id': '117', 'title': 'Bayern Munich', 'short_title': 'BAY'}","{'id': '123', 'title': 'Werder Bremen', 'short_title': 'WER'}","{'h': '6', 'a': '0'}","{'h': '4.53263', 'a': '0.185791'}",2016-08-26 22:30:00,"{'w': '0.9936', 'd': '0.006', 'l': '0.0004'}",2016,Bundesliga
1328,True,"{'id': '121', 'title': 'Augsburg', 'short_title': 'AUG'}","{'id': '131', 'title': 'Wolfsburg', 'short_title': 'WOL'}","{'h': '0', 'a': '2'}","{'h': '0.452708', 'a': '0.711094'}",2016-08-27 17:30:00,"{'w': '0.2065', 'd': '0.4202', 'l': '0.3733'}",2016,Bundesliga
1329,True,"{'id': '118', 'title': 'Hamburger SV', 'short_title': 'HAM'}","{'id': '126', 'title': 'Ingolstadt', 'short_title': 'ING'}","{'h': '1', 'a': '1'}","{'h': '0.309707', 'a': '1.20744'}",2016-08-27 17:30:00,"{'w': '0.0802', 'd': '0.2835', 'l': '0.6363'}",2016,Bundesliga
1330,True,"{'id': '132', 'title': 'Eintracht Frankfurt', 'short_title': 'EIN'}","{'id': '124', 'title': 'Schalke 04', 'short_title': 'SCH'}","{'h': '1', 'a': '0'}","{'h': '1.86688', 'a': '0.930915'}",2016-08-27 17:30:00,"{'w': '0.6263', 'd': '0.2451', 'l': '0.1286'}",2016,Bundesliga
1331,True,"{'id': '134', 'title': 'FC Cologne', 'short_title': 'COL'}","{'id': '127', 'title': 'Darmstadt', 'short_title': 'DAR'}","{'h': '2', 'a': '0'}","{'h': '3.13195', 'a': '0.558815'}",2016-08-27 17:30:00,"{'w': '0.9192', 'd': '0.0655', 'l': '0.0153'}",2016,Bundesliga
1332,True,"{'id': '129', 'title': 'Borussia Dortmund', 'short_title': 'DOR'}","{'id': '125', 'title': 'Mainz 05', 'short_title': 'MAI'}","{'h': '2', 'a': '1'}","{'h': '1.81984', 'a': '1.07885'}",2016-08-27 17:30:00,"{'w': '0.569', 'd': '0.2552', 'l': '0.1758'}",2016,Bundesliga
1333,True,"{'id': '130', 'title': 'Borussia M.Gladbach', 'short_title': 'BMG'}","{'id': '119', 'title': 'Bayer Leverkusen', 'short_title': 'LEV'}","{'h': '2', 'a': '1'}","{'h': '1.88815', 'a': '1.11067'}",2016-08-27 20:30:00,"{'w': '0.5722', 'd': '0.2423', 'l': '0.1855'}",2016,Bundesliga
1334,True,"{'id': '122', 'title': 'Hertha Berlin', 'short_title': 'HER'}","{'id': '135', 'title': 'Freiburg', 'short_title': 'FRE'}","{'h': '2', 'a': '1'}","{'h': '0.869084', 'a': '0.360723'}",2016-08-28 17:30:00,"{'w': '0.4696', 'd': '0.3875', 'l': '0.1429'}",2016,Bundesliga
1335,True,"{'id': '120', 'title': 'Hoffenheim', 'short_title': 'HOF'}","{'id': '136', 'title': 'RasenBallsport Leipzig', 'short_title': 'RBL'}","{'h': '2', 'a': '2'}","{'h': '1.15624', 'a': '2.47526'}",2016-08-28 19:30:00,"{'w': '0.1159', 'd': '0.187', 'l': '0.6971'}",2016,Bundesliga
1336,True,"{'id': '124', 'title': 'Schalke 04', 'short_title': 'SCH'}","{'id': '117', 'title': 'Bayern Munich', 'short_title': 'BAY'}","{'h': '0', 'a': '2'}","{'h': '0.965209', 'a': '2.2266'}",2016-09-09 22:30:00,"{'w': '0.1008', 'd': '0.1996', 'l': '0.6996'}",2016,Bundesliga
