id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
1330,True,h,"{'id': '132', 'title': 'Eintracht Frankfurt', 'short_title': 'EIN'}","{'id': '124', 'title': 'Schalke 04', 'short_title': 'SCH'}","{'h': '1', 'a': '0'}","{'h': '1.86688', 'a': '0.930915'}",2016-08-27 17:30:00,"{'w': 0.5935233552926068, 'd': 0.22279932608655623, 'l': 0.18367731706146126}",w,Eintracht Frankfurt,2016,Bundesliga
1339,True,a,"{'id': '127', 'title': 'Darmstadt', 'short_title': 'DAR'}","{'id': '132', 'title': 'Eintracht Frankfurt', 'short_title': 'EIN'}","{'h': '1', 'a': '0'}","{'h': '0.277384', 'a': '1.64252'}",2016-09-10 17:30:00,"{'w': 0.05783923441544663, 'd': 0.2214280983365714, 'l': 0.7207326669664421}",l,Eintracht Frankfurt,2016,Bundesliga
1348,True,h,"{'id': '132', 'title': 'Eintracht Frankfurt', 'short_title': 'EIN'}","{'id': '119', 'title': 'Bayer Leverkusen', 'short_title': 'LEV'}","{'h': '2', 'a': '1'}","{'h': '2.14781', 'a': '2.11932'}",2016-09-17 17:30:00,"{'w': 0.4054146295294632, 'd': 0.19983525606667854, 'l': 0.39475009630763286}",w,Eintracht Frankfurt,2016,Bundesliga
1355,True,a,"{'id': '126', 'title': 'Ingolstadt', 'short_title': 'ING'}","{'id': '132', 'title': 'Eintracht Frankfurt', 'short_title': 'EIN'}","{'h': '0', 'a': '2'}","{'h': '0.782075', 'a': '0.352096'}",2016-09-20 22:00:00,"{'w': 0.42927489102079747, 'd': 0.4165585800306876, 'l': 0.15416652894850563}",w,Eintracht Frankfurt,2016,Bundesliga
1368,True,h,"{'id': '132', 'title': 'Eintracht Frankfurt', 'short_title': 'EIN'}","{'id': '122', 'title': 'Hertha Berlin', 'short_title': 'HER'}","{'h': '3', 'a': '3'}","{'h': '1.50633', 'a': '1.17158'}",2016-09-24 17:30:00,"{'w': 0.44946292198339965, 'd': 0.2551879950525162, 'l': 0.29534908287408157}",d,Eintracht Frankfurt,2016,Bundesliga
1377,True,a,"{'id': '135', 'title': 'Freiburg', 'short_title': 'FRE'}","{'id': '132', 'title': 'Eintracht Frankfurt', 'short_title': 'EIN'}","{'h': '1', 'a': '0'}","{'h': '0.464817', 'a': '0.715723'}",2016-10-01 17:30:00,"{'w': 0.21114642669388625, 'd': 0.4181014638339683, 'l': 0.37075210947214277}",l,Eintracht Frankfurt,2016,Bundesliga
1386,True,h,"{'id': '132', 'title': 'Eintracht Frankfurt', 'short_title': 'EIN'}","{'id': '117', 'title': 'Bayern Munich', 'short_title': 'BAY'}","{'h': '2', 'a': '2'}","{'h': '2.01559', 'a': '1.4782'}",2016-10-15 17:30:00,"{'w': 0.5015087222427551, 'd': 0.21537110481262237, 'l': 0.28312016859028155}",d,Eintracht Frankfurt,2016,Bundesliga
1390,True,a,"{'id': '118', 'title': 'Hamburger SV', 'short_title': 'HAM'}","{'id': '132', 'title': 'Eintracht Frankfurt', 'short_title': 'EIN'}","{'h': '0', 'a': '3'}","{'h': '0.163638', 'a': '1.31119'}",2016-10-21 22:30:00,"{'w': 0.04507878728595686, 'd': 0.28061051511455676, 'l': 0.6743106975864255}",w,Eintracht Frankfurt,2016,Bundesliga
3299,True,a,"{'id': '130', 'title': 'Borussia M.Gladbach', 'short_title': 'BMG'}","{'id': '132', 'title': 'Eintracht Frankfurt', 'short_title': 'EIN'}","{'h': '0', 'a': '0'}","{'h': '0.605662', 'a': '0.388618'}",2016-10-28 22:30:00,"{'w': 0.34184979068118637, 'd': 0.4623349762917699, 'l': 0.19581523302704346}",d,Eintracht Frankfurt,2016,Bundesliga
2812,True,h,"{'id': '132', 'title': 'Eintracht Frankfurt', 'short_title': 'EIN'}","{'id': '134', 'title': 'FC Cologne', 'short_title': 'COL'}","{'h': '1', 'a': '0'}","{'h': '0.860348', 'a': '0.638081'}",2016-11-05 21:30:00,"{'w': 0.38298964425028487, 'd': 0.3640663831646824, 'l': 0.2529439725849961}",w,Eintracht Frankfurt,2016,Bundesliga
2823,True,a,"{'id': '123', 'title': 'Werder Bremen', 'short_title': 'WER'}","{'id': '132', 'title': 'Eintracht Frankfurt', 'short_title': 'EIN'}","{'h': '1', 'a': '2'}","{'h': '1.03212', 'a': '1.62014'}",2016-11-20 20:30:00,"{'w': 0.24148772954200845, 'd': 0.2478228878678266, 'l': 0.5106893823556946}",w,Eintracht Frankfurt,2016,Bundesliga
2829,True,h,"{'id': '132', 'title': 'Eintracht Frankfurt', 'short_title': 'EIN'}","{'id': '129', 'title': 'Borussia Dortmund', 'short_title': 'DOR'}","{'h': '2', 'a': '1'}","{'h': '0.686336', 'a': '1.66759'}",2016-11-26 18:30:00,"{'w': 0.1506003316317502, 'd': 0.2390825950881125, 'l': 0.6103170729349296}",w,Eintracht Frankfurt,2016,Bundesliga
3200,True,a,"{'id': '121', 'title': 'Augsburg', 'short_title': 'AUG'}","{'id': '132', 'title': 'Eintracht Frankfurt', 'short_title': 'EIN'}","{'h': '1', 'a': '1'}","{'h': '0.671214', 'a': '0.390793'}",2016-12-04 20:30:00,"{'w': 0.37094373016779264, 'd': 0.442579982771664, 'l': 0.18647628706054237}",d,Eintracht Frankfurt,2016,Bundesliga
3201,True,h,"{'id': '132', 'title': 'Eintracht Frankfurt', 'short_title': 'EIN'}","{'id': '120', 'title': 'Hoffenheim', 'short_title': 'HOF'}","{'h': '0', 'a': '0'}","{'h': '0.582927', 'a': '0.212786'}",2016-12-09 23:30:00,"{'w': 0.37747225408623925, 'd': 0.5089928325813358, 'l': 0.11353491333242478}",d,Eintracht Frankfurt,2016,Bundesliga
3216,True,a,"{'id': '131', 'title': 'Wolfsburg', 'short_title': 'WOL'}","{'id': '132', 'title': 'Eintracht Frankfurt', 'short_title': 'EIN'}","{'h': '1', 'a': '0'}","{'h': '1.75441', 'a': '1.38982'}",2016-12-17 21:30:00,"{'w': 0.46184684608807514, 'd': 0.23253032242762856, 'l': 0.3056228307735113}",l,Eintracht Frankfurt,2016,Bundesliga
