id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
1331,True,h,"{'id': '134', 'title': 'FC Cologne', 'short_title': 'COL'}","{'id': '127', 'title': 'Darmstadt', 'short_title': 'DAR'}","{'h': '2', 'a': '0'}","{'h': '3.13195', 'a': '0.558815'}",2016-08-27 17:30:00,"{'w': 0.8698476058403333, 'd': 0.09188580041665975, 'l': 0.038265462088857595}",w,FC Cologne,2016,Bundesliga
1337,True,a,"{'id': '131', 'title': 'Wolfsburg', 'short_title': 'WOL'}","{'id': '134', 'title': 'FC Cologne', 'short_title': 'COL'}","{'h': '0', 'a': '0'}","{'h': '0.914326', 'a': '1.36943'}",2016-09-10 17:30:00,"{'w': 0.2505877073660449, 'd': 0.2754442512092092, 'l': 0.4739680414009198}",d,FC Cologne,2016,Bundesliga
1345,True,h,"{'id': '134', 'title': 'FC Cologne', 'short_title': 'COL'}","{'id': '135', 'title': 'Freiburg', 'short_title': 'FRE'}","{'h': '3', 'a': '0'}","{'h': '1.40487', 'a': '1.4295'}",2016-09-16 22:30:00,"{'w': 0.36893811901612583, 'd': 0.25101349047585264, 'l': 0.3800483904315833}",w,FC Cologne,2016,Bundesliga
1362,True,a,"{'id': '124', 'title': 'Schalke 04', 'short_title': 'SCH'}","{'id': '134', 'title': 'FC Cologne', 'short_title': 'COL'}","{'h': '1', 'a': '3'}","{'h': '1.37614', 'a': '1.18875'}",2016-09-21 22:00:00,"{'w': 0.4117887617631088, 'd': 0.2646164215546553, 'l': 0.323594816653483}",w,FC Cologne,2016,Bundesliga
1371,True,h,"{'id': '134', 'title': 'FC Cologne', 'short_title': 'COL'}","{'id': '136', 'title': 'RasenBallsport Leipzig', 'short_title': 'RBL'}","{'h': '1', 'a': '1'}","{'h': '0.366844', 'a': '0.819612'}",2016-09-25 19:45:00,"{'w': 0.15535117801379372, 'd': 0.4042310946698926, 'l': 0.4404177273162958}",d,FC Cologne,2016,Bundesliga
1373,True,a,"{'id': '117', 'title': 'Bayern Munich', 'short_title': 'BAY'}","{'id': '134', 'title': 'FC Cologne', 'short_title': 'COL'}","{'h': '1', 'a': '1'}","{'h': '2.20563', 'a': '0.899194'}",2016-10-01 17:30:00,"{'w': 0.6708518045660251, 'd': 0.1888547682116216, 'l': 0.14029341334238646}",d,FC Cologne,2016,Bundesliga
1383,True,h,"{'id': '134', 'title': 'FC Cologne', 'short_title': 'COL'}","{'id': '126', 'title': 'Ingolstadt', 'short_title': 'ING'}","{'h': '2', 'a': '1'}","{'h': '3.98127', 'a': '1.07265'}",2016-10-15 17:30:00,"{'w': 0.8654287078181345, 'd': 0.08096563411392069, 'l': 0.053586758247998675}",w,FC Cologne,2016,Bundesliga
1394,True,a,"{'id': '122', 'title': 'Hertha Berlin', 'short_title': 'HER'}","{'id': '134', 'title': 'FC Cologne', 'short_title': 'COL'}","{'h': '2', 'a': '1'}","{'h': '1.43523', 'a': '1.35639'}",2016-10-22 17:30:00,"{'w': 0.39138814687143886, 'd': 0.2530194133340804, 'l': 0.3555924397285197}",l,FC Cologne,2016,Bundesliga
3307,True,h,"{'id': '134', 'title': 'FC Cologne', 'short_title': 'COL'}","{'id': '118', 'title': 'Hamburger SV', 'short_title': 'HAM'}","{'h': '3', 'a': '0'}","{'h': '2.93112', 'a': '0.307566'}",2016-10-30 20:30:00,"{'w': 0.8955046117110422, 'd': 0.08338116074178582, 'l': 0.02111372323599229}",w,FC Cologne,2016,Bundesliga
2812,True,a,"{'id': '132', 'title': 'Eintracht Frankfurt', 'short_title': 'EIN'}","{'id': '134', 'title': 'FC Cologne', 'short_title': 'COL'}","{'h': '1', 'a': '0'}","{'h': '0.860348', 'a': '0.638081'}",2016-11-05 21:30:00,"{'w': 0.38298964425028487, 'd': 0.3640663831646824, 'l': 0.2529439725849961}",l,FC Cologne,2016,Bundesliga
