id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,team,season,league
956,Andrej Kramaric,34,2384,15,14.232868876308203,8,6.277615133672953,99,35,1,0,F M S,Hoffenheim,10,10.444150019437075,17.646828174591064,3.718131709843874,Hoffenheim,2016,Bundesliga
11,Sandro Wagner,31,2608,11,12.228018639609218,2,2.0659215543419123,66,17,3,1,F S,Hoffenheim,11,12.228018639609218,13.068853184580803,3.6682797810062766,Hoffenheim,2016,Bundesliga
360,Ádám Szalai,22,763,8,4.074525881558657,1,1.2158622071146965,18,16,2,0,F M S,Hoffenheim,8,4.074525881558657,6.0095150005072355,2.139537325128913,Hoffenheim,2016,Bundesliga
88,Mark Uth,22,1146,7,4.159342561848462,3,2.2283678660169244,39,21,4,0,F M S,Hoffenheim,7,4.159342561848462,6.4423176078125834,1.02431321144104,Hoffenheim,2016,Bundesliga
5273,Kerem Demirbay,28,2188,6,4.123179346323013,8,7.029915550723672,51,60,4,0,M S,Hoffenheim,6,4.123179346323013,13.096707304939628,7.276779232546687,Hoffenheim,2016,Bundesliga
254,Steven Zuber,24,2026,4,1.6006680894643068,4,1.835833759047091,36,18,2,0,D M S,Hoffenheim,4,1.6006680894643068,7.81203608866781,4.746193556115031,Hoffenheim,2016,Bundesliga
62,Lukas Rupp,14,791,2,2.1861628610640764,1,1.66221634298563,16,11,2,0,M S,Hoffenheim,2,2.1861628610640764,5.868726726621389,3.127478465437889,Hoffenheim,2016,Bundesliga
75,Niklas Süle,33,2886,2,1.6989880884066224,2,0.3799561969935894,25,8,4,0,D,Hoffenheim,2,1.6989880884066224,9.522352678701282,8.925336567685008,Hoffenheim,2016,Bundesliga
82,Nadiem Amiri,33,1935,2,3.725897613912821,4,4.2796336859464645,47,32,2,0,F M S,Hoffenheim,2,3.725897613912821,12.976956130936742,7.326417308300734,Hoffenheim,2016,Bundesliga
90,Sebastian Rudy,32,2791,2,1.5268037980422378,7,4.808852379210293,27,63,9,0,D M,Hoffenheim,2,1.5268037980422378,11.080651203170419,8.56903555803001,Hoffenheim,2016,Bundesliga
251,Benjamin Hübner,25,2151,2,1.223392297513783,3,1.3957131654024124,17,7,10,0,D,Hoffenheim,2,1.223392297513783,7.5032335221767426,7.037143986672163,Hoffenheim,2016,Bundesliga
84,Ermin Bicakcic,18,1051,1,1.0370340831577778,0,0.2879151748493314,9,6,4,0,D M S,Hoffenheim,1,1.0370340831577778,2.2187596783041954,2.095985796302557,Hoffenheim,2016,Bundesliga
257,Jeremy Toljan,20,1316,1,1.027365081012249,1,1.4084749799221754,13,15,1,0,D M S,Hoffenheim,1,1.027365081012249,4.557620756328106,2.9741735700517893,Hoffenheim,2016,Bundesliga
5287,Marco Terrazzino,9,363,1,0.7100437097251415,2,0.6240794099867344,6,9,0,0,F M S,Hoffenheim,1,0.7100437097251415,1.059766698628664,0.478709202259779,Hoffenheim,2016,Bundesliga
73,Oliver Baumann,34,3060,0,0,0,0,0,0,1,0,GK,Hoffenheim,0,0,3.721683893352747,3.721683893352747,Hoffenheim,2016,Bundesliga
74,Pavel Kaderábek,23,1975,0,0.2902440745383501,3,3.751145988702774,8,24,2,0,D M S,Hoffenheim,0,0.2902440745383501,7.43628091737628,4.025591040030122,Hoffenheim,2016,Bundesliga
76,Fabian Schär,6,280,0,0.13186300173401833,0,0,2,0,2,0,D S,Hoffenheim,0,0.13186300173401833,0.17944129928946495,0.1594782993197441,Hoffenheim,2016,Bundesliga
80,Pirmin Schwegler,10,384,0,0.19076689798384905,1,0.10700329765677452,4,4,1,0,M S,Hoffenheim,0,0.19076689798384905,0.4062811993062496,0.34267890080809593,Hoffenheim,2016,Bundesliga
85,Eduardo Vargas,5,92,0,0.5812286101281643,0,0.29305098950862885,3,3,1,0,S,Hoffenheim,0,0.5812286101281643,0.9002591855823994,0.22667119279503822,Hoffenheim,2016,Bundesliga
86,Eugen Polanski,14,635,0,0.09103509970009327,0,0.3659501066431403,5,4,1,0,M S,Hoffenheim,0,0.09103509970009327,2.535230375826359,2.4181780125945807,Hoffenheim,2016,Bundesliga
133,Kevin Vogt,31,2602,0,0.140937902033329,0,0.517707253806293,3,9,6,0,D M S,Hoffenheim,0,0.140937902033329,9.901540633291006,9.58892286196351,Hoffenheim,2016,Bundesliga
445,Philipp Ochs,3,143,0,0,0,0.027789700776338577,0,1,1,0,D M S,Hoffenheim,0,0,0.7369959838688374,0.7369959838688374,Hoffenheim,2016,Bundesliga
2685,Baris Atik,3,64,0,0.018411200493574142,0,0,1,0,0,0,S,Hoffenheim,0,0.018411200493574142,0.6890129670500755,0.6706019714474678,Hoffenheim,2016,Bundesliga
