id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
1328,True,a,"{'id': '121', 'title': 'Augsburg', 'short_title': 'AUG'}","{'id': '131', 'title': 'Wolfsburg', 'short_title': 'WOL'}","{'h': '0', 'a': '2'}","{'h': '0.452708', 'a': '0.711094'}",2016-08-27 17:30:00,"{'w': 0.206836134561647, 'd': 0.42121665195914604, 'l': 0.3719472134792046}",w,Wolfsburg,2016,Bundesliga
1337,True,h,"{'id': '131', 'title': 'Wolfsburg', 'short_title': 'WOL'}","{'id': '134', 'title': 'FC Cologne', 'short_title': 'COL'}","{'h': '0', 'a': '0'}","{'h': '0.914326', 'a': '1.36943'}",2016-09-10 17:30:00,"{'w': 0.2505877073660449, 'd': 0.2754442512092092, 'l': 0.4739680414009198}",d,Wolfsburg,2016,Bundesliga
1347,True,a,"{'id': '120', 'title': 'Hoffenheim', 'short_title': 'HOF'}","{'id': '131', 'title': 'Wolfsburg', 'short_title': 'WOL'}","{'h': '0', 'a': '0'}","{'h': '1.93562', 'a': '2.34852'}",2016-09-17 17:30:00,"{'w': 0.3252712776233975, 'd': 0.19597852521581996, 'l': 0.4787501634789578}",d,Wolfsburg,2016,Bundesliga
1354,True,h,"{'id': '131', 'title': 'Wolfsburg', 'short_title': 'WOL'}","{'id': '129', 'title': 'Borussia Dortmund', 'short_title': 'DOR'}","{'h': '1', 'a': '5'}","{'h': '2.71087', 'a': '2.34245'}",2016-09-20 22:00:00,"{'w': 0.47330213807930943, 'd': 0.18032420103903357, 'l': 0.3463734391198181}",l,Wolfsburg,2016,Bundesliga
1369,True,a,"{'id': '123', 'title': 'Werder Bremen', 'short_title': 'WER'}","{'id': '131', 'title': 'Wolfsburg', 'short_title': 'WOL'}","{'h': '2', 'a': '1'}","{'h': '1.11466', 'a': '0.483419'}",2016-09-24 20:30:00,"{'w': 0.5134177808175471, 'd': 0.32687851580857247, 'l': 0.1597037033725072}",l,Wolfsburg,2016,Bundesliga
1379,True,h,"{'id': '131', 'title': 'Wolfsburg', 'short_title': 'WOL'}","{'id': '125', 'title': 'Mainz 05', 'short_title': 'MAI'}","{'h': '0', 'a': '0'}","{'h': '1.32308', 'a': '0.256465'}",2016-10-02 17:30:00,"{'w': 0.6472604342115484, 'd': 0.28215305226217924, 'l': 0.07058651351148228}",d,Wolfsburg,2016,Bundesliga
1389,True,h,"{'id': '131', 'title': 'Wolfsburg', 'short_title': 'WOL'}","{'id': '136', 'title': 'RasenBallsport Leipzig', 'short_title': 'RBL'}","{'h': '0', 'a': '1'}","{'h': '0.684268', 'a': '1.82053'}",2016-10-16 19:30:00,"{'w': 0.1341521033087326, 'd': 0.21989777633686403, 'l': 0.6459501192378653}",l,Wolfsburg,2016,Bundesliga
1392,True,a,"{'id': '127', 'title': 'Darmstadt', 'short_title': 'DAR'}","{'id': '131', 'title': 'Wolfsburg', 'short_title': 'WOL'}","{'h': '3', 'a': '1'}","{'h': '1.38031', 'a': '0.577877'}",2016-10-22 17:30:00,"{'w': 0.5662291650148527, 'd': 0.2782110334648568, 'l': 0.155559801493827}",l,Wolfsburg,2016,Bundesliga
3301,True,h,"{'id': '131', 'title': 'Wolfsburg', 'short_title': 'WOL'}","{'id': '119', 'title': 'Bayer Leverkusen', 'short_title': 'LEV'}","{'h': '1', 'a': '2'}","{'h': '1.1136', 'a': '2.12119'}",2016-10-29 17:30:00,"{'w': 0.19165492618917104, 'd': 0.20403636908351222, 'l': 0.60430869636676}",l,Wolfsburg,2016,Bundesliga
2811,True,a,"{'id': '135', 'title': 'Freiburg', 'short_title': 'FRE'}","{'id': '131', 'title': 'Wolfsburg', 'short_title': 'WOL'}","{'h': '0', 'a': '3'}","{'h': '0.916201', 'a': '2.12583'}",2016-11-05 18:30:00,"{'w': 0.15149538229752424, 'd': 0.1970778135824597, 'l': 0.6514267955193745}",w,Wolfsburg,2016,Bundesliga
2818,True,h,"{'id': '131', 'title': 'Wolfsburg', 'short_title': 'WOL'}","{'id': '124', 'title': 'Schalke 04', 'short_title': 'SCH'}","{'h': '0', 'a': '1'}","{'h': '0.273387', 'a': '1.12414'}",2016-11-19 18:30:00,"{'w': 0.08970902483644809, 'd': 0.3292209915869047, 'l': 0.5810699835751014}",l,Wolfsburg,2016,Bundesliga
2828,True,a,"{'id': '126', 'title': 'Ingolstadt', 'short_title': 'ING'}","{'id': '131', 'title': 'Wolfsburg', 'short_title': 'WOL'}","{'h': '1', 'a': '1'}","{'h': '3.68791', 'a': '0.504027'}",2016-11-26 18:30:00,"{'w': 0.9194236156498161, 'd': 0.05930915366310428, 'l': 0.02125937429597754}",d,Wolfsburg,2016,Bundesliga
3193,True,h,"{'id': '131', 'title': 'Wolfsburg', 'short_title': 'WOL'}","{'id': '122', 'title': 'Hertha Berlin', 'short_title': 'HER'}","{'h': '2', 'a': '3'}","{'h': '1.13683', 'a': '1.54821'}",2016-12-03 18:30:00,"{'w': 0.27930326304857156, 'd': 0.25267035002221244, 'l': 0.46802638680079467}",l,Wolfsburg,2016,Bundesliga
3206,True,a,"{'id': '117', 'title': 'Bayern Munich', 'short_title': 'BAY'}","{'id': '131', 'title': 'Wolfsburg', 'short_title': 'WOL'}","{'h': '5', 'a': '0'}","{'h': '2.18433', 'a': '0.422847'}",2016-12-10 18:30:00,"{'w': 0.7825659189684805, 'd': 0.1592919794893432, 'l': 0.05814208930265862}",l,Wolfsburg,2016,Bundesliga
3216,True,h,"{'id': '131', 'title': 'Wolfsburg', 'short_title': 'WOL'}","{'id': '132', 'title': 'Eintracht Frankfurt', 'short_title': 'EIN'}","{'h': '1', 'a': '0'}","{'h': '1.75441', 'a': '1.38982'}",2016-12-17 21:30:00,"{'w': 0.46184684608807514, 'd': 0.23253032242762856, 'l': 0.3056228307735113}",w,Wolfsburg,2016,Bundesliga
3220,True,a,"{'id': '130', 'title': 'Borussia M.Gladbach', 'short_title': 'BMG'}","{'id': '131', 'title': 'Wolfsburg', 'short_title': 'WOL'}","{'h': '1', 'a': '2'}","{'h': '1.53544', 'a': '2.26217'}",2016-12-20 23:00:00,"{'w': 0.25862176176033236, 'd': 0.2005876898024723, 'l': 0.540790529072454}",w,Wolfsburg,2016,Bundesliga
3724,True,h,"{'id': '131', 'title': 'Wolfsburg', 'short_title': 'WOL'}","{'id': '118', 'title': 'Hamburger SV', 'short_title': 'HAM'}","{'h': '1', 'a': '0'}","{'h': '1.13564', 'a': '0.666936'}",2017-01-21 17:30:00,"{'w': 0.46884205489101954, 'd': 0.31548083677057664, 'l': 0.2156771083366215}",w,Wolfsburg,2016,Bundesliga
3733,True,h,"{'id': '131', 'title': 'Wolfsburg', 'short_title': 'WOL'}","{'id': '121', 'title': 'Augsburg', 'short_title': 'AUG'}","{'h': '1', 'a': '2'}","{'h': '1.51608', 'a': '2.03309'}",2017-01-28 17:30:00,"{'w': 0.28853980172491644, 'd': 0.21414062324932193, 'l': 0.4973195701289099}",l,Wolfsburg,2016,Bundesliga
