id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,team,season,league
7046,Hendrik Weydandt,28,1713,6,7.402998764067888,1,3.821833522990346,60,27,1,0,F M S,Hannover 96,6,7.402998764067888,11.717004340142012,1.3139902837574482,Hannover 96,2018,Bundesliga
6271,Ihlas Bebou,12,1070,4,4.621489631012082,3,1.8131253868341446,27,17,1,0,D F M,Hannover 96,3,3.863719569519162,6.999684115871787,2.084784284234047,Hannover 96,2018,Bundesliga
170,Nicolai Müller,14,910,3,1.9212817251682281,0,0.7988494960591197,20,13,2,0,F M S,Hannover 96,3,1.9212817251682281,2.5550396740436554,0.3082200977951288,Hannover 96,2018,Bundesliga
2480,Jonathas,10,609,3,2.48880307469517,1,0.09736470133066177,13,1,2,1,F S,Hannover 96,2,1.731026099063456,2.067060482688248,0.2737839948385954,Hannover 96,2018,Bundesliga
5224,Bobby Wood,20,1168,3,2.8527941666543484,1,1.666541762650013,18,11,1,0,F M S,Hannover 96,3,2.8527941666543484,5.4668949488550425,1.6150915883481503,Hannover 96,2018,Bundesliga
105,Felipe,17,1102,2,1.010716114193201,0,0,10,0,4,1,D S,Hannover 96,2,1.010716114193201,0.7214624993503094,0.7018298991024494,Hannover 96,2018,Bundesliga
6098,Niclas Füllkrug,14,1114,2,3.407600898295641,1,0.9361870167776942,37,13,1,0,F S,Hannover 96,1,2.649823907762766,5.011509217321873,2.4912899769842625,Hannover 96,2018,Bundesliga
7164,Florent Muslija,17,664,2,1.205251008272171,0,0.6547433901578188,20,15,1,0,F M S,Hannover 96,2,1.205251008272171,2.788414418697357,1.488171610981226,Hannover 96,2018,Bundesliga
95,Miiko Albornoz,22,1654,1,0.2476476989686489,3,1.5196956060826778,11,18,3,1,D M S,Hannover 96,1,0.2476476989686489,4.029155384749174,2.547637589275837,Hannover 96,2018,Bundesliga
106,Waldemar Anton,34,3060,1,1.2190055930987,0,0.18740000389516354,23,5,4,0,D M,Hannover 96,1,1.2190055930987,5.102045914158225,4.8801411259919405,Hannover 96,2018,Bundesliga
4266,Marvin Bakalorz,25,1465,1,0.5002587083727121,0,0.5037525091320276,11,8,5,0,M S,Hannover 96,1,0.5002587083727121,2.8253681007772684,2.4136286918073893,Hannover 96,2018,Bundesliga
5226,Walace,26,2004,1,0.511371398344636,1,0.5578423906117678,19,14,5,0,M S,Hannover 96,1,0.511371398344636,5.660389507189393,4.9573906641453505,Hannover 96,2018,Bundesliga
6638,Linton Maina,20,1444,1,1.8532751929014921,3,3.2777995858341455,21,15,0,0,D F M S,Hannover 96,1,1.8532751929014921,5.677374079823494,1.489043191075325,Hannover 96,2018,Bundesliga
35,Genki Haraguchi,28,2128,0,2.346636176109314,3,2.9394325083121657,32,27,1,0,D F M S,Hannover 96,0,2.346636176109314,7.610533704981208,3.151723450049758,Hannover 96,2018,Bundesliga
80,Pirmin Schwegler,27,2091,0,0.2739027962088585,1,2.1358004733920097,12,38,7,0,D M S,Hannover 96,0,0.2739027962088585,4.4457249492406845,4.007277358323336,Hannover 96,2018,Bundesliga
100,Edgar Prib,4,203,0,0.5424323156476021,1,0.40247679501771927,6,6,1,0,M S,Hannover 96,0,0.5424323156476021,0.9379556905478239,0.2909699957817793,Hannover 96,2018,Bundesliga
107,Philipp Tschauner,1,90,0,0,0,0,0,0,0,0,GK,Hannover 96,0,0,0,0,Hannover 96,2018,Bundesliga
167,Matthias Ostrzolek,18,1465,0,0.1963240960612893,0,0.3354454040527344,6,7,2,0,D M S,Hannover 96,0,0.1963240960612893,2.5468605253845453,2.1053357999771833,Hannover 96,2018,Bundesliga
203,Julian Korb,12,1011,0,0.029068599455058575,0,0.3966030031442642,2,10,0,0,D S,Hannover 96,0,0.029068599455058575,2.6659232694655657,2.5103962142020464,Hannover 96,2018,Bundesliga
