id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,team,season,league
5735,Jean-Philippe Mateta,34,2505,14,13.438382159918547,2,2.8835383150726557,96,30,2,0,F S,Mainz 05,14,13.438382159918547,17.881383119150996,2.674825127236545,Mainz 05,2018,Bundesliga
1275,Robin Quaison,28,2211,7,8.18384890910238,3,1.8888897756114602,50,22,1,0,F M S,Mainz 05,7,8.18384890910238,10.860764971002936,3.653213099576533,Mainz 05,2018,Bundesliga
2631,Karim Onisiwo,26,1136,7,4.853994380682707,3,3.4238012190908194,39,21,2,0,F M S,Mainz 05,7,4.853994380682707,9.384746996685863,2.397985400632024,Mainz 05,2018,Bundesliga
119,Anthony Ujah,22,707,4,4.2924178168177605,0,1.9669224508106709,27,12,2,0,F S,Mainz 05,4,4.2924178168177605,5.395477045327425,1.134032106027007,Mainz 05,2018,Bundesliga
7107,Jean-Paul Boëtius,30,2133,4,2.64057550765574,7,4.636646362021565,47,31,8,0,F M S,Mainz 05,4,2.64057550765574,12.327529922127724,5.505719335749745,Mainz 05,2018,Bundesliga
38,Daniel Brosinski,26,2208,3,2.924734404310584,5,4.075514659285545,18,42,2,0,D M,Mainz 05,0,0.6516466978937387,6.273696680087596,3.915664702653885,Mainz 05,2018,Bundesliga
4764,Jean-Philippe Gbamin,31,2675,2,1.2989508705213666,1,1.945369535125792,35,23,3,0,D M S,Mainz 05,2,1.2989508705213666,7.881923167500645,5.793932205066085,Mainz 05,2018,Bundesliga
52,Alexander Hack,14,1020,1,0.9871813980862498,1,0.9667350053787231,12,2,1,0,D S,Mainz 05,1,0.9871813980862498,2.686375316232443,2.6119879223406315,Mainz 05,2018,Bundesliga
63,Alexandru Maxim,22,545,1,0.9716336149722338,0,2.507707653567195,16,16,3,0,M S,Mainz 05,1,0.9716336149722338,3.799013152718544,2.1028871051967144,Mainz 05,2018,Bundesliga
5989,Moussa Niakhate,33,2788,1,1.89052065461874,1,0.4461493045091629,10,10,3,0,D S,Mainz 05,1,1.89052065461874,5.998136058449745,5.8232560604810715,Mainz 05,2018,Bundesliga
39,Niko Bungert,7,286,0,0.13569700717926025,0,0,1,1,0,0,D S,Mainz 05,0,0.13569700717926025,0.5101280063390732,0.5101280063390732,Mainz 05,2018,Bundesliga
40,Stefan Bell,25,2250,0,1.6966857202351093,0,1.2929005799815059,17,21,7,0,D,Mainz 05,0,1.6966857202351093,3.6221609134227037,2.4827263178303838,Mainz 05,2018,Bundesliga
43,Danny Latza,24,1886,0,3.070860857143998,3,2.086093107238412,40,23,4,0,M S,Mainz 05,0,3.070860857143998,8.443461778573692,4.978068144991994,Mainz 05,2018,Bundesliga
44,Pablo De Blasis,1,90,0,0.035809699445962906,0,0.06467050313949585,1,1,0,0,M,Mainz 05,0,0.035809699445962906,0.10047999769449234,0.035809699445962906,Mainz 05,2018,Bundesliga
118,Levin Öztunali,15,929,0,0.425394001416862,1,1.0557839944958687,16,6,3,0,F M S,Mainz 05,0,0.425394001416862,2.3599948319606483,1.0243038251064718,Mainz 05,2018,Bundesliga
193,Giulio Donati,9,622,0,0.09082099795341492,0,0.35007519740611315,2,6,2,0,D S,Mainz 05,0,0.09082099795341492,3.7514492198824883,3.388450425118208,Mainz 05,2018,Bundesliga
354,Gaëtan Bussmann,1,90,0,0,0,0,0,0,0,0,D,Mainz 05,0,0,0.1002350002527237,0.1002350002527237,Mainz 05,2018,Bundesliga
449,Robin Zentner,10,900,0,0,0,0,0,0,1,0,GK,Mainz 05,0,0,0.520647007972002,0.520647007972002,Mainz 05,2018,Bundesliga
5133,Aarón Martín,33,2880,0,0.618589251767844,3,4.543015409260988,18,64,3,0,D M S,Mainz 05,0,0.618589251767844,10.212358044460416,7.877417894080281,Mainz 05,2018,Bundesliga
5270,Gerrit Holtmann,4,141,0,0.11430580168962479,0,0.3498093858361244,2,2,2,0,M S,Mainz 05,0,0.11430580168962479,0.4999247044324875,0.035809699445962906,Mainz 05,2018,Bundesliga
5328,Florian Müller,24,2160,0,0,0,0.019872259814292192,0,2,0,0,GK,Mainz 05,0,0,2.0300781996920705,2.0102059398777783,Mainz 05,2018,Bundesliga
6708,Bote Baku,15,939,0,0.5276005966588855,0,0.3719323091208935,11,6,1,0,M S,Mainz 05,0,0.5276005966588855,3.9051740914583206,3.0698474068194628,Mainz 05,2018,Bundesliga
7073,Pierre Kunde,29,1922,0,0.6600821036845446,0,0.5839991951361299,30,15,5,0,M S,Mainz 05,0,0.6600821036845446,7.590591054409742,6.840635716915131,Mainz 05,2018,Bundesliga
7106,Philipp Mwene,6,269,0,0.010550900362432003,0,0.36169441416859627,1,3,0,0,D S,Mainz 05,0,0.010550900362432003,0.9044317035004497,0.5456070080399513,Mainz 05,2018,Bundesliga
7108,Jonathan Burkardt,4,264,0,0.6791000291705132,0,0.5042364988476038,6,5,0,0,F M,Mainz 05,0,0.6791000291705132,1.2631753757596016,0.2441404964774847,Mainz 05,2018,Bundesliga
7109,Leandro Barreiro Martins,1,90,0,0.013879899866878986,0,0.1398559957742691,1,1,1,0,M,Mainz 05,0,0.013879899866878986,0.2950719892978668,0.15521499514579773,Mainz 05,2018,Bundesliga
7138,Ahmet Gürleyen,1,10,0,0.4882360100746155,0,0,1,0,0,0,S,Mainz 05,0,0.4882360100746155,0.4882360100746155,0.4882360100746155,Mainz 05,2018,Bundesliga
7181,Issah Abass,1,7,0,0.016287000849843025,0,0,1,0,0,0,S,Mainz 05,0,0.016287000849843025,0.016287000849843025,0,Mainz 05,2018,Bundesliga
