id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
12411,True,a,"{'id': '240', 'title': 'Union Berlin', 'short_title': 'UNI'}","{'id': '136', 'title': 'RasenBallsport Leipzig', 'short_title': 'RBL'}","{'h': '0', 'a': '4'}","{'h': '0.782907', 'a': '3.93387'}",2019-08-18 17:00:00,"{'w': 0.033637081681579924, 'd': 0.066542461434472, 'l': 0.8998039605699298}",w,RasenBallsport Leipzig,2019,Bundesliga
12419,True,h,"{'id': '136', 'title': 'RasenBallsport Leipzig', 'short_title': 'RBL'}","{'id': '132', 'title': 'Eintracht Frankfurt', 'short_title': 'EIN'}","{'h': '2', 'a': '1'}","{'h': '1.77604', 'a': '0.935237'}",2019-08-25 14:30:00,"{'w': 0.571798586302283, 'd': 0.23206308604452447, 'l': 0.19613832685014226}",w,RasenBallsport Leipzig,2019,Bundesliga
12421,True,a,"{'id': '130', 'title': 'Borussia M.Gladbach', 'short_title': 'BMG'}","{'id': '136', 'title': 'RasenBallsport Leipzig', 'short_title': 'RBL'}","{'h': '1', 'a': '3'}","{'h': '1.4586', 'a': '3.13131'}",2019-08-30 19:30:00,"{'w': 0.1476833044022954, 'd': 0.14562339486064688, 'l': 0.7066921718224438}",w,RasenBallsport Leipzig,2019,Bundesliga
12436,True,h,"{'id': '136', 'title': 'RasenBallsport Leipzig', 'short_title': 'RBL'}","{'id': '117', 'title': 'Bayern Munich', 'short_title': 'BAY'}","{'h': '1', 'a': '1'}","{'h': '1.65427', 'a': '1.6704'}",2019-09-14 16:30:00,"{'w': 0.381973069365126, 'd': 0.22928066938504232, 'l': 0.38874626058682127}",d,RasenBallsport Leipzig,2019,Bundesliga
12444,True,a,"{'id': '123', 'title': 'Werder Bremen', 'short_title': 'WER'}","{'id': '136', 'title': 'RasenBallsport Leipzig', 'short_title': 'RBL'}","{'h': '0', 'a': '3'}","{'h': '0.583174', 'a': '1.72557'}",2019-09-21 16:30:00,"{'w': 0.1206328026956018, 'd': 0.227557375775769, 'l': 0.6518098209825165}",w,RasenBallsport Leipzig,2019,Bundesliga
12452,True,h,"{'id': '136', 'title': 'RasenBallsport Leipzig', 'short_title': 'RBL'}","{'id': '124', 'title': 'Schalke 04', 'short_title': 'SCH'}","{'h': '1', 'a': '3'}","{'h': '1.2781', 'a': '2.64689'}",2019-09-28 13:30:00,"{'w': 0.1644859325814477, 'd': 0.16940674013896828, 'l': 0.6661071851721104}",l,RasenBallsport Leipzig,2019,Bundesliga
12462,True,a,"{'id': '119', 'title': 'Bayer Leverkusen', 'short_title': 'LEV'}","{'id': '136', 'title': 'RasenBallsport Leipzig', 'short_title': 'RBL'}","{'h': '1', 'a': '1'}","{'h': '1.6617', 'a': '2.45811'}",2019-10-05 14:30:00,"{'w': 0.25623235697413616, 'd': 0.19043395531534385, 'l': 0.553333631584376}",d,RasenBallsport Leipzig,2019,Bundesliga
12470,True,h,"{'id': '136', 'title': 'RasenBallsport Leipzig', 'short_title': 'RBL'}","{'id': '131', 'title': 'Wolfsburg', 'short_title': 'WOL'}","{'h': '1', 'a': '1'}","{'h': '1.35769', 'a': '1.69441'}",2019-10-19 14:30:00,"{'w': 0.3083337571827046, 'd': 0.2370126111816981, 'l': 0.45465363118677227}",d,RasenBallsport Leipzig,2019,Bundesliga
12481,True,a,"{'id': '135', 'title': 'Freiburg', 'short_title': 'FRE'}","{'id': '136', 'title': 'RasenBallsport Leipzig', 'short_title': 'RBL'}","{'h': '2', 'a': '1'}","{'h': '1.77638', 'a': '2.55936'}",2019-10-26 14:30:00,"{'w': 0.26411007858782237, 'd': 0.18616469925242374, 'l': 0.5497251282933598}",l,RasenBallsport Leipzig,2019,Bundesliga
12485,True,h,"{'id': '136', 'title': 'RasenBallsport Leipzig', 'short_title': 'RBL'}","{'id': '125', 'title': 'Mainz 05', 'short_title': 'MAI'}","{'h': '8', 'a': '0'}","{'h': '3.95826', 'a': '0.85545'}",2019-11-02 14:30:00,"{'w': 0.892284714571849, 'd': 0.0697569010933109, 'l': 0.037940687392220146}",w,RasenBallsport Leipzig,2019,Bundesliga
