id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
14175,True,a,"{'id': '240', 'title': 'Union Berlin', 'short_title': 'UNI'}","{'id': '121', 'title': 'Augsburg', 'short_title': 'AUG'}","{'h': '1', 'a': '3'}","{'h': '1.04515', 'a': '1.42046'}",2020-09-19 13:30:00,"{'w': 0.2773851614881037, 'd': 0.26637800479370355, 'l': 0.45623683367844486}",w,Augsburg,2020,Bundesliga
14184,True,h,"{'id': '121', 'title': 'Augsburg', 'short_title': 'AUG'}","{'id': '129', 'title': 'Borussia Dortmund', 'short_title': 'DOR'}","{'h': '2', 'a': '0'}","{'h': '1.44779', 'a': '1.5267'}",2020-09-26 13:30:00,"{'w': 0.3605942037629288, 'd': 0.2439805373320267, 'l': 0.3954252587494744}",w,Augsburg,2020,Bundesliga
15165,True,a,"{'id': '131', 'title': 'Wolfsburg', 'short_title': 'WOL'}","{'id': '121', 'title': 'Augsburg', 'short_title': 'AUG'}","{'h': '0', 'a': '0'}","{'h': '1.31989', 'a': '1.80757'}",2020-10-04 13:30:00,"{'w': 0.280673999970859, 'd': 0.23001481709146182, 'l': 0.48931118190812817}",d,Augsburg,2020,Bundesliga
15170,True,h,"{'id': '121', 'title': 'Augsburg', 'short_title': 'AUG'}","{'id': '136', 'title': 'RasenBallsport Leipzig', 'short_title': 'RBL'}","{'h': '0', 'a': '2'}","{'h': '0.550472', 'a': '2.39694'}",2020-10-17 13:30:00,"{'w': 0.06700260108635783, 'd': 0.14819257583196796, 'l': 0.7848047826145425}",l,Augsburg,2020,Bundesliga
15184,True,a,"{'id': '119', 'title': 'Bayer Leverkusen', 'short_title': 'LEV'}","{'id': '121', 'title': 'Augsburg', 'short_title': 'AUG'}","{'h': '3', 'a': '1'}","{'h': '2.6291', 'a': '0.342366'}",2020-10-26 19:30:00,"{'w': 0.8600011761050257, 'd': 0.10881400032842531, 'l': 0.03118469300361691}",l,Augsburg,2020,Bundesliga
15187,True,h,"{'id': '121', 'title': 'Augsburg', 'short_title': 'AUG'}","{'id': '125', 'title': 'Mainz 05', 'short_title': 'MAI'}","{'h': '3', 'a': '1'}","{'h': '1.78716', 'a': '1.01141'}",2020-10-31 14:30:00,"{'w': 0.5557556018546727, 'd': 0.2319175361389528, 'l': 0.21232686113336263}",w,Augsburg,2020,Bundesliga
15199,True,h,"{'id': '121', 'title': 'Augsburg', 'short_title': 'AUG'}","{'id': '122', 'title': 'Hertha Berlin', 'short_title': 'HER'}","{'h': '0', 'a': '3'}","{'h': '0.350601', 'a': '2.51682'}",2020-11-07 14:30:00,"{'w': 0.0353097774524679, 'd': 0.11921790117409485, 'l': 0.8454722460868549}",l,Augsburg,2020,Bundesliga
15204,True,a,"{'id': '130', 'title': 'Borussia M.Gladbach', 'short_title': 'BMG'}","{'id': '121', 'title': 'Augsburg', 'short_title': 'AUG'}","{'h': '1', 'a': '1'}","{'h': '1.70506', 'a': '0.813971'}",2020-11-21 14:30:00,"{'w': 0.5857206628020101, 'd': 0.23762507525172172, 'l': 0.17665426148100727}",d,Augsburg,2020,Bundesliga
15219,True,h,"{'id': '121', 'title': 'Augsburg', 'short_title': 'AUG'}","{'id': '135', 'title': 'Freiburg', 'short_title': 'FRE'}","{'h': '1', 'a': '1'}","{'h': '0.385539', 'a': '0.470106'}",2020-11-28 14:30:00,"{'w': 0.2173862905728054, 'd': 0.5056008015599655, 'l': 0.277012907867229}",d,Augsburg,2020,Bundesliga
15222,True,a,"{'id': '120', 'title': 'Hoffenheim', 'short_title': 'HOF'}","{'id': '121', 'title': 'Augsburg', 'short_title': 'AUG'}","{'h': '3', 'a': '1'}","{'h': '1.45954', 'a': '0.793064'}",2020-12-07 19:30:00,"{'w': 0.5292788074433126, 'd': 0.26689273684513104, 'l': 0.20382845565476973}",l,Augsburg,2020,Bundesliga
