id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
14173,True,h,"{'id': '117', 'title': 'Bayern Munich', 'short_title': 'BAY'}","{'id': '124', 'title': 'Schalke 04', 'short_title': 'SCH'}","{'h': '8', 'a': '0'}","{'h': '4.62088', 'a': '0.14975'}",2020-09-18 18:30:00,"{'w': 0.982579636559342, 'd': 0.015435571422837193, 'l': 0.001886673510330111}",w,Bayern Munich,2020,Bundesliga
14189,True,a,"{'id': '120', 'title': 'Hoffenheim', 'short_title': 'HOF'}","{'id': '117', 'title': 'Bayern Munich', 'short_title': 'BAY'}","{'h': '4', 'a': '1'}","{'h': '2.52339', 'a': '1.17311'}",2020-09-27 13:30:00,"{'w': 0.6670043579399306, 'd': 0.17421638109330248, 'l': 0.15877918315062114}",l,Bayern Munich,2020,Bundesliga
15166,True,h,"{'id': '117', 'title': 'Bayern Munich', 'short_title': 'BAY'}","{'id': '122', 'title': 'Hertha Berlin', 'short_title': 'HER'}","{'h': '4', 'a': '3'}","{'h': '3.99311', 'a': '1.24509'}",2020-10-04 16:00:00,"{'w': 0.842585792649362, 'd': 0.08957256367161356, 'l': 0.06782209718821539}",w,Bayern Munich,2020,Bundesliga
15172,True,a,"{'id': '262', 'title': 'Arminia Bielefeld', 'short_title': 'ARM'}","{'id': '117', 'title': 'Bayern Munich', 'short_title': 'BAY'}","{'h': '1', 'a': '4'}","{'h': '1.21235', 'a': '3.29447'}",2020-10-17 16:30:00,"{'w': 0.10199738770919894, 'd': 0.12437965394219191, 'l': 0.7736208785178227}",w,Bayern Munich,2020,Bundesliga
15180,True,h,"{'id': '117', 'title': 'Bayern Munich', 'short_title': 'BAY'}","{'id': '132', 'title': 'Eintracht Frankfurt', 'short_title': 'EIN'}","{'h': '5', 'a': '0'}","{'h': '3.80823', 'a': '0.429229'}",2020-10-24 13:30:00,"{'w': 0.934956107538159, 'd': 0.04964701370071212, 'l': 0.01538549730164612}",w,Bayern Munich,2020,Bundesliga
15186,True,a,"{'id': '134', 'title': 'FC Cologne', 'short_title': 'COL'}","{'id': '117', 'title': 'Bayern Munich', 'short_title': 'BAY'}","{'h': '1', 'a': '2'}","{'h': '0.681548', 'a': '0.992927'}",2020-10-31 14:30:00,"{'w': 0.24421040208591036, 'd': 0.33736931077833227, 'l': 0.4184202871354848}",w,Bayern Munich,2020,Bundesliga
15200,True,a,"{'id': '129', 'title': 'Borussia Dortmund', 'short_title': 'DOR'}","{'id': '117', 'title': 'Bayern Munich', 'short_title': 'BAY'}","{'h': '2', 'a': '3'}","{'h': '2.30881', 'a': '1.33621'}",2020-11-07 17:30:00,"{'w': 0.5921993212323375, 'd': 0.19482281509909682, 'l': 0.21297783861358063}",w,Bayern Munich,2020,Bundesliga
15203,True,h,"{'id': '117', 'title': 'Bayern Munich', 'short_title': 'BAY'}","{'id': '123', 'title': 'Werder Bremen', 'short_title': 'WER'}","{'h': '1', 'a': '1'}","{'h': '1.6736', 'a': '1.63104'}",2020-11-21 14:30:00,"{'w': 0.3939526849285958, 'd': 0.23001416918168785, 'l': 0.37603314527125503}",d,Bayern Munich,2020,Bundesliga
15220,True,a,"{'id': '133', 'title': 'VfB Stuttgart', 'short_title': 'STU'}","{'id': '117', 'title': 'Bayern Munich', 'short_title': 'BAY'}","{'h': '1', 'a': '3'}","{'h': '1.38666', 'a': '0.889035'}",2020-11-28 14:30:00,"{'w': 0.48499365811041084, 'd': 0.27417324232547063, 'l': 0.24083309953587947}",w,Bayern Munich,2020,Bundesliga
15221,True,h,"{'id': '117', 'title': 'Bayern Munich', 'short_title': 'BAY'}","{'id': '136', 'title': 'RasenBallsport Leipzig', 'short_title': 'RBL'}","{'h': '3', 'a': '3'}","{'h': '1.00047', 'a': '1.56492'}",2020-12-05 17:30:00,"{'w': 0.24206504123061967, 'd': 0.2534418701233315, 'l': 0.5044930884993085}",d,Bayern Munich,2020,Bundesliga
15236,True,a,"{'id': '240', 'title': 'Union Berlin', 'short_title': 'UNI'}","{'id': '117', 'title': 'Bayern Munich', 'short_title': 'BAY'}","{'h': '1', 'a': '1'}","{'h': '1.08682', 'a': '1.06474'}",2020-12-12 17:30:00,"{'w': 0.3580070466963056, 'd': 0.295205295883307, 'l': 0.34678765741869955}",d,Bayern Munich,2020,Bundesliga
