id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
14179,True,h,"{'id': '129', 'title': 'Borussia Dortmund', 'short_title': 'DOR'}","{'id': '130', 'title': 'Borussia M.Gladbach', 'short_title': 'BMG'}","{'h': '3', 'a': '0'}","{'h': '1.70398', 'a': '0.510293'}",2020-09-19 16:30:00,"{'w': 0.6670605903461974, 'd': 0.22696839209896613, 'l': 0.10597101709352849}",w,Borussia Dortmund,2020,Bundesliga
14184,True,a,"{'id': '121', 'title': 'Augsburg', 'short_title': 'AUG'}","{'id': '129', 'title': 'Borussia Dortmund', 'short_title': 'DOR'}","{'h': '2', 'a': '0'}","{'h': '1.44779', 'a': '1.5267'}",2020-09-26 13:30:00,"{'w': 0.3605942037629288, 'd': 0.2439805373320267, 'l': 0.3954252587494744}",l,Borussia Dortmund,2020,Bundesliga
15162,True,h,"{'id': '129', 'title': 'Borussia Dortmund', 'short_title': 'DOR'}","{'id': '135', 'title': 'Freiburg', 'short_title': 'FRE'}","{'h': '4', 'a': '0'}","{'h': '2.82762', 'a': '0.445096'}",2020-10-03 13:30:00,"{'w': 0.8607057109244409, 'd': 0.10288923517601646, 'l': 0.036404730206451685}",w,Borussia Dortmund,2020,Bundesliga
15167,True,a,"{'id': '120', 'title': 'Hoffenheim', 'short_title': 'HOF'}","{'id': '129', 'title': 'Borussia Dortmund', 'short_title': 'DOR'}","{'h': '0', 'a': '1'}","{'h': '0.877373', 'a': '1.84829'}",2020-10-17 13:30:00,"{'w': 0.1739733216853451, 'd': 0.22338711025279187, 'l': 0.6026395666964833}",w,Borussia Dortmund,2020,Bundesliga
15181,True,h,"{'id': '129', 'title': 'Borussia Dortmund', 'short_title': 'DOR'}","{'id': '124', 'title': 'Schalke 04', 'short_title': 'SCH'}","{'h': '3', 'a': '0'}","{'h': '1.48384', 'a': '0.236172'}",2020-10-24 16:30:00,"{'w': 0.6962641575323758, 'd': 0.24753194914684024, 'l': 0.05620389324968002}",w,Borussia Dortmund,2020,Bundesliga
15188,True,a,"{'id': '262', 'title': 'Arminia Bielefeld', 'short_title': 'ARM'}","{'id': '129', 'title': 'Borussia Dortmund', 'short_title': 'DOR'}","{'h': '0', 'a': '2'}","{'h': '0.255813', 'a': '2.75909'}",2020-10-31 14:30:00,"{'w': 0.019719446973994924, 'd': 0.09028074195322505, 'l': 0.8899995723591165}",w,Borussia Dortmund,2020,Bundesliga
15200,True,h,"{'id': '129', 'title': 'Borussia Dortmund', 'short_title': 'DOR'}","{'id': '117', 'title': 'Bayern Munich', 'short_title': 'BAY'}","{'h': '2', 'a': '3'}","{'h': '2.30881', 'a': '1.33621'}",2020-11-07 17:30:00,"{'w': 0.5921993212323375, 'd': 0.19482281509909682, 'l': 0.21297783861358063}",l,Borussia Dortmund,2020,Bundesliga
15209,True,a,"{'id': '122', 'title': 'Hertha Berlin', 'short_title': 'HER'}","{'id': '129', 'title': 'Borussia Dortmund', 'short_title': 'DOR'}","{'h': '2', 'a': '5'}","{'h': '1.20761', 'a': '2.83449'}",2020-11-21 19:30:00,"{'w': 0.13574124349456818, 'd': 0.15348734873712158, 'l': 0.7107710742008567}",w,Borussia Dortmund,2020,Bundesliga
15212,True,h,"{'id': '129', 'title': 'Borussia Dortmund', 'short_title': 'DOR'}","{'id': '134', 'title': 'FC Cologne', 'short_title': 'COL'}","{'h': '1', 'a': '2'}","{'h': '2.76041', 'a': '1.59253'}",2020-11-28 14:30:00,"{'w': 0.6219460539211408, 'd': 0.1719904650454281, 'l': 0.20606324070929163}",l,Borussia Dortmund,2020,Bundesliga
15224,True,a,"{'id': '132', 'title': 'Eintracht Frankfurt', 'short_title': 'EIN'}","{'id': '129', 'title': 'Borussia Dortmund', 'short_title': 'DOR'}","{'h': '1', 'a': '1'}","{'h': '0.847822', 'a': '1.1385'}",2020-12-05 14:30:00,"{'w': 0.2713621004009532, 'd': 0.3052293272874958, 'l': 0.4234085723096767}",d,Borussia Dortmund,2020,Bundesliga
