id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
14173,True,a,"{'id': '117', 'title': 'Bayern Munich', 'short_title': 'BAY'}","{'id': '124', 'title': 'Schalke 04', 'short_title': 'SCH'}","{'h': '8', 'a': '0'}","{'h': '4.62088', 'a': '0.14975'}",2020-09-18 18:30:00,"{'w': 0.982579636559342, 'd': 0.015435571422837193, 'l': 0.001886673510330111}",l,Schalke 04,2020,Bundesliga
14188,True,h,"{'id': '124', 'title': 'Schalke 04', 'short_title': 'SCH'}","{'id': '123', 'title': 'Werder Bremen', 'short_title': 'WER'}","{'h': '1', 'a': '3'}","{'h': '1.67597', 'a': '3.10437'}",2020-09-26 16:30:00,"{'w': 0.18291549651150282, 'd': 0.1549536206052984, 'l': 0.6621298658634165}",l,Schalke 04,2020,Bundesliga
15164,True,a,"{'id': '136', 'title': 'RasenBallsport Leipzig', 'short_title': 'RBL'}","{'id': '124', 'title': 'Schalke 04', 'short_title': 'SCH'}","{'h': '4', 'a': '0'}","{'h': '3.25836', 'a': '0.215209'}",2020-10-03 16:30:00,"{'w': 0.9328594675192365, 'd': 0.056870544463373494, 'l': 0.010268165287904654}",l,Schalke 04,2020,Bundesliga
15175,True,h,"{'id': '124', 'title': 'Schalke 04', 'short_title': 'SCH'}","{'id': '240', 'title': 'Union Berlin', 'short_title': 'UNI'}","{'h': '1', 'a': '1'}","{'h': '0.250814', 'a': '0.831403'}",2020-10-18 16:00:00,"{'w': 0.10657917267934902, 'd': 0.4132716757463627, 'l': 0.4801491515742661}",d,Schalke 04,2020,Bundesliga
15181,True,a,"{'id': '129', 'title': 'Borussia Dortmund', 'short_title': 'DOR'}","{'id': '124', 'title': 'Schalke 04', 'short_title': 'SCH'}","{'h': '3', 'a': '0'}","{'h': '1.48384', 'a': '0.236172'}",2020-10-24 16:30:00,"{'w': 0.6962641575323758, 'd': 0.24753194914684024, 'l': 0.05620389324968002}",l,Schalke 04,2020,Bundesliga
15185,True,h,"{'id': '124', 'title': 'Schalke 04', 'short_title': 'SCH'}","{'id': '133', 'title': 'VfB Stuttgart', 'short_title': 'STU'}","{'h': '1', 'a': '1'}","{'h': '0.726659', 'a': '1.56968'}",2020-10-30 19:30:00,"{'w': 0.1719595603847012, 'd': 0.25259031096993007, 'l': 0.5754501284927804}",d,Schalke 04,2020,Bundesliga
15198,True,a,"{'id': '125', 'title': 'Mainz 05', 'short_title': 'MAI'}","{'id': '124', 'title': 'Schalke 04', 'short_title': 'SCH'}","{'h': '2', 'a': '2'}","{'h': '3.36371', 'a': '1.70687'}",2020-11-07 14:30:00,"{'w': 0.6950212232357641, 'd': 0.14213444592985905, 'l': 0.16284166509655712}",d,Schalke 04,2020,Bundesliga
15206,True,h,"{'id': '124', 'title': 'Schalke 04', 'short_title': 'SCH'}","{'id': '131', 'title': 'Wolfsburg', 'short_title': 'WOL'}","{'h': '0', 'a': '2'}","{'h': '1.00376', 'a': '2.66289'}",2020-11-21 14:30:00,"{'w': 0.11835882019252947, 'd': 0.15562863965784068, 'l': 0.7260123868969242}",l,Schalke 04,2020,Bundesliga
15214,True,a,"{'id': '130', 'title': 'Borussia M.Gladbach', 'short_title': 'BMG'}","{'id': '124', 'title': 'Schalke 04', 'short_title': 'SCH'}","{'h': '4', 'a': '1'}","{'h': '3.15544', 'a': '0.734533'}",2020-11-28 17:30:00,"{'w': 0.8418904237096193, 'd': 0.1034915167873687, 'l': 0.05461682083109886}",l,Schalke 04,2020,Bundesliga
15226,True,h,"{'id': '124', 'title': 'Schalke 04', 'short_title': 'SCH'}","{'id': '119', 'title': 'Bayer Leverkusen', 'short_title': 'LEV'}","{'h': '0', 'a': '3'}","{'h': '1.22701', 'a': '2.45305'}",2020-12-06 17:00:00,"{'w': 0.17565407119287746, 'd': 0.18142945497813381, 'l': 0.6429164194704424}",l,Schalke 04,2020,Bundesliga
