id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
17521,True,a,"{'id': '131', 'title': 'Wolfsburg', 'short_title': 'WOL'}","{'id': '268', 'title': 'Bochum', 'short_title': 'BOC'}","{'h': '1', 'a': '0'}","{'h': '2.78774', 'a': '0.297792'}",2021-08-14 13:30:00,"{'w': 0.8846978059490107, 'd': 0.09228924802118903, 'l': 0.023012674607548887}",l,Bochum,2021,Bundesliga
17527,True,h,"{'id': '268', 'title': 'Bochum', 'short_title': 'BOC'}","{'id': '125', 'title': 'Mainz 05', 'short_title': 'MAI'}","{'h': '2', 'a': '0'}","{'h': '1.05301', 'a': '0.817413'}",2021-08-21 13:30:00,"{'w': 0.40418809583629267, 'd': 0.31807912901565105, 'l': 0.27773277514741906}",w,Bochum,2021,Bundesliga
17535,True,a,"{'id': '134', 'title': 'FC Cologne', 'short_title': 'COL'}","{'id': '268', 'title': 'Bochum', 'short_title': 'BOC'}","{'h': '2', 'a': '1'}","{'h': '2.91135', 'a': '0.721445'}",2021-08-28 13:30:00,"{'w': 0.8171836472049444, 'd': 0.11892278881041994, 'l': 0.06389309993988367}",l,Bochum,2021,Bundesliga
17550,True,h,"{'id': '268', 'title': 'Bochum', 'short_title': 'BOC'}","{'id': '122', 'title': 'Hertha Berlin', 'short_title': 'HER'}","{'h': '1', 'a': '3'}","{'h': '1.02687', 'a': '0.605231'}",2021-09-12 15:30:00,"{'w': 0.44996776684677586, 'd': 0.3372673817964456, 'l': 0.2127648513563432}",l,Bochum,2021,Bundesliga
17556,True,a,"{'id': '117', 'title': 'Bayern Munich', 'short_title': 'BAY'}","{'id': '268', 'title': 'Bochum', 'short_title': 'BOC'}","{'h': '7', 'a': '0'}","{'h': '6.88189', 'a': '1.23312'}",2021-09-18 13:30:00,"{'w': 0.9684585526055474, 'd': 0.017160599270159588, 'l': 0.00945343691712778}",l,Bochum,2021,Bundesliga
17568,True,h,"{'id': '268', 'title': 'Bochum', 'short_title': 'BOC'}","{'id': '133', 'title': 'VfB Stuttgart', 'short_title': 'STU'}","{'h': '0', 'a': '0'}","{'h': '0.925854', 'a': '0.29441'}",2021-09-26 13:30:00,"{'w': 0.5040135349293803, 'd': 0.38125640804035615, 'l': 0.11473005703016231}",d,Bochum,2021,Bundesliga
17577,True,a,"{'id': '136', 'title': 'RasenBallsport Leipzig', 'short_title': 'RBL'}","{'id': '268', 'title': 'Bochum', 'short_title': 'BOC'}","{'h': '3', 'a': '0'}","{'h': '2.46461', 'a': '1.51583'}",2021-10-02 16:30:00,"{'w': 0.5841931761456169, 'd': 0.18804514143414394, 'l': 0.22776162462268648}",l,Bochum,2021,Bundesliga
17579,True,a,"{'id': '267', 'title': 'Greuther Fuerth', 'short_title': 'GRE'}","{'id': '268', 'title': 'Bochum', 'short_title': 'BOC'}","{'h': '0', 'a': '1'}","{'h': '0.69855', 'a': '1.72207'}",2021-10-16 13:30:00,"{'w': 0.1475411266989755, 'd': 0.23255448287886427, 'l': 0.6199043898906988}",w,Bochum,2021,Bundesliga
17588,True,h,"{'id': '268', 'title': 'Bochum', 'short_title': 'BOC'}","{'id': '132', 'title': 'Eintracht Frankfurt', 'short_title': 'EIN'}","{'h': '2', 'a': '0'}","{'h': '2.78664', 'a': '1.51826'}",2021-10-24 17:30:00,"{'w': 0.6410855740007293, 'd': 0.16840020751565182, 'l': 0.19051394829119161}",w,Bochum,2021,Bundesliga
17601,True,a,"{'id': '130', 'title': 'Borussia M.Gladbach', 'short_title': 'BMG'}","{'id': '268', 'title': 'Bochum', 'short_title': 'BOC'}","{'h': '2', 'a': '1'}","{'h': '1.81742', 'a': '1.07958'}",2021-10-31 16:30:00,"{'w': 0.5464346235280806, 'd': 0.22970208813315132, 'l': 0.22386328724646964}",l,Bochum,2021,Bundesliga
