id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,team,season,league
7881,Sebastian Polter,33,2349,10,10.938555587083101,1,2.061544111929834,56,28,2,0,F S,Bochum,9,9.42300183698535,11.747974755242467,2.3936223927885294,Bochum,2021,Bundesliga
5270,Gerrit Holtmann,29,1875,5,3.947258581407368,4,5.095145611092448,45,29,0,0,F M S,Bochum,5,3.947258581407368,10.520650490187109,1.6747156009078026,Bochum,2021,Bundesliga
378,Milos Pantovic,28,1545,4,5.294780997559428,3,4.958747647702694,23,33,2,0,F M S,Bochum,3,4.537004021927714,10.131411381065845,2.2840824965387583,Bochum,2021,Bundesliga
139,Simon Zoller,10,591,3,1.782903304323554,2,1.0747246984392405,11,7,3,0,F M S,Bochum,3,1.782903304323554,3.1668269895017147,0.33003489673137665,Bochum,2021,Bundesliga
6087,Takuma Asano,27,1629,3,3.9566245628520846,4,2.2989523001015186,33,20,1,0,F M S,Bochum,3,3.9566245628520846,7.468266390264034,1.5511839278042316,Bochum,2021,Bundesliga
5236,Danny Blum,13,325,2,0.811818802729249,0,1.031423680484295,11,12,0,0,F S,Bochum,2,0.811818802729249,1.8410146180540323,0.275230897590518,Bochum,2021,Bundesliga
6542,Jürgen Locadia,11,438,2,1.8009391026571393,1,0.8226615935564041,18,8,0,0,F S,Bochum,1,1.043242977000773,2.4175434382632375,0.5675599873065948,Bochum,2021,Bundesliga
7043,Eduard Löwen,26,1413,2,3.2155066458508372,2,4.044838197529316,38,41,0,0,M S,Bochum,1,2.4577300315722823,4.9949547946453094,1.6677210945636034,Bochum,2021,Bundesliga
9705,Anthony Losilla,33,2941,2,2.183144109323621,0,0.908786702901125,33,16,5,0,D M,Bochum,2,2.183144109323621,5.665165144950151,4.500664165709168,Bochum,2021,Bundesliga
855,Cristian Gamboa,23,1737,1,0.10198444314301014,0,1.095487505197525,5,13,6,0,D S,Bochum,1,0.10198444314301014,5.201526742428541,4.72069426625967,Bochum,2021,Bundesliga
7798,Christopher Antwi-Adjei,25,1117,1,2.699526695534587,1,0.9967997018247843,29,6,2,0,F M S,Bochum,1,2.699526695534587,4.609935814514756,0.9570143055170774,Bochum,2021,Bundesliga
9703,Maxim Leitsch,19,1536,1,1.0440027676522732,0,0.6111973002552986,5,3,2,0,D S,Bochum,1,1.0440027676522732,3.4308083560317755,3.4210385512560606,Bochum,2021,Bundesliga
9830,Soma Novothny,6,72,1,0.60692298412323,0,0,3,0,0,0,S,Bochum,1,0.60692298412323,0.4179239869117737,0,Bochum,2021,Bundesliga
247,Danilo Soares,30,2573,0,0.38340549916028976,1,2.312810860108584,13,19,4,0,D M,Bochum,0,0.38340549916028976,7.7626557550393045,5.960787762422115,Bochum,2021,Bundesliga
368,Konstantinos Stafylidis,24,1382,0,0.8016093941405416,1,1.0998149141669273,16,12,3,1,D M S,Bochum,0,0.8016093941405416,2.1770187877118587,1.495249381288886,Bochum,2021,Bundesliga
5277,Michael Esser,3,270,0,0,0,0,0,0,0,0,GK,Bochum,0,0,0,0,Bochum,2021,Bundesliga
6445,Elvis Rexhbecaj,32,2575,0,1.1570550110191107,0,1.3182468637824059,34,20,5,0,M S,Bochum,0,1.1570550110191107,4.926123723387718,3.2372893122956157,Bochum,2021,Bundesliga
9702,Manuel Riemann,31,2790,0,0.7577769756317139,1,0.19136946741491556,1,5,2,0,GK,Bochum,0,0,5.704374060034752,5.607083930633962,Bochum,2021,Bundesliga
9704,Vasilios Lampropoulos,13,1170,0,0.2757958313450217,0,0.04711659997701645,4,1,1,0,D,Bochum,0,0.2757958313450217,1.7156624160706997,1.668545413762331,Bochum,2021,Bundesliga
9706,Robert Tesche,11,344,0,0.08619010075926781,0,0,2,0,2,1,M S,Bochum,0,0.08619010075926781,0.5934126069769263,0.5578219061717391,Bochum,2021,Bundesliga
9707,Silvère Ganvoula,9,139,0,1.4279269874095917,0,0,3,0,0,0,S,Bochum,0,1.4279269874095917,1.588800385594368,0.1608733981847763,Bochum,2021,Bundesliga
9708,Herbert Bockhorn,18,825,0,0.28192110545933247,0,0.2521964944899082,7,4,1,0,D M S,Bochum,0,0.28192110545933247,1.2108886055648327,0.8326764963567257,Bochum,2021,Bundesliga
9709,Erhan Masovic,20,1546,0,0.3841405976563692,0,0,5,0,7,0,D S,Bochum,0,0.3841405976563692,2.192488973028958,2.192488973028958,Bochum,2021,Bundesliga
9710,Armel Bella Kotchap,22,1775,0,0.8344141822308302,0,0.0457163006067276,10,2,5,0,D S,Bochum,0,0.8344141822308302,3.3896181881427765,3.2657955922186375,Bochum,2021,Bundesliga
9711,Patrick Osterhage,13,588,0,0.18108540307730436,1,0.1392129911109805,4,4,2,0,M S,Bochum,0,0.18108540307730436,0.5368181895464659,0.33182049077004194,Bochum,2021,Bundesliga
9831,Saulo Decarli,1,4,0,0.0556039996445179,0,0,1,0,0,0,S,Bochum,0,0.0556039996445179,0.012321200221776962,0.012321200221776962,Bochum,2021,Bundesliga
10112,Tarsis Bonga,3,10,0,0.18457400426268578,0,0,3,0,0,0,S,Bochum,0,0.18457400426268578,0.09123570099473,0,Bochum,2021,Bundesliga
10182,Luis Hartwig,1,1,0,0,0,0,0,0,0,0,S,Bochum,0,0,0,0,Bochum,2021,Bundesliga
