id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
17519,True,a,"{'id': '133', 'title': 'VfB Stuttgart', 'short_title': 'STU'}","{'id': '267', 'title': 'Greuther Fuerth', 'short_title': 'GRE'}","{'h': '5', 'a': '1'}","{'h': '4.25968', 'a': '1.31466'}",2021-08-14 13:30:00,"{'w': 0.8559182518616995, 'd': 0.08147657311160163, 'l': 0.06256485097319027}",l,Greuther Fuerth,2021,Bundesliga
17526,True,h,"{'id': '267', 'title': 'Greuther Fuerth', 'short_title': 'GRE'}","{'id': '262', 'title': 'Arminia Bielefeld', 'short_title': 'ARM'}","{'h': '1', 'a': '1'}","{'h': '2.57735', 'a': '0.763691'}",2021-08-21 13:30:00,"{'w': 0.7641256775869437, 'd': 0.14786253607917593, 'l': 0.08801168467293699}",d,Greuther Fuerth,2021,Bundesliga
17538,True,a,"{'id': '125', 'title': 'Mainz 05', 'short_title': 'MAI'}","{'id': '267', 'title': 'Greuther Fuerth', 'short_title': 'GRE'}","{'h': '3', 'a': '0'}","{'h': '2.79493', 'a': '0.304223'}",2021-08-28 13:30:00,"{'w': 0.8841530208082684, 'd': 0.09238592264140286, 'l': 0.02346077630865809}",l,Greuther Fuerth,2021,Bundesliga
17543,True,h,"{'id': '267', 'title': 'Greuther Fuerth', 'short_title': 'GRE'}","{'id': '131', 'title': 'Wolfsburg', 'short_title': 'WOL'}","{'h': '0', 'a': '2'}","{'h': '0.392561', 'a': '1.44282'}",2021-09-11 13:30:00,"{'w': 0.09895434010072014, 'd': 0.26355324937971947, 'l': 0.6374924104710463}",l,Greuther Fuerth,2021,Bundesliga
17552,True,a,"{'id': '122', 'title': 'Hertha Berlin', 'short_title': 'HER'}","{'id': '267', 'title': 'Greuther Fuerth', 'short_title': 'GRE'}","{'h': '2', 'a': '1'}","{'h': '1.59085', 'a': '1.55279'}",2021-09-17 18:30:00,"{'w': 0.38990189920407614, 'd': 0.23658721815865008, 'l': 0.3735108823225845}",l,Greuther Fuerth,2021,Bundesliga
17561,True,h,"{'id': '267', 'title': 'Greuther Fuerth', 'short_title': 'GRE'}","{'id': '117', 'title': 'Bayern Munich', 'short_title': 'BAY'}","{'h': '1', 'a': '3'}","{'h': '0.655908', 'a': '0.677915'}",2021-09-24 18:30:00,"{'w': 0.2961127905090008, 'd': 0.39430355092966457, 'l': 0.30958365856133274}",l,Greuther Fuerth,2021,Bundesliga
17570,True,a,"{'id': '134', 'title': 'FC Cologne', 'short_title': 'COL'}","{'id': '267', 'title': 'Greuther Fuerth', 'short_title': 'GRE'}","{'h': '3', 'a': '1'}","{'h': '2.8694', 'a': '0.984368'}",2021-10-01 18:30:00,"{'w': 0.7604028250291549, 'd': 0.13926173089868643, 'l': 0.10033505602922725}",l,Greuther Fuerth,2021,Bundesliga
17579,True,h,"{'id': '267', 'title': 'Greuther Fuerth', 'short_title': 'GRE'}","{'id': '268', 'title': 'Bochum', 'short_title': 'BOC'}","{'h': '0', 'a': '1'}","{'h': '0.69855', 'a': '1.72207'}",2021-10-16 13:30:00,"{'w': 0.1475411266989755, 'd': 0.23255448287886427, 'l': 0.6199043898906988}",l,Greuther Fuerth,2021,Bundesliga
17595,True,a,"{'id': '136', 'title': 'RasenBallsport Leipzig', 'short_title': 'RBL'}","{'id': '267', 'title': 'Greuther Fuerth', 'short_title': 'GRE'}","{'h': '4', 'a': '1'}","{'h': '2.30304', 'a': '1.94277'}",2021-10-23 13:30:00,"{'w': 0.46845199991155234, 'd': 0.19773667242433474, 'l': 0.3338113007774673}",l,Greuther Fuerth,2021,Bundesliga
17600,True,a,"{'id': '135', 'title': 'Freiburg', 'short_title': 'FRE'}","{'id': '267', 'title': 'Greuther Fuerth', 'short_title': 'GRE'}","{'h': '3', 'a': '1'}","{'h': '1.2181', 'a': '0.48039'}",2021-10-30 13:30:00,"{'w': 0.5470695189415641, 'd': 0.3067392846648261, 'l': 0.14619119638888947}",l,Greuther Fuerth,2021,Bundesliga
17606,True,h,"{'id': '267', 'title': 'Greuther Fuerth', 'short_title': 'GRE'}","{'id': '132', 'title': 'Eintracht Frankfurt', 'short_title': 'EIN'}","{'h': '1', 'a': '2'}","{'h': '2.4344', 'a': '1.26639'}",2021-11-07 18:30:00,"{'w': 0.6310375033702927, 'd': 0.1840647289505886, 'l': 0.18489771835077828}",l,Greuther Fuerth,2021,Bundesliga
