id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
30226,True,h,"{'id': '119', 'title': 'Bayer Leverkusen', 'short_title': 'LEV'}","{'id': '120', 'title': 'Hoffenheim', 'short_title': 'HOF'}","{'h': '1', 'a': '2'}","{'h': '1.05253', 'a': '0.505193'}",2025-08-23 13:30:00,"{'w': 0.48645416076388465, 'd': 0.33840224584945294, 'l': 0.17514359338604676}",l,Bayer Leverkusen,2025,Bundesliga
30236,True,a,"{'id': '123', 'title': 'Werder Bremen', 'short_title': 'WER'}","{'id': '119', 'title': 'Bayer Leverkusen', 'short_title': 'LEV'}","{'h': '3', 'a': '3'}","{'h': '2.32676', 'a': '2.03733'}",2025-08-30 13:30:00,"{'w': 0.4555811174215874, 'd': 0.19578251609455083, 'l': 0.3486363338918292}",d,Bayer Leverkusen,2025,Bundesliga
30242,True,h,"{'id': '119', 'title': 'Bayer Leverkusen', 'short_title': 'LEV'}","{'id': '132', 'title': 'Eintracht Frankfurt', 'short_title': 'EIN'}","{'h': '3', 'a': '1'}","{'h': '2.31465', 'a': '0.791863'}",2025-09-12 18:30:00,"{'w': 0.7157124645478203, 'd': 0.17298044628463086, 'l': 0.11130706330314015}",w,Bayer Leverkusen,2025,Bundesliga
30258,True,h,"{'id': '119', 'title': 'Bayer Leverkusen', 'short_title': 'LEV'}","{'id': '130', 'title': 'Borussia M.Gladbach', 'short_title': 'BMG'}","{'h': '1', 'a': '1'}","{'h': '1.9461', 'a': '1.29876'}",2025-09-21 15:30:00,"{'w': 0.5251748877812907, 'd': 0.22026812066373078, 'l': 0.254556988841769}",d,Bayer Leverkusen,2025,Bundesliga
30263,True,a,"{'id': '288', 'title': 'St. Pauli', 'short_title': 'SPA'}","{'id': '119', 'title': 'Bayer Leverkusen', 'short_title': 'LEV'}","{'h': '1', 'a': '2'}","{'h': '0.813325', 'a': '1.28912'}",2025-09-27 13:30:00,"{'w': 0.23526439477351702, 'd': 0.28798635144973367, 'l': 0.4767492537663978}",w,Bayer Leverkusen,2025,Bundesliga
30269,True,h,"{'id': '119', 'title': 'Bayer Leverkusen', 'short_title': 'LEV'}","{'id': '240', 'title': 'Union Berlin', 'short_title': 'UNI'}","{'h': '2', 'a': '0'}","{'h': '3.35673', 'a': '1.19684'}",2025-10-04 13:30:00,"{'w': 0.7839428372467179, 'd': 0.11990426608515106, 'l': 0.09615029645309106}",w,Bayer Leverkusen,2025,Bundesliga
30282,True,a,"{'id': '125', 'title': 'Mainz 05', 'short_title': 'MAI'}","{'id': '119', 'title': 'Bayer Leverkusen', 'short_title': 'LEV'}","{'h': '3', 'a': '4'}","{'h': '1.62978', 'a': '4.43462'}",2025-10-18 13:30:00,"{'w': 0.08166438246896654, 'd': 0.08878432705751403, 'l': 0.8294884902413999}",w,Bayer Leverkusen,2025,Bundesliga
30288,True,h,"{'id': '119', 'title': 'Bayer Leverkusen', 'short_title': 'LEV'}","{'id': '135', 'title': 'Freiburg', 'short_title': 'FRE'}","{'h': '2', 'a': '0'}","{'h': '2.46787', 'a': '0.542897'}",2025-10-26 13:30:00,"{'w': 0.7967708392483502, 'd': 0.14092898028097117, 'l': 0.06230012179040057}",w,Bayer Leverkusen,2025,Bundesliga
30297,True,a,"{'id': '117', 'title': 'Bayern Munich', 'short_title': 'BAY'}","{'id': '119', 'title': 'Bayer Leverkusen', 'short_title': 'LEV'}","{'h': '3', 'a': '0'}","{'h': '2.28295', 'a': '0.382774'}",2025-11-01 17:30:00,"{'w': 0.8073238891397548, 'd': 0.14496397471053563, 'l': 0.047712114490004065}",l,Bayer Leverkusen,2025,Bundesliga
30305,True,h,"{'id': '119', 'title': 'Bayer Leverkusen', 'short_title': 'LEV'}","{'id': '280', 'title': 'FC Heidenheim', 'short_title': 'HEI'}","{'h': '6', 'a': '0'}","{'h': '3.90142', 'a': '0.063377'}",2025-11-08 14:30:00,"{'w': 0.9746245462577945, 'd': 0.023960947102884756, 'l': 0.001399495763794708}",w,Bayer Leverkusen,2025,Bundesliga
