id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
30225,True,h,"{'id': '280', 'title': 'FC Heidenheim', 'short_title': 'HEI'}","{'id': '131', 'title': 'Wolfsburg', 'short_title': 'WOL'}","{'h': '1', 'a': '3'}","{'h': '0.783156', 'a': '2.57718'}",2025-08-23 13:30:00,"{'w': 0.09091377106588704, 'd': 0.14918692010341222, 'l': 0.7598992072542786}",l,FC Heidenheim,2025,Bundesliga
30235,True,a,"{'id': '136', 'title': 'RasenBallsport Leipzig', 'short_title': 'RBL'}","{'id': '280', 'title': 'FC Heidenheim', 'short_title': 'HEI'}","{'h': '2', 'a': '0'}","{'h': '3.29717', 'a': '0.969982'}",2025-08-30 13:30:00,"{'w': 0.8162824432981991, 'd': 0.11036545061659955, 'l': 0.07335000578999956}",l,FC Heidenheim,2025,Bundesliga
30244,True,h,"{'id': '280', 'title': 'FC Heidenheim', 'short_title': 'HEI'}","{'id': '129', 'title': 'Borussia Dortmund', 'short_title': 'DOR'}","{'h': '0', 'a': '2'}","{'h': '0.299026', 'a': '2.84999'}",2025-09-13 13:30:00,"{'w': 0.021903296395165618, 'd': 0.0880162226809786, 'l': 0.8900801240869585}",l,FC Heidenheim,2025,Bundesliga
30254,True,a,"{'id': '118', 'title': 'Hamburger SV', 'short_title': 'HAM'}","{'id': '280', 'title': 'FC Heidenheim', 'short_title': 'HEI'}","{'h': '2', 'a': '1'}","{'h': '3.32157', 'a': '2.63607'}",2025-09-20 13:30:00,"{'w': 0.5277275846883097, 'd': 0.16135459178974923, 'l': 0.31091539493131354}",l,FC Heidenheim,2025,Bundesliga
30261,True,h,"{'id': '280', 'title': 'FC Heidenheim', 'short_title': 'HEI'}","{'id': '121', 'title': 'Augsburg', 'short_title': 'AUG'}","{'h': '2', 'a': '1'}","{'h': '1.79097', 'a': '0.619833'}",2025-09-27 13:30:00,"{'w': 0.6565373557532094, 'd': 0.22067329437243133, 'l': 0.12278934897656192}",w,FC Heidenheim,2025,Bundesliga
30275,True,a,"{'id': '133', 'title': 'VfB Stuttgart', 'short_title': 'STU'}","{'id': '280', 'title': 'FC Heidenheim', 'short_title': 'HEI'}","{'h': '1', 'a': '0'}","{'h': '1.10781', 'a': '0.290942'}",2025-10-05 13:30:00,"{'w': 0.5700186203477996, 'd': 0.3331310623496272, 'l': 0.09685031730131316}",l,FC Heidenheim,2025,Bundesliga
30281,True,h,"{'id': '280', 'title': 'FC Heidenheim', 'short_title': 'HEI'}","{'id': '123', 'title': 'Werder Bremen', 'short_title': 'WER'}","{'h': '2', 'a': '2'}","{'h': '3.07635', 'a': '1.85638'}",2025-10-18 13:30:00,"{'w': 0.6242607738950724, 'd': 0.16130350270641816, 'l': 0.21443481127940497}",d,FC Heidenheim,2025,Bundesliga
30293,True,a,"{'id': '120', 'title': 'Hoffenheim', 'short_title': 'HOF'}","{'id': '280', 'title': 'FC Heidenheim', 'short_title': 'HEI'}","{'h': '3', 'a': '1'}","{'h': '2.4278', 'a': '0.902315'}",2025-10-25 13:30:00,"{'w': 0.7098735200607722, 'd': 0.1691421139109729, 'l': 0.12098431838510168}",l,FC Heidenheim,2025,Bundesliga
30299,True,h,"{'id': '280', 'title': 'FC Heidenheim', 'short_title': 'HEI'}","{'id': '132', 'title': 'Eintracht Frankfurt', 'short_title': 'EIN'}","{'h': '1', 'a': '1'}","{'h': '0.831882', 'a': '1.22406'}",2025-11-01 14:30:00,"{'w': 0.2514788830332738, 'd': 0.29545806139998265, 'l': 0.45306305556167126}",d,FC Heidenheim,2025,Bundesliga
30305,True,a,"{'id': '119', 'title': 'Bayer Leverkusen', 'short_title': 'LEV'}","{'id': '280', 'title': 'FC Heidenheim', 'short_title': 'HEI'}","{'h': '6', 'a': '0'}","{'h': '3.90142', 'a': '0.063377'}",2025-11-08 14:30:00,"{'w': 0.9746245462577945, 'd': 0.023960947102884756, 'l': 0.001399495763794708}",l,FC Heidenheim,2025,Bundesliga
