id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,team,season,league
13323,Budu Zivzivadze,19,1058,6,4.683820255100727,0,0.37438860535621643,24,6,2,1,F S,FC Heidenheim,6,4.683820255100727,4.33638571202755,0.7583490833640099,FC Heidenheim,2025,Bundesliga
11861,Stefan Schimmer,26,715,5,5.455870822072029,1,1.6511298958212137,31,12,1,0,F S,FC Heidenheim,5,5.455870822072029,7.923455473035574,1.3862062525004148,FC Heidenheim,2025,Bundesliga
11856,Marvin Pieringer,26,1640,4,5.275635045021772,1,2.100304141640663,31,15,2,0,F M S,FC Heidenheim,3,4.517858397215605,6.946886187419295,3.0162375289946795,FC Heidenheim,2025,Bundesliga
9201,Eren Sami Dinkci,13,1071,3,3.6923474334180355,1,0.6850915104150772,22,8,2,0,D F M S,FC Heidenheim,3,3.6923474334180355,5.365147959440947,1.5688314586877823,FC Heidenheim,2025,Bundesliga
11865,Jan Schöppner,30,2196,3,2.4358550421893597,3,2.900677088648081,24,13,5,0,M S,FC Heidenheim,3,2.4358550421893597,8.646200844086707,5.247540163807571,FC Heidenheim,2025,Bundesliga
13429,Julian Niehues,24,1416,3,2.098195953294635,0,0.7285752408206463,18,7,1,0,M S,FC Heidenheim,3,2.098195953294635,4.336162481456995,2.817117601633072,FC Heidenheim,2025,Bundesliga
10248,Arijon Ibrahimovic,31,2128,2,5.164258228614926,4,6.682361597195268,44,55,1,0,D F M S,FC Heidenheim,1,4.4064815659075975,11.90873996168375,3.578882203437388,FC Heidenheim,2025,Bundesliga
11853,Patrick Mainka,33,2970,2,2.9209096636623144,2,1.7703800983726978,35,10,2,0,D,FC Heidenheim,2,2.9209096636623144,8.899364207871258,7.189261053688824,FC Heidenheim,2025,Bundesliga
11917,Mathias Honsak,26,1249,2,3.318507017567754,1,1.4457622598856688,31,11,1,0,F M S,FC Heidenheim,2,3.318507017567754,6.105871044099331,1.940842181444168,FC Heidenheim,2025,Bundesliga
12987,Luca Kerber,18,670,2,1.526185255497694,0,0.15216649509966373,9,2,3,0,M S,FC Heidenheim,2,1.526185255497694,1.823819350451231,0.5324585903435946,FC Heidenheim,2025,Bundesliga
