id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
30232,True,a,"{'id': '130', 'title': 'Borussia M.Gladbach', 'short_title': 'BMG'}","{'id': '118', 'title': 'Hamburger SV', 'short_title': 'HAM'}","{'h': '0', 'a': '0'}","{'h': '1.01717', 'a': '0.285593'}",2025-08-24 15:30:00,"{'w': 0.5404799989788588, 'd': 0.3566531806397445, 'l': 0.10286682038101573}",d,Hamburger SV,2025,Bundesliga
30233,True,h,"{'id': '118', 'title': 'Hamburger SV', 'short_title': 'HAM'}","{'id': '288', 'title': 'St. Pauli', 'short_title': 'SPA'}","{'h': '0', 'a': '2'}","{'h': '0.74111', 'a': '1.85404'}",2025-08-29 18:30:00,"{'w': 0.14322278966411067, 'd': 0.218280516221322, 'l': 0.638496692691745}",l,Hamburger SV,2025,Bundesliga
30248,True,a,"{'id': '117', 'title': 'Bayern Munich', 'short_title': 'BAY'}","{'id': '118', 'title': 'Hamburger SV', 'short_title': 'HAM'}","{'h': '5', 'a': '0'}","{'h': '3.03718', 'a': '0.559174'}",2025-09-13 16:30:00,"{'w': 0.8607942046183079, 'd': 0.09792710784556972, 'l': 0.04127790838389632}",l,Hamburger SV,2025,Bundesliga
30254,True,h,"{'id': '118', 'title': 'Hamburger SV', 'short_title': 'HAM'}","{'id': '280', 'title': 'FC Heidenheim', 'short_title': 'HEI'}","{'h': '2', 'a': '1'}","{'h': '3.32157', 'a': '2.63607'}",2025-09-20 13:30:00,"{'w': 0.5277275846883097, 'd': 0.16135459178974923, 'l': 0.31091539493131354}",w,Hamburger SV,2025,Bundesliga
30268,True,a,"{'id': '240', 'title': 'Union Berlin', 'short_title': 'UNI'}","{'id': '118', 'title': 'Hamburger SV', 'short_title': 'HAM'}","{'h': '0', 'a': '0'}","{'h': '1.54274', 'a': '1.11274'}",2025-09-28 17:30:00,"{'w': 0.47221135797597524, 'd': 0.25366376747500013, 'l': 0.2741248744270036}",d,Hamburger SV,2025,Bundesliga
30273,True,h,"{'id': '118', 'title': 'Hamburger SV', 'short_title': 'HAM'}","{'id': '125', 'title': 'Mainz 05', 'short_title': 'MAI'}","{'h': '4', 'a': '0'}","{'h': '1.65883', 'a': '0.591161'}",2025-10-05 15:30:00,"{'w': 0.6341133095049026, 'd': 0.23703576590543163, 'l': 0.12885092426807013}",w,Hamburger SV,2025,Bundesliga
30283,True,a,"{'id': '136', 'title': 'RasenBallsport Leipzig', 'short_title': 'RBL'}","{'id': '118', 'title': 'Hamburger SV', 'short_title': 'HAM'}","{'h': '2', 'a': '1'}","{'h': '1.15611', 'a': '1.29355'}",2025-10-18 13:30:00,"{'w': 0.330734533840397, 'd': 0.27249882511453233, 'l': 0.3967666410319497}",l,Hamburger SV,2025,Bundesliga
30292,True,h,"{'id': '118', 'title': 'Hamburger SV', 'short_title': 'HAM'}","{'id': '131', 'title': 'Wolfsburg', 'short_title': 'WOL'}","{'h': '0', 'a': '1'}","{'h': '2.40547', 'a': '0.695528'}",2025-10-25 13:30:00,"{'w': 0.7529511468210599, 'd': 0.15830297093929477, 'l': 0.08874583989428735}",l,Hamburger SV,2025,Bundesliga
30298,True,a,"{'id': '134', 'title': 'FC Cologne', 'short_title': 'COL'}","{'id': '118', 'title': 'Hamburger SV', 'short_title': 'HAM'}","{'h': '4', 'a': '1'}","{'h': '3.87376', 'a': '1.19296'}",2025-11-02 14:30:00,"{'w': 0.8392019944619953, 'd': 0.0924057926145168, 'l': 0.06837837340923716}",l,Hamburger SV,2025,Bundesliga
30309,True,h,"{'id': '118', 'title': 'Hamburger SV', 'short_title': 'HAM'}","{'id': '129', 'title': 'Borussia Dortmund', 'short_title': 'DOR'}","{'h': '1', 'a': '1'}","{'h': '0.419878', 'a': '1.42582'}",2025-11-08 14:30:00,"{'w': 0.1076573697663951, 'd': 0.26758085468631304, 'l': 0.6247617755060302}",d,Hamburger SV,2025,Bundesliga
30314,True,a,"{'id': '121', 'title': 'Augsburg', 'short_title': 'AUG'}","{'id': '118', 'title': 'Hamburger SV', 'short_title': 'HAM'}","{'h': '1', 'a': '0'}","{'h': '1.61897', 'a': '1.555'}",2025-11-22 14:30:00,"{'w': 0.39610061835489907, 'd': 0.23522652198436822, 'l': 0.3686728592946486}",l,Hamburger SV,2025,Bundesliga
30328,True,h,"{'id': '118', 'title': 'Hamburger SV', 'short_title': 'HAM'}","{'id': '133', 'title': 'VfB Stuttgart', 'short_title': 'STU'}","{'h': '2', 'a': '1'}","{'h': '1.21357', 'a': '1.10868'}",2025-11-30 14:30:00,"{'w': 0.38500114134798924, 'd': 0.28157710327659, 'l': 0.3334217553696639}",w,Hamburger SV,2025,Bundesliga
30337,True,h,"{'id': '118', 'title': 'Hamburger SV', 'short_title': 'HAM'}","{'id': '123', 'title': 'Werder Bremen', 'short_title': 'WER'}","{'h': '3', 'a': '2'}","{'h': '1.57713', 'a': '1.17349'}",2025-12-07 14:30:00,"{'w': 0.4668954547601288, 'd': 0.2494906206105163, 'l': 0.2836139244638596}",w,Hamburger SV,2025,Bundesliga
30346,True,a,"{'id': '120', 'title': 'Hoffenheim', 'short_title': 'HOF'}","{'id': '118', 'title': 'Hamburger SV', 'short_title': 'HAM'}","{'h': '4', 'a': '1'}","{'h': '2.48806', 'a': '1.40522'}",2025-12-13 14:30:00,"{'w': 0.6115038979994211, 'd': 0.18419841000405615, 'l': 0.20429762688454695}",l,Hamburger SV,2025,Bundesliga
30353,True,h,"{'id': '118', 'title': 'Hamburger SV', 'short_title': 'HAM'}","{'id': '132', 'title': 'Eintracht Frankfurt', 'short_title': 'EIN'}","{'h': '1', 'a': '1'}","{'h': '1.09769', 'a': '1.09137'}",2025-12-20 14:30:00,"{'w': 0.3555011506820423, 'd': 0.29218589768073194, 'l': 0.3523129516350947}",d,Hamburger SV,2025,Bundesliga
30363,True,a,"{'id': '135', 'title': 'Freiburg', 'short_title': 'FRE'}","{'id': '118', 'title': 'Hamburger SV', 'short_title': 'HAM'}","{'h': '2', 'a': '1'}","{'h': '2.93517', 'a': '0.850812'}",2026-01-10 14:30:00,"{'w': 0.7952491614831944, 'd': 0.12622237980448137, 'l': 0.07852794577388791}",l,Hamburger SV,2025,Bundesliga
30380,True,h,"{'id': '118', 'title': 'Hamburger SV', 'short_title': 'HAM'}","{'id': '130', 'title': 'Borussia M.Gladbach', 'short_title': 'BMG'}","{'h': '0', 'a': '0'}","{'h': '1.26205', 'a': '0.576522'}",2026-01-17 14:30:00,"{'w': 0.5325763064613422, 'd': 0.29759599939113823, 'l': 0.1698276941398097}",d,Hamburger SV,2025,Bundesliga
30393,True,a,"{'id': '288', 'title': 'St. Pauli', 'short_title': 'SPA'}","{'id': '118', 'title': 'Hamburger SV', 'short_title': 'HAM'}","{'h': '0', 'a': '0'}","{'h': '0.311991', 'a': '0.333197'}",2026-01-23 19:30:00,"{'w': 0.20169084186852748, 'd': 0.5805283310104001, 'l': 0.2177808271210725}",d,Hamburger SV,2025,Bundesliga
30399,True,h,"{'id': '118', 'title': 'Hamburger SV', 'short_title': 'HAM'}","{'id': '117', 'title': 'Bayern Munich', 'short_title': 'BAY'}","{'h': '2', 'a': '2'}","{'h': '2.64497', 'a': '2.28911'}",2026-01-31 17:30:00,"{'w': 0.47063689583641444, 'd': 0.18273891864018516, 'l': 0.3466240222885335}",d,Hamburger SV,2025,Bundesliga
30408,True,a,"{'id': '280', 'title': 'FC Heidenheim', 'short_title': 'HEI'}","{'id': '118', 'title': 'Hamburger SV', 'short_title': 'HAM'}","{'h': '0', 'a': '2'}","{'h': '1.04614', 'a': '1.55106'}",2026-02-07 14:30:00,"{'w': 0.2558461310425529, 'd': 0.2541603651695886, 'l': 0.4899935036574827}",w,Hamburger SV,2025,Bundesliga
30417,True,h,"{'id': '118', 'title': 'Hamburger SV', 'short_title': 'HAM'}","{'id': '240', 'title': 'Union Berlin', 'short_title': 'UNI'}","{'h': '3', 'a': '2'}","{'h': '2.20339', 'a': '2.18966'}",2026-02-14 14:30:00,"{'w': 0.4041702990940261, 'd': 0.19672967675029118, 'l': 0.3990999978247259}",w,Hamburger SV,2025,Bundesliga
30426,True,a,"{'id': '125', 'title': 'Mainz 05', 'short_title': 'MAI'}","{'id': '118', 'title': 'Hamburger SV', 'short_title': 'HAM'}","{'h': '1', 'a': '1'}","{'h': '1.75215', 'a': '0.823398'}",2026-02-20 19:30:00,"{'w': 0.594370280553441, 'd': 0.23248156334352688, 'l': 0.1731481554329492}",d,Hamburger SV,2025,Bundesliga
30436,True,h,"{'id': '118', 'title': 'Hamburger SV', 'short_title': 'HAM'}","{'id': '136', 'title': 'RasenBallsport Leipzig', 'short_title': 'RBL'}","{'h': '1', 'a': '2'}","{'h': '0.820585', 'a': '2.28997'}",2026-03-01 18:30:00,"{'w': 0.11834479902824821, 'd': 0.1769478931149065, 'l': 0.7047072853236612}",l,Hamburger SV,2025,Bundesliga
30371,True,h,"{'id': '118', 'title': 'Hamburger SV', 'short_title': 'HAM'}","{'id': '119', 'title': 'Bayer Leverkusen', 'short_title': 'LEV'}","{'h': '0', 'a': '1'}","{'h': '1.28692', 'a': '2.67874'}",2026-03-04 19:30:00,"{'w': 0.16280384361532424, 'd': 0.1675444323578596, 'l': 0.6696515589397212}",l,Hamburger SV,2025,Bundesliga
30448,True,a,"{'id': '131', 'title': 'Wolfsburg', 'short_title': 'WOL'}","{'id': '118', 'title': 'Hamburger SV', 'short_title': 'HAM'}","{'h': '1', 'a': '2'}","{'h': '2.46612', 'a': '1.80445'}",2026-03-07 14:30:00,"{'w': 0.526670103691045, 'd': 0.19097731019467906, 'l': 0.28235252696857316}",w,Hamburger SV,2025,Bundesliga
30454,True,h,"{'id': '118', 'title': 'Hamburger SV', 'short_title': 'HAM'}","{'id': '134', 'title': 'FC Cologne', 'short_title': 'COL'}","{'h': '1', 'a': '1'}","{'h': '0.556493', 'a': '0.984168'}",2026-03-14 17:30:00,"{'w': 0.2027630238285596, 'd': 0.34865213216624213, 'l': 0.4485848440049585}",d,Hamburger SV,2025,Bundesliga
