id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
30226,True,a,"{'id': '119', 'title': 'Bayer Leverkusen', 'short_title': 'LEV'}","{'id': '120', 'title': 'Hoffenheim', 'short_title': 'HOF'}","{'h': '1', 'a': '2'}","{'h': '1.05253', 'a': '0.505193'}",2025-08-23 13:30:00,"{'w': 0.48645416076388465, 'd': 0.33840224584945294, 'l': 0.17514359338604676}",w,Hoffenheim,2025,Bundesliga
30234,True,h,"{'id': '120', 'title': 'Hoffenheim', 'short_title': 'HOF'}","{'id': '132', 'title': 'Eintracht Frankfurt', 'short_title': 'EIN'}","{'h': '1', 'a': '3'}","{'h': '1.28178', 'a': '1.82087'}",2025-08-30 13:30:00,"{'w': 0.26981038095360205, 'd': 0.22939481771608877, 'l': 0.5007948002014415}",l,Hoffenheim,2025,Bundesliga
30247,True,a,"{'id': '240', 'title': 'Union Berlin', 'short_title': 'UNI'}","{'id': '120', 'title': 'Hoffenheim', 'short_title': 'HOF'}","{'h': '2', 'a': '4'}","{'h': '3.0814', 'a': '3.34084'}",2025-09-13 13:30:00,"{'w': 0.3800164994378377, 'd': 0.16004245005062487, 'l': 0.4599376641268357}",w,Hoffenheim,2025,Bundesliga
30255,True,h,"{'id': '120', 'title': 'Hoffenheim', 'short_title': 'HOF'}","{'id': '117', 'title': 'Bayern Munich', 'short_title': 'BAY'}","{'h': '1', 'a': '4'}","{'h': '1.03716', 'a': '2.7142'}",2025-09-20 13:30:00,"{'w': 0.11946285673486187, 'd': 0.15355449854585712, 'l': 0.7269824501458173}",l,Hoffenheim,2025,Bundesliga
30266,True,a,"{'id': '135', 'title': 'Freiburg', 'short_title': 'FRE'}","{'id': '120', 'title': 'Hoffenheim', 'short_title': 'HOF'}","{'h': '1', 'a': '1'}","{'h': '1.2587', 'a': '2.24224'}",2025-09-28 13:30:00,"{'w': 0.20602505445410135, 'd': 0.19796158244893422, 'l': 0.5960133459160455}",d,Hoffenheim,2025,Bundesliga
30274,True,h,"{'id': '120', 'title': 'Hoffenheim', 'short_title': 'HOF'}","{'id': '134', 'title': 'FC Cologne', 'short_title': 'COL'}","{'h': '0', 'a': '1'}","{'h': '1.42371', 'a': '1.30873'}",2025-10-03 18:30:00,"{'w': 0.3983873487157368, 'd': 0.25591049009356415, 'l': 0.34570216113753766}",l,Hoffenheim,2025,Bundesliga
30284,True,a,"{'id': '288', 'title': 'St. Pauli', 'short_title': 'SPA'}","{'id': '120', 'title': 'Hoffenheim', 'short_title': 'HOF'}","{'h': '0', 'a': '3'}","{'h': '0.871968', 'a': '1.79103'}",2025-10-19 15:30:00,"{'w': 0.17964642210658946, 'd': 0.22932015232247244, 'l': 0.5910334246726971}",w,Hoffenheim,2025,Bundesliga
30293,True,h,"{'id': '120', 'title': 'Hoffenheim', 'short_title': 'HOF'}","{'id': '280', 'title': 'FC Heidenheim', 'short_title': 'HEI'}","{'h': '3', 'a': '1'}","{'h': '2.4278', 'a': '0.902315'}",2025-10-25 13:30:00,"{'w': 0.7098735200607722, 'd': 0.1691421139109729, 'l': 0.12098431838510168}",w,Hoffenheim,2025,Bundesliga
30304,True,a,"{'id': '131', 'title': 'Wolfsburg', 'short_title': 'WOL'}","{'id': '120', 'title': 'Hoffenheim', 'short_title': 'HOF'}","{'h': '2', 'a': '3'}","{'h': '1.40117', 'a': '1.74291'}",2025-11-02 16:30:00,"{'w': 0.3102229440454029, 'd': 0.23302876219893578, 'l': 0.4567482930988401}",w,Hoffenheim,2025,Bundesliga
30310,True,h,"{'id': '120', 'title': 'Hoffenheim', 'short_title': 'HOF'}","{'id': '136', 'title': 'RasenBallsport Leipzig', 'short_title': 'RBL'}","{'h': '3', 'a': '1'}","{'h': '1.92349', 'a': '1.56187'}",2025-11-08 14:30:00,"{'w': 0.46405782815873214, 'd': 0.21982230757467086, 'l': 0.3161198618084432}",w,Hoffenheim,2025,Bundesliga
30319,True,a,"{'id': '125', 'title': 'Mainz 05', 'short_title': 'MAI'}","{'id': '120', 'title': 'Hoffenheim', 'short_title': 'HOF'}","{'h': '1', 'a': '1'}","{'h': '2.88712', 'a': '1.54404'}",2025-11-21 19:30:00,"{'w': 0.65268331535254, 'd': 0.163171463490566, 'l': 0.18414480237683975}",d,Hoffenheim,2025,Bundesliga
30329,True,h,"{'id': '120', 'title': 'Hoffenheim', 'short_title': 'HOF'}","{'id': '121', 'title': 'Augsburg', 'short_title': 'AUG'}","{'h': '3', 'a': '0'}","{'h': '1.79612', 'a': '0.655496'}",2025-11-29 14:30:00,"{'w': 0.6481609165363728, 'd': 0.22165062887005843, 'l': 0.13018845366073872}",w,Hoffenheim,2025,Bundesliga
30335,True,a,"{'id': '129', 'title': 'Borussia Dortmund', 'short_title': 'DOR'}","{'id': '120', 'title': 'Hoffenheim', 'short_title': 'HOF'}","{'h': '2', 'a': '0'}","{'h': '1.10147', 'a': '1.42364'}",2025-12-07 16:30:00,"{'w': 0.29177012475586966, 'd': 0.26425305151384276, 'l': 0.4439768236887179}",l,Hoffenheim,2025,Bundesliga
30346,True,h,"{'id': '120', 'title': 'Hoffenheim', 'short_title': 'HOF'}","{'id': '118', 'title': 'Hamburger SV', 'short_title': 'HAM'}","{'h': '4', 'a': '1'}","{'h': '2.48806', 'a': '1.40522'}",2025-12-13 14:30:00,"{'w': 0.6115038979994211, 'd': 0.18419841000405615, 'l': 0.20429762688454695}",w,Hoffenheim,2025,Bundesliga
30357,True,a,"{'id': '133', 'title': 'VfB Stuttgart', 'short_title': 'STU'}","{'id': '120', 'title': 'Hoffenheim', 'short_title': 'HOF'}","{'h': '0', 'a': '0'}","{'h': '1.46116', 'a': '0.154175'}",2025-12-20 14:30:00,"{'w': 0.7168818878572493, 'd': 0.24620055488985784, 'l': 0.03691755719525186}",d,Hoffenheim,2025,Bundesliga
30372,True,h,"{'id': '120', 'title': 'Hoffenheim', 'short_title': 'HOF'}","{'id': '130', 'title': 'Borussia M.Gladbach', 'short_title': 'BMG'}","{'h': '5', 'a': '1'}","{'h': '4.3777', 'a': '0.83294'}",2026-01-14 19:30:00,"{'w': 0.9204081669265836, 'd': 0.05280044816060181, 'l': 0.026736871314772447}",w,Hoffenheim,2025,Bundesliga
30381,True,h,"{'id': '120', 'title': 'Hoffenheim', 'short_title': 'HOF'}","{'id': '119', 'title': 'Bayer Leverkusen', 'short_title': 'LEV'}","{'h': '1', 'a': '0'}","{'h': '2.11995', 'a': '1.27048'}",2026-01-17 14:30:00,"{'w': 0.5686291085737277, 'd': 0.20727300663688855, 'l': 0.22409787648517482}",w,Hoffenheim,2025,Bundesliga
30389,True,a,"{'id': '132', 'title': 'Eintracht Frankfurt', 'short_title': 'EIN'}","{'id': '120', 'title': 'Hoffenheim', 'short_title': 'HOF'}","{'h': '1', 'a': '3'}","{'h': '0.829658', 'a': '1.62813'}",2026-01-24 14:30:00,"{'w': 0.19022106797437588, 'd': 0.24672755552543377, 'l': 0.5630513762501139}",w,Hoffenheim,2025,Bundesliga
30367,True,a,"{'id': '123', 'title': 'Werder Bremen', 'short_title': 'WER'}","{'id': '120', 'title': 'Hoffenheim', 'short_title': 'HOF'}","{'h': '0', 'a': '2'}","{'h': '1.42692', 'a': '0.567567'}",2026-01-27 19:30:00,"{'w': 0.5819487640178691, 'd': 0.27072074368255106, 'l': 0.14733049225788106}",w,Hoffenheim,2025,Bundesliga
30400,True,h,"{'id': '120', 'title': 'Hoffenheim', 'short_title': 'HOF'}","{'id': '240', 'title': 'Union Berlin', 'short_title': 'UNI'}","{'h': '3', 'a': '1'}","{'h': '1.50682', 'a': '1.23275'}",2026-01-31 14:30:00,"{'w': 0.43593193191809565, 'd': 0.2532544506106339, 'l': 0.3108136173780594}",w,Hoffenheim,2025,Bundesliga
30404,True,a,"{'id': '117', 'title': 'Bayern Munich', 'short_title': 'BAY'}","{'id': '120', 'title': 'Hoffenheim', 'short_title': 'HOF'}","{'h': '5', 'a': '1'}","{'h': '6.37827', 'a': '2.66829'}",2026-02-08 16:30:00,"{'w': 0.8586220489970742, 'd': 0.06369779108569024, 'l': 0.07519454434776837}",l,Hoffenheim,2025,Bundesliga
30418,True,h,"{'id': '120', 'title': 'Hoffenheim', 'short_title': 'HOF'}","{'id': '135', 'title': 'Freiburg', 'short_title': 'FRE'}","{'h': '3', 'a': '0'}","{'h': '1.90052', 'a': '0.744054'}",2026-02-14 14:30:00,"{'w': 0.6477653445921764, 'd': 0.21309965722997506, 'l': 0.13913499620238187}",w,Hoffenheim,2025,Bundesliga
30423,True,a,"{'id': '134', 'title': 'FC Cologne', 'short_title': 'COL'}","{'id': '120', 'title': 'Hoffenheim', 'short_title': 'HOF'}","{'h': '2', 'a': '2'}","{'h': '1.12252', 'a': '1.8243'}",2026-02-21 14:30:00,"{'w': 0.23274096206439807, 'd': 0.22934391504366705, 'l': 0.5379151217427269}",d,Hoffenheim,2025,Bundesliga
30437,True,h,"{'id': '120', 'title': 'Hoffenheim', 'short_title': 'HOF'}","{'id': '288', 'title': 'St. Pauli', 'short_title': 'SPA'}","{'h': '0', 'a': '1'}","{'h': '2.57411', 'a': '0.946504'}",2026-02-28 14:30:00,"{'w': 0.7241982606670775, 'd': 0.15943491474844354, 'l': 0.1163667245234021}",l,Hoffenheim,2025,Bundesliga
30443,True,a,"{'id': '280', 'title': 'FC Heidenheim', 'short_title': 'HEI'}","{'id': '120', 'title': 'Hoffenheim', 'short_title': 'HOF'}","{'h': '2', 'a': '4'}","{'h': '0.966678', 'a': '2.79383'}",2026-03-07 14:30:00,"{'w': 0.10304905644325384, 'd': 0.14369372457705376, 'l': 0.7532569401036675}",w,Hoffenheim,2025,Bundesliga
30455,True,h,"{'id': '120', 'title': 'Hoffenheim', 'short_title': 'HOF'}","{'id': '131', 'title': 'Wolfsburg', 'short_title': 'WOL'}","{'h': '1', 'a': '1'}","{'h': '2.23813', 'a': '0.221431'}",2026-03-14 14:30:00,"{'w': 0.8399534270036687, 'd': 0.133378250403675, 'l': 0.026668305821437928}",d,Hoffenheim,2025,Bundesliga
30464,True,a,"{'id': '136', 'title': 'RasenBallsport Leipzig', 'short_title': 'RBL'}","{'id': '120', 'title': 'Hoffenheim', 'short_title': 'HOF'}","{'h': '5', 'a': '0'}","{'h': '2.90699', 'a': '0.521404'}",2026-03-20 19:30:00,"{'w': 0.854536835633243, 'd': 0.10369241279170759, 'l': 0.04177029601064423}",l,Hoffenheim,2025,Bundesliga
30472,True,h,"{'id': '120', 'title': 'Hoffenheim', 'short_title': 'HOF'}","{'id': '125', 'title': 'Mainz 05', 'short_title': 'MAI'}","{'h': '1', 'a': '2'}","{'h': '1.51732', 'a': '2.22893'}",2026-04-04 13:30:00,"{'w': 0.25967020116852896, 'd': 0.20246864930852365, 'l': 0.5378611335249611}",l,Hoffenheim,2025,Bundesliga
30476,True,a,"{'id': '121', 'title': 'Augsburg', 'short_title': 'AUG'}","{'id': '120', 'title': 'Hoffenheim', 'short_title': 'HOF'}","{'h': '2', 'a': '2'}","{'h': '2.67199', 'a': '1.43152'}",2026-04-10 18:30:00,"{'w': 0.6389181895272704, 'd': 0.17294455645619466, 'l': 0.18813709402900375}",d,Hoffenheim,2025,Bundesliga
30490,True,h,"{'id': '120', 'title': 'Hoffenheim', 'short_title': 'HOF'}","{'id': '129', 'title': 'Borussia Dortmund', 'short_title': 'DOR'}","{'h': '2', 'a': '1'}","{'h': '2.22458', 'a': '1.28292'}",2026-04-18 13:30:00,"{'w': 0.5871758310466186, 'd': 0.19977291236632105, 'l': 0.21305124107239473}",w,Hoffenheim,2025,Bundesliga
30497,True,a,"{'id': '118', 'title': 'Hamburger SV', 'short_title': 'HAM'}","{'id': '120', 'title': 'Hoffenheim', 'short_title': 'HOF'}","{'h': '1', 'a': '2'}","{'h': '1.48261', 'a': '2.42862'}",2026-04-25 16:30:00,"{'w': 0.2260456932526352, 'd': 0.1896921594641164, 'l': 0.5842620993643394}",w,Hoffenheim,2025,Bundesliga
30508,True,h,"{'id': '120', 'title': 'Hoffenheim', 'short_title': 'HOF'}","{'id': '133', 'title': 'VfB Stuttgart', 'short_title': 'STU'}","{'h': '3', 'a': '3'}","{'h': '2.6399', 'a': '1.76153'}",2026-05-02 13:30:00,"{'w': 0.5674412691053142, 'd': 0.1818651227870469, 'l': 0.25069346992782626}",d,Hoffenheim,2025,Bundesliga
