id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
30230,True,h,"{'id': '288', 'title': 'St. Pauli', 'short_title': 'SPA'}","{'id': '129', 'title': 'Borussia Dortmund', 'short_title': 'DOR'}","{'h': '3', 'a': '3'}","{'h': '1.46772', 'a': '2.10289'}",2025-08-23 16:30:00,"{'w': 0.2676940231295394, 'd': 0.2100132816889559, 'l': 0.5222926876539226}",d,St. Pauli,2025,Bundesliga
30233,True,a,"{'id': '118', 'title': 'Hamburger SV', 'short_title': 'HAM'}","{'id': '288', 'title': 'St. Pauli', 'short_title': 'SPA'}","{'h': '0', 'a': '2'}","{'h': '0.74111', 'a': '1.85404'}",2025-08-29 18:30:00,"{'w': 0.14322278966411067, 'd': 0.218280516221322, 'l': 0.638496692691745}",w,St. Pauli,2025,Bundesliga
30249,True,h,"{'id': '288', 'title': 'St. Pauli', 'short_title': 'SPA'}","{'id': '121', 'title': 'Augsburg', 'short_title': 'AUG'}","{'h': '2', 'a': '1'}","{'h': '1.95499', 'a': '0.934223'}",2025-09-14 13:30:00,"{'w': 0.6119626664543263, 'd': 0.21415708638869665, 'l': 0.17388024428776094}",w,St. Pauli,2025,Bundesliga
30251,True,a,"{'id': '133', 'title': 'VfB Stuttgart', 'short_title': 'STU'}","{'id': '288', 'title': 'St. Pauli', 'short_title': 'SPA'}","{'h': '2', 'a': '0'}","{'h': '2.78829', 'a': '1.05657'}",2025-09-19 18:30:00,"{'w': 0.7342172857914515, 'd': 0.14916011473604918, 'l': 0.11662232738391776}",l,St. Pauli,2025,Bundesliga
30263,True,h,"{'id': '288', 'title': 'St. Pauli', 'short_title': 'SPA'}","{'id': '119', 'title': 'Bayer Leverkusen', 'short_title': 'LEV'}","{'h': '1', 'a': '2'}","{'h': '0.813325', 'a': '1.28912'}",2025-09-27 13:30:00,"{'w': 0.23526439477351702, 'd': 0.28798635144973367, 'l': 0.4767492537663978}",l,St. Pauli,2025,Bundesliga
30277,True,a,"{'id': '123', 'title': 'Werder Bremen', 'short_title': 'WER'}","{'id': '288', 'title': 'St. Pauli', 'short_title': 'SPA'}","{'h': '1', 'a': '0'}","{'h': '1.77957', 'a': '0.912425'}",2025-10-04 13:30:00,"{'w': 0.5782747404492635, 'd': 0.23132746238222482, 'l': 0.1903977963439344}",l,St. Pauli,2025,Bundesliga
30284,True,h,"{'id': '288', 'title': 'St. Pauli', 'short_title': 'SPA'}","{'id': '120', 'title': 'Hoffenheim', 'short_title': 'HOF'}","{'h': '0', 'a': '3'}","{'h': '0.871968', 'a': '1.79103'}",2025-10-19 15:30:00,"{'w': 0.17964642210658946, 'd': 0.22932015232247244, 'l': 0.5910334246726971}",l,St. Pauli,2025,Bundesliga
30291,True,a,"{'id': '132', 'title': 'Eintracht Frankfurt', 'short_title': 'EIN'}","{'id': '288', 'title': 'St. Pauli', 'short_title': 'SPA'}","{'h': '2', 'a': '0'}","{'h': '2.42632', 'a': '0.519973'}",2025-10-25 13:30:00,"{'w': 0.7960325549367595, 'd': 0.14289018842229131, 'l': 0.061077209366777206}",l,St. Pauli,2025,Bundesliga
30302,True,h,"{'id': '288', 'title': 'St. Pauli', 'short_title': 'SPA'}","{'id': '130', 'title': 'Borussia M.Gladbach', 'short_title': 'BMG'}","{'h': '0', 'a': '4'}","{'h': '0.804394', 'a': '3.6262'}",2025-11-01 14:30:00,"{'w': 0.0439892147694308, 'd': 0.08186282366736734, 'l': 0.8741415048501335}",l,St. Pauli,2025,Bundesliga
30308,True,a,"{'id': '135', 'title': 'Freiburg', 'short_title': 'FRE'}","{'id': '288', 'title': 'St. Pauli', 'short_title': 'SPA'}","{'h': '2', 'a': '1'}","{'h': '1.66558', 'a': '0.640748'}",2025-11-09 14:30:00,"{'w': 0.6221422760554345, 'd': 0.23791487981668036, 'l': 0.13994284378823255}",l,St. Pauli,2025,Bundesliga
