id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
30227,True,h,"{'id': '240', 'title': 'Union Berlin', 'short_title': 'UNI'}","{'id': '133', 'title': 'VfB Stuttgart', 'short_title': 'STU'}","{'h': '2', 'a': '1'}","{'h': '0.529421', 'a': '1.80147'}",2025-08-23 13:30:00,"{'w': 0.10219946835882875, 'd': 0.2145142219418066, 'l': 0.6832863087288216}",w,Union Berlin,2025,Bundesliga
30240,True,a,"{'id': '129', 'title': 'Borussia Dortmund', 'short_title': 'DOR'}","{'id': '240', 'title': 'Union Berlin', 'short_title': 'UNI'}","{'h': '3', 'a': '0'}","{'h': '1.82606', 'a': '0.971167'}",2025-08-31 15:30:00,"{'w': 0.5744696167279175, 'd': 0.2276362911089638, 'l': 0.19789409100041136}",l,Union Berlin,2025,Bundesliga
30247,True,h,"{'id': '240', 'title': 'Union Berlin', 'short_title': 'UNI'}","{'id': '120', 'title': 'Hoffenheim', 'short_title': 'HOF'}","{'h': '2', 'a': '4'}","{'h': '3.0814', 'a': '3.34084'}",2025-09-13 13:30:00,"{'w': 0.3800164994378377, 'd': 0.16004245005062487, 'l': 0.4599376641268357}",l,Union Berlin,2025,Bundesliga
30257,True,a,"{'id': '132', 'title': 'Eintracht Frankfurt', 'short_title': 'EIN'}","{'id': '240', 'title': 'Union Berlin', 'short_title': 'UNI'}","{'h': '3', 'a': '4'}","{'h': '1.75582', 'a': '2.23419'}",2025-09-21 13:30:00,"{'w': 0.30720008648502417, 'd': 0.20220222031739737, 'l': 0.4905976761148486}",w,Union Berlin,2025,Bundesliga
30268,True,h,"{'id': '240', 'title': 'Union Berlin', 'short_title': 'UNI'}","{'id': '118', 'title': 'Hamburger SV', 'short_title': 'HAM'}","{'h': '0', 'a': '0'}","{'h': '1.54274', 'a': '1.11274'}",2025-09-28 17:30:00,"{'w': 0.47221135797597524, 'd': 0.25366376747500013, 'l': 0.2741248744270036}",d,Union Berlin,2025,Bundesliga
30269,True,a,"{'id': '119', 'title': 'Bayer Leverkusen', 'short_title': 'LEV'}","{'id': '240', 'title': 'Union Berlin', 'short_title': 'UNI'}","{'h': '2', 'a': '0'}","{'h': '3.35673', 'a': '1.19684'}",2025-10-04 13:30:00,"{'w': 0.7839428372467179, 'd': 0.11990426608515106, 'l': 0.09615029645309106}",l,Union Berlin,2025,Bundesliga
30285,True,h,"{'id': '240', 'title': 'Union Berlin', 'short_title': 'UNI'}","{'id': '130', 'title': 'Borussia M.Gladbach', 'short_title': 'BMG'}","{'h': '3', 'a': '1'}","{'h': '1.53032', 'a': '0.628848'}",2025-10-17 18:30:00,"{'w': 0.5920005072188412, 'd': 0.2562540861172892, 'l': 0.15174540655572433}",w,Union Berlin,2025,Bundesliga
30295,True,a,"{'id': '123', 'title': 'Werder Bremen', 'short_title': 'WER'}","{'id': '240', 'title': 'Union Berlin', 'short_title': 'UNI'}","{'h': '1', 'a': '0'}","{'h': '1.1444', 'a': '0.487613'}",2025-10-24 18:30:00,"{'w': 0.521823942915095, 'd': 0.32084864373800587, 'l': 0.15732741334491648}",l,Union Berlin,2025,Bundesliga
30303,True,h,"{'id': '240', 'title': 'Union Berlin', 'short_title': 'UNI'}","{'id': '135', 'title': 'Freiburg', 'short_title': 'FRE'}","{'h': '0', 'a': '0'}","{'h': '1.34842', 'a': '1.16519'}",2025-11-01 14:30:00,"{'w': 0.4095947986145964, 'd': 0.2678112611089469, 'l': 0.3225939402547099}",d,Union Berlin,2025,Bundesliga
30312,True,h,"{'id': '240', 'title': 'Union Berlin', 'short_title': 'UNI'}","{'id': '117', 'title': 'Bayern Munich', 'short_title': 'BAY'}","{'h': '2', 'a': '2'}","{'h': '1.02778', 'a': '1.34246'}",2025-11-08 14:30:00,"{'w': 0.28644008199706966, 'd': 0.27432805995951137, 'l': 0.4392318580249128}",d,Union Berlin,2025,Bundesliga
