id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
4751,True,a,"{'id': '202', 'title': 'Queens Park Rangers', 'short_title': 'QPR'}","{'id': '91', 'title': 'Hull', 'short_title': 'HUL'}","{'h': '0', 'a': '1'}","{'h': '1.90067', 'a': '1.11757'}",2014-08-16 15:00:00,"{'w': 0.5563356677274283, 'd': 0.22277242014405726, 'l': 0.22089191014956344}",w,Hull,2014,EPL
4765,True,h,"{'id': '91', 'title': 'Hull', 'short_title': 'HUL'}","{'id': '85', 'title': 'Stoke', 'short_title': 'STO'}","{'h': '1', 'a': '1'}","{'h': '0.870175', 'a': '1.60916'}",2014-08-24 13:30:00,"{'w': 0.202815701777001, 'd': 0.24919729496958953, 'l': 0.5479870030398847}",d,Hull,2014,EPL
4776,True,a,"{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}","{'id': '91', 'title': 'Hull', 'short_title': 'HUL'}","{'h': '2', 'a': '1'}","{'h': '0.639316', 'a': '0.28888'}",2014-08-31 13:30:00,"{'w': 0.3839143548054536, 'd': 0.47170657195693677, 'l': 0.1443790732376091}",l,Hull,2014,EPL
4728,True,h,"{'id': '91', 'title': 'Hull', 'short_title': 'HUL'}","{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'h': '2', 'a': '2'}","{'h': '0.439084', 'a': '0.661678'}",2014-09-15 20:00:00,"{'w': 0.20923958948092297, 'd': 0.43650336433550707, 'l': 0.3542570461835688}",d,Hull,2014,EPL
4733,True,a,"{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'id': '91', 'title': 'Hull', 'short_title': 'HUL'}","{'h': '2', 'a': '2'}","{'h': '1.91632', 'a': '0.854291'}",2014-09-20 15:00:00,"{'w': 0.6233279169321945, 'd': 0.21557068778650615, 'l': 0.16110139307722876}",d,Hull,2014,EPL
4744,True,h,"{'id': '91', 'title': 'Hull', 'short_title': 'HUL'}","{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'h': '2', 'a': '4'}","{'h': '1.12374', 'a': '1.78953'}",2014-09-27 15:00:00,"{'w': 0.23807335667514667, 'd': 0.23232270979162534, 'l': 0.529603932643471}",l,Hull,2014,EPL
4689,True,h,"{'id': '91', 'title': 'Hull', 'short_title': 'HUL'}","{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'h': '2', 'a': '0'}","{'h': '1.07209', 'a': '0.616109'}",2014-10-04 15:00:00,"{'w': 0.4620789602230519, 'd': 0.3286563513132308, 'l': 0.20926468846292035}",w,Hull,2014,EPL
4705,True,a,"{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'id': '91', 'title': 'Hull', 'short_title': 'HUL'}","{'h': '2', 'a': '2'}","{'h': '2.14845', 'a': '0.552062'}",2014-10-18 15:00:00,"{'w': 0.7444900725675073, 'd': 0.17382040495262338, 'l': 0.0816895126091662}",d,Hull,2014,EPL
4713,True,a,"{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'id': '91', 'title': 'Hull', 'short_title': 'HUL'}","{'h': '0', 'a': '0'}","{'h': '0.678924', 'a': '0.222999'}",2014-10-25 15:00:00,"{'w': 0.42146239988459555, 'd': 0.4695895516628026, 'l': 0.1089480484526006}",d,Hull,2014,EPL
4655,True,h,"{'id': '91', 'title': 'Hull', 'short_title': 'HUL'}","{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'h': '0', 'a': '1'}","{'h': '0.256678', 'a': '1.90484'}",2014-11-01 15:00:00,"{'w': 0.04223632379505846, 'd': 0.178717890282066, 'l': 0.7790457838871733}",l,Hull,2014,EPL
4660,True,a,"{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}","{'id': '91', 'title': 'Hull', 'short_title': 'HUL'}","{'h': '1', 'a': '0'}","{'h': '1.10315', 'a': '0.526656'}",2014-11-08 15:00:00,"{'w': 0.49717111646460976, 'd': 0.3274647704082862, 'l': 0.17536411312591577}",l,Hull,2014,EPL
4677,True,h,"{'id': '91', 'title': 'Hull', 'short_title': 'HUL'}","{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'h': '1', 'a': '2'}","{'h': '0.94244', 'a': '2.16438'}",2014-11-23 16:00:00,"{'w': 0.15267819315474035, 'd': 0.19456049140228057, 'l': 0.6527613045775059}",l,Hull,2014,EPL
4683,True,a,"{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'id': '91', 'title': 'Hull', 'short_title': 'HUL'}","{'h': '3', 'a': '0'}","{'h': '1.76885', 'a': '0.230407'}",2014-11-29 15:00:00,"{'w': 0.7610375744668443, 'd': 0.19651879469052724, 'l': 0.042443630082021275}",l,Hull,2014,EPL
4596,True,a,"{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'id': '91', 'title': 'Hull', 'short_title': 'HUL'}","{'h': '1', 'a': '1'}","{'h': '1.27965', 'a': '0.29547'}",2014-12-03 19:45:00,"{'w': 0.622289533466109, 'd': 0.29295820325418837, 'l': 0.08475226327036706}",d,Hull,2014,EPL
4603,True,h,"{'id': '91', 'title': 'Hull', 'short_title': 'HUL'}","{'id': '76', 'title': 'West Bromwich Albion', 'short_title': 'WBA'}","{'h': '0', 'a': '0'}","{'h': '0.586305', 'a': '1.06151'}",2014-12-06 15:00:00,"{'w': 0.2010441075448565, 'd': 0.3322355020903293, 'l': 0.4667203903641205}",d,Hull,2014,EPL
4610,True,a,"{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'id': '91', 'title': 'Hull', 'short_title': 'HUL'}","{'h': '2', 'a': '0'}","{'h': '1.21862', 'a': '0.435091'}",2014-12-13 15:00:00,"{'w': 0.5607153512934261, 'd': 0.3070547142809434, 'l': 0.13222993442088246}",l,Hull,2014,EPL
4625,True,h,"{'id': '91', 'title': 'Hull', 'short_title': 'HUL'}","{'id': '84', 'title': 'Swansea', 'short_title': 'SWA'}","{'h': '0', 'a': '1'}","{'h': '0.825885', 'a': '1.45331'}",2014-12-20 15:00:00,"{'w': 0.21349538572742346, 'd': 0.267406199538227, 'l': 0.5190984146807729}",l,Hull,2014,EPL
4632,True,a,"{'id': '77', 'title': 'Sunderland', 'short_title': 'SUN'}","{'id': '91', 'title': 'Hull', 'short_title': 'HUL'}","{'h': '1', 'a': '3'}","{'h': '1.35551', 'a': '0.85573'}",2014-12-26 15:00:00,"{'w': 0.4847650481302628, 'd': 0.27861955355790946, 'l': 0.23661539829116088}",w,Hull,2014,EPL
4642,True,h,"{'id': '91', 'title': 'Hull', 'short_title': 'HUL'}","{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'h': '0', 'a': '1'}","{'h': '1.72314', 'a': '0.180127'}",2014-12-28 15:00:00,"{'w': 0.7668452580315457, 'd': 0.19906987427347883, 'l': 0.034084867159074564}",l,Hull,2014,EPL
4558,True,h,"{'id': '91', 'title': 'Hull', 'short_title': 'HUL'}","{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'h': '2', 'a': '0'}","{'h': '1.95682', 'a': '0.957698'}",2015-01-01 15:00:00,"{'w': 0.6066593392098328, 'd': 0.21464204397998085, 'l': 0.17869861390531958}",w,Hull,2014,EPL
4563,True,a,"{'id': '76', 'title': 'West Bromwich Albion', 'short_title': 'WBA'}","{'id': '91', 'title': 'Hull', 'short_title': 'HUL'}","{'h': '1', 'a': '0'}","{'h': '0.784159', 'a': '0.395844'}",2015-01-10 15:00:00,"{'w': 0.4177086909041643, 'd': 0.41032020193800856, 'l': 0.1719711071578174}",l,Hull,2014,EPL
4578,True,a,"{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'id': '91', 'title': 'Hull', 'short_title': 'HUL'}","{'h': '3', 'a': '0'}","{'h': '2.68629', 'a': '0.423719'}",2015-01-18 13:30:00,"{'w': 0.8497424902468272, 'd': 0.11177519112542231, 'l': 0.038482147633175846}",l,Hull,2014,EPL
4581,True,h,"{'id': '91', 'title': 'Hull', 'short_title': 'HUL'}","{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'h': '0', 'a': '3'}","{'h': '0.989377', 'a': '0.50926'}",2015-01-31 12:45:00,"{'w': 0.4635313545158919, 'd': 0.35101192492325567, 'l': 0.1854567205605945}",l,Hull,2014,EPL
4519,True,a,"{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'id': '91', 'title': 'Hull', 'short_title': 'HUL'}","{'h': '1', 'a': '1'}","{'h': '0.992526', 'a': '1.13348'}",2015-02-07 15:00:00,"{'w': 0.3158631277800352, 'd': 0.29635900996421505, 'l': 0.38777786225374494}",d,Hull,2014,EPL
4527,True,h,"{'id': '91', 'title': 'Hull', 'short_title': 'HUL'}","{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}","{'h': '2', 'a': '0'}","{'h': '0.985975', 'a': '0.423817'}",2015-02-10 19:45:00,"{'w': 0.48694425925699225, 'd': 0.35740442965506414, 'l': 0.1556513110876977}",w,Hull,2014,EPL
4540,True,h,"{'id': '91', 'title': 'Hull', 'short_title': 'HUL'}","{'id': '202', 'title': 'Queens Park Rangers', 'short_title': 'QPR'}","{'h': '2', 'a': '1'}","{'h': '1.09259', 'a': '0.190631'}",2015-02-21 15:00:00,"{'w': 0.5977803609006176, 'd': 0.33794316035247646, 'l': 0.0642764787458669}",w,Hull,2014,EPL
4547,True,a,"{'id': '85', 'title': 'Stoke', 'short_title': 'STO'}","{'id': '91', 'title': 'Hull', 'short_title': 'HUL'}","{'h': '1', 'a': '0'}","{'h': '0.895577', 'a': '0.344489'}",2015-02-28 15:00:00,"{'w': 0.4770362132874015, 'd': 0.3857652709998078, 'l': 0.13719851571272743}",l,Hull,2014,EPL
4483,True,h,"{'id': '91', 'title': 'Hull', 'short_title': 'HUL'}","{'id': '77', 'title': 'Sunderland', 'short_title': 'SUN'}","{'h': '1', 'a': '1'}","{'h': '1.3938', 'a': '1.23136'}",2015-03-03 19:45:00,"{'w': 0.407149402437173, 'd': 0.2614107431952121, 'l': 0.3314398543318935}",d,Hull,2014,EPL
4495,True,a,"{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'id': '91', 'title': 'Hull', 'short_title': 'HUL'}","{'h': '0', 'a': '0'}","{'h': '0.53913', 'a': '1.0475'}",2015-03-14 15:00:00,"{'w': 0.18732285146701808, 'd': 0.3375424823675307, 'l': 0.47513466616487554}",d,Hull,2014,EPL
4511,True,h,"{'id': '91', 'title': 'Hull', 'short_title': 'HUL'}","{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'h': '2', 'a': '3'}","{'h': '1.32415', 'a': '0.758601'}",2015-03-22 16:00:00,"{'w': 0.500980670872213, 'd': 0.28489964461668205, 'l': 0.21411968449614383}",l,Hull,2014,EPL
4444,True,a,"{'id': '84', 'title': 'Swansea', 'short_title': 'SWA'}","{'id': '91', 'title': 'Hull', 'short_title': 'HUL'}","{'h': '3', 'a': '1'}","{'h': '1.49943', 'a': '0.919329'}",2015-04-04 15:00:00,"{'w': 0.5075983292109927, 'd': 0.26112216822501927, 'l': 0.2312795024819241}",l,Hull,2014,EPL
4453,True,a,"{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'id': '91', 'title': 'Hull', 'short_title': 'HUL'}","{'h': '2', 'a': '0'}","{'h': '2.37369', 'a': '0.737337'}",2015-04-11 15:00:00,"{'w': 0.7382629758135489, 'd': 0.1640713674002654, 'l': 0.0976656210607454}",l,Hull,2014,EPL
4474,True,a,"{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'id': '91', 'title': 'Hull', 'short_title': 'HUL'}","{'h': '0', 'a': '2'}","{'h': '0.913865', 'a': '2.37709'}",2015-04-25 15:00:00,"{'w': 0.1272829696614427, 'd': 0.17414805101650244, 'l': 0.6985689429362285}",w,Hull,2014,EPL
4478,True,h,"{'id': '91', 'title': 'Hull', 'short_title': 'HUL'}","{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'h': '1', 'a': '0'}","{'h': '0.730978', 'a': '0.523697'}",2015-04-28 19:45:00,"{'w': 0.362034856526096, 'd': 0.40523677824381615, 'l': 0.2327283652300842}",w,Hull,2014,EPL
4408,True,h,"{'id': '91', 'title': 'Hull', 'short_title': 'HUL'}","{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'h': '1', 'a': '3'}","{'h': '0.474706', 'a': '2.94938'}",2015-05-04 20:00:00,"{'w': 0.035762630202428626, 'd': 0.09687204951757199, 'l': 0.8673647760099417}",l,Hull,2014,EPL
