id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
4757,True,a,"{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'h': '0', 'a': '2'}","{'h': '0.965583', 'a': '1.48053'}",2014-08-17 16:00:00,"{'w': 0.24634101859002858, 'd': 0.2624301554932322, 'l': 0.49122882584758265}",w,Manchester City,2014,EPL
4768,True,h,"{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'h': '3', 'a': '1'}","{'h': '1.31375', 'a': '0.901889'}",2014-08-25 20:00:00,"{'w': 0.46152006136773127, 'd': 0.2820495467654887, 'l': 0.25643039185329336}",w,Manchester City,2014,EPL
4770,True,h,"{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'id': '85', 'title': 'Stoke', 'short_title': 'STO'}","{'h': '0', 'a': '1'}","{'h': '0.891768', 'a': '0.299792'}",2014-08-30 15:00:00,"{'w': 0.4891887745699212, 'd': 0.3905436734368731, 'l': 0.12026755199314625}",l,Manchester City,2014,EPL
4719,True,a,"{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'h': '2', 'a': '2'}","{'h': '2.07804', 'a': '2.30834'}",2014-09-13 12:45:00,"{'w': 0.35958705116183387, 'd': 0.19585316971841832, 'l': 0.4445597477542596}",d,Manchester City,2014,EPL
4737,True,h,"{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'h': '1', 'a': '1'}","{'h': '1.05592', 'a': '1.02093'}",2014-09-21 16:00:00,"{'w': 0.35826857502791487, 'd': 0.30150550631276346, 'l': 0.3402259186582765}",d,Manchester City,2014,EPL
4744,True,a,"{'id': '91', 'title': 'Hull', 'short_title': 'HUL'}","{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'h': '2', 'a': '4'}","{'h': '1.12374', 'a': '1.78953'}",2014-09-27 15:00:00,"{'w': 0.23807335667514667, 'd': 0.23232270979162534, 'l': 0.529603932643471}",w,Manchester City,2014,EPL
4694,True,a,"{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}","{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'h': '0', 'a': '2'}","{'h': '0.690283', 'a': '2.30634'}",2014-10-04 17:30:00,"{'w': 0.09463847125102268, 'd': 0.1673331741737426, 'l': 0.7380283298794102}",w,Manchester City,2014,EPL
4699,True,h,"{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'h': '4', 'a': '1'}","{'h': '3.75041', 'a': '2.32314'}",2014-10-18 12:45:00,"{'w': 0.6449359976310539, 'd': 0.14179607104164257, 'l': 0.213258361438546}",w,Manchester City,2014,EPL
4709,True,a,"{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'h': '2', 'a': '1'}","{'h': '2.62631', 'a': '1.8643'}",2014-10-25 12:45:00,"{'w': 0.5451166513721623, 'd': 0.1835990980715899, 'l': 0.27128412019249754}",l,Manchester City,2014,EPL
4656,True,h,"{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'h': '1', 'a': '0'}","{'h': '2.56723', 'a': '0.727924'}",2014-11-02 13:30:00,"{'w': 0.7703687007672333, 'd': 0.14624518048132124, 'l': 0.08338602201262896}",w,Manchester City,2014,EPL
