id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
4751,True,h,"{'id': '202', 'title': 'Queens Park Rangers', 'short_title': 'QPR'}","{'id': '91', 'title': 'Hull', 'short_title': 'HUL'}","{'h': '0', 'a': '1'}","{'h': '1.90067', 'a': '1.11757'}",2014-08-16 15:00:00,"{'w': 0.5563356677274283, 'd': 0.22277242014405726, 'l': 0.22089191014956344}",l,Queens Park Rangers,2014,EPL
4766,True,a,"{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'id': '202', 'title': 'Queens Park Rangers', 'short_title': 'QPR'}","{'h': '4', 'a': '0'}","{'h': '2.38894', 'a': '1.07617'}",2014-08-24 13:30:00,"{'w': 0.6642803917942364, 'd': 0.18072372313692894, 'l': 0.15499584629329302}",l,Queens Park Rangers,2014,EPL
4772,True,h,"{'id': '202', 'title': 'Queens Park Rangers', 'short_title': 'QPR'}","{'id': '77', 'title': 'Sunderland', 'short_title': 'SUN'}","{'h': '1', 'a': '0'}","{'h': '1.27277', 'a': '0.964343'}",2014-08-30 15:00:00,"{'w': 0.4347738058757323, 'd': 0.2839458900010526, 'l': 0.2812803041143694}",w,Queens Park Rangers,2014,EPL
4727,True,a,"{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'id': '202', 'title': 'Queens Park Rangers', 'short_title': 'QPR'}","{'h': '4', 'a': '0'}","{'h': '2.20911', 'a': '0.563524'}",2014-09-14 16:00:00,"{'w': 0.7520384413763446, 'd': 0.16813595528958458, 'l': 0.0798255891678977}",l,Queens Park Rangers,2014,EPL
4729,True,h,"{'id': '202', 'title': 'Queens Park Rangers', 'short_title': 'QPR'}","{'id': '85', 'title': 'Stoke', 'short_title': 'STO'}","{'h': '2', 'a': '2'}","{'h': '1.05642', 'a': '1.45847'}",2014-09-20 12:45:00,"{'w': 0.273833910869889, 'd': 0.26253049542524926, 'l': 0.4636355936480036}",d,Queens Park Rangers,2014,EPL
4741,True,a,"{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'id': '202', 'title': 'Queens Park Rangers', 'short_title': 'QPR'}","{'h': '2', 'a': '1'}","{'h': '2.34463', 'a': '0.456323'}",2014-09-27 15:00:00,"{'w': 0.7989031221642331, 'd': 0.1453482862646376, 'l': 0.055748561060690954}",l,Queens Park Rangers,2014,EPL
4698,True,a,"{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'id': '202', 'title': 'Queens Park Rangers', 'short_title': 'QPR'}","{'h': '2', 'a': '0'}","{'h': '1.64038', 'a': '0.697342'}",2014-10-05 16:15:00,"{'w': 0.6008096262646307, 'd': 0.2428867588460619, 'l': 0.15630361461266803}",l,Queens Park Rangers,2014,EPL
4706,True,h,"{'id': '202', 'title': 'Queens Park Rangers', 'short_title': 'QPR'}","{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'h': '2', 'a': '3'}","{'h': '2.60852', 'a': '1.51813'}",2014-10-19 13:30:00,"{'w': 0.6101516704529252, 'd': 0.17925393017890562, 'l': 0.21059428099073513}",l,Queens Park Rangers,2014,EPL
4718,True,h,"{'id': '202', 'title': 'Queens Park Rangers', 'short_title': 'QPR'}","{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}","{'h': '2', 'a': '0'}","{'h': '0.81667', 'a': '1.18709'}",2014-10-27 20:00:00,"{'w': 0.2532935004278545, 'd': 0.3008442080465694, 'l': 0.44586229152225887}",w,Queens Park Rangers,2014,EPL
4653,True,a,"{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'id': '202', 'title': 'Queens Park Rangers', 'short_title': 'QPR'}","{'h': '2', 'a': '1'}","{'h': '2.23703', 'a': '0.510067'}",2014-11-01 15:00:00,"{'w': 0.7696305209680375, 'd': 0.1609814097329071, 'l': 0.06938805263403465}",l,Queens Park Rangers,2014,EPL
4664,True,h,"{'id': '202', 'title': 'Queens Park Rangers', 'short_title': 'QPR'}","{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'h': '2', 'a': '2'}","{'h': '1.86489', 'a': '1.70189'}",2014-11-08 17:30:00,"{'w': 0.4232214991469769, 'd': 0.21978338473766407, 'l': 0.3569951141242199}",d,Queens Park Rangers,2014,EPL
4670,True,a,"{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'id': '202', 'title': 'Queens Park Rangers', 'short_title': 'QPR'}","{'h': '1', 'a': '0'}","{'h': '1.47871', 'a': '0.402285'}",2014-11-22 15:00:00,"{'w': 0.6439189851723448, 'd': 0.2575290747800449, 'l': 0.09855193997978226}",l,Queens Park Rangers,2014,EPL
