id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,team,season,league
848,Charlie Austin,35,3078,18,17.88185734860599,5,2.5487459590658545,131,23,4,1,F,Queens Park Rangers,15,14.076048335060477,13.718284981325269,3.0413201358169317,Queens Park Rangers,2014,EPL
711,Leroy Fer,29,2375,6,5.116700321435928,2,3.5862074815668166,54,48,4,0,M S,Queens Park Rangers,6,5.116700321435928,10.68013789691031,4.389066057279706,Queens Park Rangers,2014,EPL
85,Eduardo Vargas,21,1389,3,3.477742818184197,2,1.8190635778009892,41,15,1,0,F M S,Queens Park Rangers,3,3.477742818184197,6.1312263906002045,2.8785364371724427,Queens Park Rangers,2014,EPL
1737,Matt Phillips,25,1827,3,3.0864788740873337,8,3.036336817778647,42,34,1,0,F M S,Queens Park Rangers,3,3.0864788740873337,5.406236808747053,1.1094425106421113,Queens Park Rangers,2014,EPL
4396,Bobby Zamora,31,1779,3,2.987051488365978,4,6.012670556083322,29,50,4,0,F S,Queens Park Rangers,3,2.987051488365978,9.424545330926776,3.241478360258043,Queens Park Rangers,2014,EPL
4397,Niko Kranjcar,22,1108,2,1.9117348054423928,1,1.7309440784156322,42,20,2,0,M S,Queens Park Rangers,2,1.9117348054423928,3.014048868790269,1.027124721556902,Queens Park Rangers,2014,EPL
817,Sandro,17,1240,1,0.6715470999479294,0,0.12614960223436356,17,3,6,0,M,Queens Park Rangers,1,0.6715470999479294,2.6105356854386628,2.1408034921623766,Queens Park Rangers,2014,EPL
953,Steven Caulker,35,3019,1,2.944729307666421,0,1.179923115298152,28,17,1,0,D S,Queens Park Rangers,1,2.944729307666421,3.971539515070617,2.8036462077870965,Queens Park Rangers,2014,EPL
4398,Clint Hill,19,1411,1,0.3769401032477617,0,0.7381682936102152,7,14,4,0,D S,Queens Park Rangers,1,0.3769401032477617,1.4749759072437882,0.8907150039449334,Queens Park Rangers,2014,EPL
4430,Joey Barton,28,2347,1,2.055411926470697,3,5.228928584605455,35,58,11,1,M S,Queens Park Rangers,1,2.055411926470697,7.560516483150423,5.23019561637193,Queens Park Rangers,2014,EPL
632,Jordon Mutch,9,515,0,0.7244495833292603,1,0.5040750987827778,9,4,3,0,M S,Queens Park Rangers,0,0.7244495833292603,1.495195209980011,0.7774208430200815,Queens Park Rangers,2014,EPL
635,Alex McCarthy,3,237,0,0,0,0,0,0,0,0,GK S,Queens Park Rangers,0,0,0.5550842136144638,0.5550842136144638,Queens Park Rangers,2014,EPL
690,Loïc Remy,2,180,0,0.3511070981621742,0,0.38135701417922974,7,1,0,0,F,Queens Park Rangers,0,0.3511070981621742,0.6894480958580971,0.028657300397753716,Queens Park Rangers,2014,EPL
746,Danny Simpson,1,71,0,0,0,0.013217899948358536,0,1,0,0,D,Queens Park Rangers,0,0,0.032656099647283554,0.032656099647283554,Queens Park Rangers,2014,EPL
939,Mauro Zárate,4,57,0,0.2777593908831477,0,0,4,0,1,0,S,Queens Park Rangers,0,0.2777593908831477,0.3232553927227855,0.1872369945049286,Queens Park Rangers,2014,EPL
1402,Mauricio Isla,26,2128,0,0.3045692080631852,2,2.828330373391509,7,30,4,0,D M S,Queens Park Rangers,0,0.3045692080631852,7.571905996650457,5.911911765113473,Queens Park Rangers,2014,EPL
4390,Robert Green,36,3183,0,0,0,0.05999030079692602,0,3,1,0,GK,Queens Park Rangers,0,0,1.5963862929493189,1.5603471929207444,Queens Park Rangers,2014,EPL
4391,Darnell Furlong,3,228,0,0.009575449861586094,0,0,1,0,1,0,D,Queens Park Rangers,0,0.009575449861586094,0.06898230314254761,0.05940689891576767,Queens Park Rangers,2014,EPL
4392,Nedum Onuoha,23,1928,0,1.374483815394342,0,0.34946130495518446,9,8,2,1,D S,Queens Park Rangers,0,1.374483815394342,3.41572249494493,2.91792908962816,Queens Park Rangers,2014,EPL
4393,Yun Suk-Young,23,1721,0,0.5935319093987346,0,0.35707824118435383,6,9,4,0,D M S,Queens Park Rangers,0,0.5935319093987346,2.576807016506791,1.7795475162565708,Queens Park Rangers,2014,EPL
4394,Karl Henry,33,2507,0,0.2998349014669657,0,0.44358929991722107,10,11,8,0,M S,Queens Park Rangers,0,0.2998349014669657,3.1357659194618464,2.6835456788539886,Queens Park Rangers,2014,EPL
4395,Junior Hoilett,22,868,0,0.8032064093276858,0,1.0915372902527452,24,12,2,0,M S,Queens Park Rangers,0,0.8032064093276858,2.4889727272093296,1.444477604702115,Queens Park Rangers,2014,EPL
4399,Shaun Wright-Phillips,4,127,0,0.018060699105262756,0,0.02029700018465519,1,1,0,0,M S,Queens Park Rangers,0,0.018060699105262756,0.22559469379484653,0.20753399468958378,Queens Park Rangers,2014,EPL
4429,Rio Ferdinand,11,990,0,0,0,0,0,0,2,0,D,Queens Park Rangers,0,0,1.264611802995205,1.264611802995205,Queens Park Rangers,2014,EPL
4431,Armand Traore,16,770,0,0.3853635061532259,0,0.18602940160781145,7,6,2,0,D M S,Queens Park Rangers,0,0.3853635061532259,2.2040757508948445,1.756255341693759,Queens Park Rangers,2014,EPL
4432,Michael Doughty,3,44,0,0,0,0.14174099266529083,0,1,0,0,S,Queens Park Rangers,0,0,0.21607819385826588,0.21607819385826588,Queens Park Rangers,2014,EPL
4444,Richard Dunne,23,1886,0,1.0475114909932017,0,0.08156350068747997,8,3,7,0,D S,Queens Park Rangers,0,1.0475114909932017,2.0043458864092827,1.9650903027504683,Queens Park Rangers,2014,EPL
4445,Reece Grego-Cox,4,134,0,0.3061160147190094,0,0,1,0,0,0,F S,Queens Park Rangers,0,0.3061160147190094,0.40584801137447357,0.09973199665546417,Queens Park Rangers,2014,EPL
4446,Brandon Comley,1,9,0,0.013827499933540821,0,0,1,0,0,0,S,Queens Park Rangers,0,0.013827499933540821,0.013827499933540821,0,Queens Park Rangers,2014,EPL
4450,Adel Taarabt,7,296,0,0.3101955968886614,0,0.3372079702094197,11,13,0,0,M S,Queens Park Rangers,0,0.3101955968886614,0.7009713910520077,0.24649899639189243,Queens Park Rangers,2014,EPL
4457,Cole Kpekawa,1,4,0,0,0,0,0,0,0,0,S,Queens Park Rangers,0,0,0,0,Queens Park Rangers,2014,EPL
4528,Alejandro Faurlin,2,94,0,0.11255799978971481,0,0.4859839975833893,3,1,0,0,M S,Queens Park Rangers,0,0.11255799978971481,0.055191799998283386,0.022535700350999832,Queens Park Rangers,2014,EPL
