id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,team,season,league
622,Wilfried Bony,20,1312,9,7.815615499392152,2,2.3429291788488626,66,19,2,1,F S,Swansea,8,7.054447008296847,9.992263782769442,3.006494138389826,Swansea,2014,EPL
723,Ki Sung-yueng,33,2692,8,4.3305724542587996,1,1.2641469975933433,28,26,4,0,M S,Swansea,8,4.3305724542587996,11.960129372775555,9.00447864830494,Swansea,2014,EPL
714,Gylfi Sigurdsson,32,2721,7,5.177992397919297,10,8.451312126591802,67,73,2,0,F M,Swansea,7,5.177992397919297,15.548747316002846,7.116851134225726,Swansea,2014,EPL
717,Bafétimbi Gomis,31,1619,7,7.497829519212246,0,0.8869193764403462,69,13,0,0,F S,Swansea,7,7.497829519212246,7.2545317858457565,1.5422120690345764,Swansea,2014,EPL
719,Wayne Routledge,29,2327,3,3.8581881392747164,1,2.311216900125146,31,28,1,1,F M S,Swansea,3,3.8581881392747164,8.53514770977199,3.121097734197974,Swansea,2014,EPL
769,Jonjo Shelvey,31,2471,3,4.547880021855235,5,2.943915719166398,62,30,8,1,M S,Swansea,2,3.7867110054939985,11.989973126910627,7.097531080245972,Swansea,2014,EPL
783,Nathan Dyer,32,1879,3,2.01653119456023,2,2.2351764095947146,17,22,2,0,F M S,Swansea,3,2.01653119456023,8.583801867440343,5.942768881097436,Swansea,2014,EPL
712,Jack Cork,15,1326,1,1.7780292611569166,0,0.34658369794487953,5,7,1,0,M,Swansea,1,1.7780292611569166,4.106026412919164,3.403785651549697,Swansea,2014,EPL
715,Jefferson Montero,30,1551,1,1.0105927288532257,7,3.652138037607074,13,27,0,0,F M S,Swansea,1,1.0105927288532257,6.563084755092859,3.3003817070275545,Swansea,2014,EPL
4386,Nélson Oliveira,10,392,1,0.9380339160561562,0,0.17447449825704098,11,4,0,0,F M S,Swansea,1,0.9380339160561562,1.0580661855638027,0.13101780228316784,Swansea,2014,EPL
653,Tom Carroll,13,694,0,0.17096910253167152,0,0.638788478448987,4,5,1,0,F M S,Swansea,0,0.17096910253167152,2.975092090666294,2.719753608107567,Swansea,2014,EPL
706,Lukasz Fabianski,37,3310,0,0,0,0,0,0,0,1,GK,Swansea,0,0,5.364475024864078,5.364475024864078,Swansea,2014,EPL
707,Angel Rangel,27,2036,0,0.1650554994121194,0,1.4722545929253101,7,13,1,1,D S,Swansea,0,0.1650554994121194,6.861091006547213,6.046136010438204,Swansea,2014,EPL
708,Federico Fernández,28,2472,0,0.5938718896359205,0,0.0922016017138958,13,3,0,0,D S,Swansea,0,0.5938718896359205,3.7380386600270867,3.619105172343552,Swansea,2014,EPL
709,Ashley Williams,37,3330,0,0.39955429919064045,0,0.14684819988906384,7,6,6,0,D,Swansea,0,0.39955429919064045,6.921002980321646,6.7357996590435505,Swansea,2014,EPL
710,Neil Taylor,34,3004,0,0.0754489004611969,2,1.7879231059923768,4,22,9,0,D,Swansea,0,0.0754489004611969,8.68850091099739,7.775590851902962,Swansea,2014,EPL
718,Kyle Naughton,10,860,0,0.0408255010843277,1,0.3703144108876586,3,3,1,0,D,Swansea,0,0.0408255010843277,2.1567064402624965,2.115876722149551,Swansea,2014,EPL
720,Modou Barrow,11,266,0,0.04451709985733032,1,0.8047116920351982,2,5,1,0,M S,Swansea,0,0.04451709985733032,1.188092790544033,1.027893990278244,Swansea,2014,EPL
721,Jordi Amat,10,591,0,0,0,0.037276800721883774,0,1,3,0,D S,Swansea,0,0,0.9018794000148773,0.8646025992929935,Swansea,2014,EPL
829,Marvin Emnes,17,488,0,0.8800223087891936,0,0.7972883991897106,13,5,2,0,M S,Swansea,0,0.8800223087891936,1.8270478919148445,0.6900001950562,Swansea,2014,EPL
830,Leon Britton,9,541,0,0,0,0.01674170047044754,0,1,1,0,M S,Swansea,0,0,0.9559799954295158,0.9559799954295158,Swansea,2014,EPL
896,Jay Fulton,2,112,0,0,0,0,0,0,0,0,M S,Swansea,0,0,0.16985679417848587,0.16985679417848587,Swansea,2014,EPL
964,Kyle Bartley,7,630,0,0.19451040402054787,0,0,4,0,2,0,D,Swansea,0,0.19451040402054787,1.4454614780843258,1.4454614780843258,Swansea,2014,EPL
1035,Kenji Gorré,1,5,0,0,0,0,0,0,0,0,S,Swansea,0,0,0,0,Swansea,2014,EPL
1045,Matt Grimes,3,38,0,0,0,0.13826599717140198,0,1,0,0,S,Swansea,0,0,0.19051770493388176,0.19051770493388176,Swansea,2014,EPL
1062,Gerhard Tremmel,2,107,0,0,0,0,0,0,0,0,GK S,Swansea,0,0,0,0,Swansea,2014,EPL
4448,Dwight Tiendalli,3,125,0,0,0,0.026125600561499596,0,2,0,0,D S,Swansea,0,0,0.040565598756074905,0.014440000057220459,Swansea,2014,EPL
4467,Jazz Richards,10,633,0,0,1,0.12766999937593937,0,3,1,0,D S,Swansea,0,0,1.5579434223473072,1.446399424225092,Swansea,2014,EPL
