id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,team,season,league
656,Diafra Sakho,23,1765,10,9.070379790849984,2,2.615855161100626,66,23,2,0,F M S,West Ham,10,9.070379790849984,9.083618108183146,0.9128177799284458,West Ham,2014,EPL
1712,Stewart Downing,37,3315,6,4.136292829178274,8,6.626503786537796,70,85,3,0,F M,West Ham,6,4.136292829178274,13.64264209009707,7.331175375729799,West Ham,2014,EPL
537,Andy Carroll,14,1032,5,3.693270232528448,1,0.7689823769032955,37,11,2,0,F S,West Ham,5,3.693270232528448,3.2884955015033484,0.46891819685697556,West Ham,2014,EPL
532,Cheikhou Kouyaté,31,2670,4,3.0627197325229645,2,1.1875272747129202,33,14,5,0,D M S,West Ham,4,3.0627197325229645,6.412817427888513,3.314806269481778,West Ham,2014,EPL
539,Enner Valencia,32,2119,4,6.480698708444834,3,2.593669313006103,72,18,2,0,F M S,West Ham,4,6.480698708444834,8.838937357068062,2.8980731437914073,West Ham,2014,EPL
3364,Morgan Amalfitano,24,1174,3,2.623760821297765,1,0.9993912074714899,19,10,3,0,F M S,West Ham,3,2.623760821297765,5.837719803676009,3.05675688944757,West Ham,2014,EPL
533,Mark Noble,28,2321,2,2.4249141104519367,3,3.0953231919556856,21,45,4,0,M S,West Ham,1,0.9025766961276531,8.767040897160769,7.170456627383828,West Ham,2014,EPL
534,Aaron Cresswell,38,3420,2,1.2426329869776964,4,4.838664368726313,19,35,5,0,D,West Ham,2,1.2426329869776964,9.588580122217536,6.95385479554534,West Ham,2014,EPL
939,Mauro Zárate,7,424,2,0.4390261024236679,1,0.4284241870045662,13,7,1,0,M S,West Ham,2,0.4390261024236679,0.8943358026444912,0.3738796915858984,West Ham,2014,EPL
4383,Carlton Cole,23,894,2,1.7291568778455257,0,0.6560839973390102,17,8,2,0,F S,West Ham,2,1.7291568778455257,2.539834786206484,1.4509753584861755,West Ham,2014,EPL
529,Winston Reid,30,2497,1,1.2366657685488462,0,1.2207213276997209,11,8,10,0,D S,West Ham,1,1.2366657685488462,3.9561072415672243,3.856598937418312,West Ham,2014,EPL
530,James Tomkins,22,1858,1,2.159363705664873,3,2.0329756066203117,18,10,6,0,D S,West Ham,1,2.159363705664873,1.53314127959311,1.4398671817034483,West Ham,2014,EPL
1028,Kevin Nolan,29,1742,1,3.6620913930237293,1,0.9290485139936209,31,12,2,0,M S,West Ham,1,3.6620913930237293,4.468470650725067,2.065542420372367,West Ham,2014,EPL
527,Adrián,38,3392,0,0,0,0.12958149798214436,0,3,3,1,GK,West Ham,0,0,2.7573785092681646,2.6922287922352552,West Ham,2014,EPL
655,James Collins,27,1870,0,1.042383598163724,0,0.2978098038583994,9,5,5,1,D S,West Ham,0,1.042383598163724,4.842167384922504,3.9829263240098953,West Ham,2014,EPL
657,Alexandre Song,28,2258,0,0.723948891274631,3,2.3790941443294287,12,28,4,0,M S,West Ham,0,0.723948891274631,9.307583212852478,7.033517295029014,West Ham,2014,EPL
800,Matthew Jarvis,11,409,0,0.3824862018227577,0,1.025754403322935,5,10,0,0,M S,West Ham,0,0.3824862018227577,1.5946353152394295,0.5290609039366245,West Ham,2014,EPL
918,Joey O&#039;Brien,9,523,0,0.09181299805641174,0,0.4548986107110977,2,5,2,0,D S,West Ham,0,0.09181299805641174,0.7866458036005497,0.4285198971629143,West Ham,2014,EPL
938,Carl Jenkinson,32,2660,0,1.1120519153773785,2,2.1274429839104414,13,22,2,0,D S,West Ham,0,1.1120519153773785,7.774099243804812,5.7153421230614185,West Ham,2014,EPL
1020,Elliot Lee,1,12,0,0,0,0,0,0,0,0,S,West Ham,0,0,0,0,West Ham,2014,EPL
1092,Diego Poyet,3,87,0,0,0,0.014837400056421757,0,1,1,0,M S,West Ham,0,0,0.19431599974632263,0.19431599974632263,West Ham,2014,EPL
1771,Reece Burke,5,417,0,0.16794639453291893,0,0.0650554969906807,4,1,0,0,D S,West Ham,0,0.16794639453291893,0.11575929820537567,0.05403779819607735,West Ham,2014,EPL
1883,Ravel Morrison,1,31,0,0,0,0,0,0,0,0,S,West Ham,0,0,0,0,West Ham,2014,EPL
4384,Jussi Jääskeläinen,1,26,0,0,0,0,0,0,0,0,S,West Ham,0,0,0,0,West Ham,2014,EPL
4385,Guy Demel,6,263,0,0,0,0.10647600144147873,0,1,0,0,D S,West Ham,0,0,0.3481046035885811,0.3481046035885811,West Ham,2014,EPL
4435,Nenê,8,115,0,0.36117459647357464,0,0.4466039966791868,9,4,0,0,S,West Ham,0,0.36117459647357464,0.8369725067168474,0.5192914120852947,West Ham,2014,EPL
4471,Mohamed Diamé,3,52,0,0.017921600490808487,0,0,1,0,0,0,S,West Ham,0,0.017921600490808487,0.11371199786663055,0.09579010307788849,West Ham,2014,EPL
4503,Ricardo Vaz Te,4,225,0,1.084789913147688,0,0.2327760010957718,7,3,0,0,M S,West Ham,0,1.084789913147688,0.7769089937210083,0.565668985247612,West Ham,2014,EPL
