id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,team,season,league
672,Jordan Ayew,30,2356,7,4.692514030262828,0,1.4725213972851634,59,18,6,1,F M S,Aston Villa,6,3.9313449133187532,5.213557502254844,1.8964070649817586,Aston Villa,2015,EPL
671,Rudy Gestede,32,1632,5,5.696741838008165,2,1.4262413000687957,61,15,2,0,F S,Aston Villa,5,5.696741838008165,5.786227121017873,0.9677258897572756,Aston Villa,2015,EPL
669,Ashley Westwood,32,2720,2,1.7461493341252208,2,3.1517576836049557,38,41,6,0,M S,Aston Villa,2,1.7461493341252208,6.387356759980321,4.117237228900194,Aston Villa,2015,EPL
670,Carles Gil,23,1454,2,0.7563516963273287,0,1.486159997060895,17,25,3,0,F M S,Aston Villa,2,0.7563516963273287,3.3147316239774227,2.429522169753909,Aston Villa,2015,EPL
679,Scott Sinclair,27,1598,2,2.815946187824011,0,0.13176919892430305,17,5,0,0,F M S,Aston Villa,1,2.054780151695013,3.5370405688881874,1.5768062099814415,Aston Villa,2015,EPL
664,Joleon Lescott,30,2632,1,1.8732635146006942,0,0.17327840439975262,11,4,2,0,D,Aston Villa,1,1.8732635146006942,4.315418165177107,4.168777171522379,Aston Villa,2015,EPL
665,Micah Richards,24,2049,1,1.012163701467216,1,0.419517801143229,11,8,3,0,D S,Aston Villa,1,1.012163701467216,2.9391929684206843,2.6296159625053406,Aston Villa,2015,EPL
674,Leandro Bacuna,31,2421,1,1.905084615573287,0,1.1993913184851408,32,16,8,0,D F M S,Aston Villa,1,1.905084615573287,6.015960816293955,4.071642050519586,Aston Villa,2015,EPL
675,Jack Grealish,16,831,1,0.5990190040320158,0,0.6424275133758783,16,12,1,0,F M S,Aston Villa,1,0.5990190040320158,2.6512201130390167,1.994210036471486,Aston Villa,2015,EPL
875,Ciaran Clark,18,1442,1,0.8913228996098042,0,0.6958843991160393,10,4,6,0,D S,Aston Villa,1,0.8913228996098042,0.7675878955051303,0.6018302924931049,Aston Villa,2015,EPL
890,Gabriel Agbonlahor,15,1051,1,1.2428807243704796,2,1.4772773999720812,10,13,0,0,F M S,Aston Villa,1,1.2428807243704796,2.8307675942778587,0.2617865987122059,Aston Villa,2015,EPL
662,Brad Guzan,28,2520,0,0,0,0.04463290050625801,0,1,2,0,GK,Aston Villa,0,0,1.3892122227698565,1.3445793222635984,Aston Villa,2015,EPL
663,Alan Hutton,28,2331,0,0.5536272544413805,1,2.2841296792030334,9,21,6,1,D S,Aston Villa,0,0.5536272544413805,4.593399854376912,3.6531285122036934,Aston Villa,2015,EPL
666,Aly Cissokho,18,1605,0,0.10726839862763882,0,0.49526070058345795,4,9,3,1,D,Aston Villa,0,0.10726839862763882,2.459506519138813,2.1241850033402443,Aston Villa,2015,EPL
667,Carlos Sánchez,20,1373,0,0.36579716950654984,0,0.377815212123096,13,4,3,0,M S,Aston Villa,0,0.36579716950654984,2.6664146250113845,2.467636733315885,Aston Villa,2015,EPL
668,Idrissa Gueye,35,3085,0,0.8781897984445095,1,0.9875790039077401,30,28,10,0,M,Aston Villa,0,0.8781897984445095,6.672482008114457,5.5509057100862265,Aston Villa,2015,EPL
673,Jordan Lyden,4,149,0,0.0626055970788002,0,0.02845030091702938,1,1,0,0,D M S,Aston Villa,0,0.0626055970788002,0.16466929763555527,0.07361339777708054,Aston Villa,2015,EPL
676,Jores Okore,12,1080,0,0,0,0.12150000035762787,0,1,1,0,D,Aston Villa,0,0,1.2886639153584838,1.167163915000856,Aston Villa,2015,EPL
677,Jordan Veretout,25,1831,0,0.5650775404646993,5,2.729467500001192,19,39,4,0,M S,Aston Villa,0,0.5650775404646993,4.899514092132449,3.7970037991181016,Aston Villa,2015,EPL
678,Mark Bunn,10,900,0,0,0,0,0,0,2,0,GK,Aston Villa,0,0,0.15549569763243198,0.15549569763243198,Aston Villa,2015,EPL
874,Andre Green,2,54,0,0.015768099576234818,0,0.1859554946422577,1,2,0,0,S,Aston Villa,0,0.015768099576234818,0.1150130033493042,0,Aston Villa,2015,EPL
899,Kieran Richardson,11,722,0,0.15549749974161386,1,0.16375859826803207,7,4,4,0,D M S,Aston Villa,0,0.15549749974161386,0.8549431152641773,0.6551991123706102,Aston Villa,2015,EPL
900,Adama Traoré,10,167,0,0.1319373995065689,1,0.08419380336999893,2,1,1,0,S,Aston Villa,0,0.1319373995065689,0.3410761021077633,0.12494489923119545,Aston Villa,2015,EPL
901,Kevin Toner,4,313,0,0.0519183985888958,1,0.04867729917168617,1,1,0,0,D S,Aston Villa,0,0.0519183985888958,0.12069679703563452,0.12069679703563452,Aston Villa,2015,EPL
961,Jordan Amavi,10,835,0,0.09508189931511879,2,0.8446443090215325,5,7,2,0,D S,Aston Villa,0,0.09508189931511879,1.3680443912744522,0.5126461032778025,Aston Villa,2015,EPL
962,José Ángel Crespo,1,90,0,0,0,0,0,0,0,0,D,Aston Villa,0,0,0,0,Aston Villa,2015,EPL
1015,Rushian Hepburn-Murphy,1,1,0,0,0,0,0,0,0,0,S,Aston Villa,0,0,0,0,Aston Villa,2015,EPL
1026,Libor Kozák,4,255,0,0.47155241668224335,0,0.11947640031576157,6,3,0,0,F S,Aston Villa,0,0.47155241668224335,0.40773991122841835,0,Aston Villa,2015,EPL
1066,Charles N&#039;Zogbia,2,39,0,0,0,0,0,0,0,0,S,Aston Villa,0,0,0,0,Aston Villa,2015,EPL
