id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
86,True,h,"{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'id': '84', 'title': 'Swansea', 'short_title': 'SWA'}","{'h': '2', 'a': '2'}","{'h': '0.64396', 'a': '2.59203'}",2015-08-08 20:30:00,"{'w': 0.07002889817868162, 'd': 0.13798967534108764, 'l': 0.7919813172755404}",d,Chelsea,2015,EPL
99,True,a,"{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'h': '3', 'a': '0'}","{'h': '2.18579', 'a': '0.482423'}",2015-08-16 19:00:00,"{'w': 0.7680623816055744, 'd': 0.16423150794371044, 'l': 0.0677060981046668}",l,Chelsea,2015,EPL
107,True,a,"{'id': '76', 'title': 'West Bromwich Albion', 'short_title': 'WBA'}","{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'h': '2', 'a': '3'}","{'h': '1.42622', 'a': '2.02778'}",2015-08-23 16:30:00,"{'w': 0.2700801102592446, 'd': 0.21474574899791035, 'l': 0.5151741360616852}",w,Chelsea,2015,EPL
115,True,h,"{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'h': '1', 'a': '2'}","{'h': '1.27906', 'a': '2.19283'}",2015-08-29 18:00:00,"{'w': 0.21632551057673302, 'd': 0.2020282944275745, 'l': 0.5816461821147328}",l,Chelsea,2015,EPL
121,True,a,"{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'h': '3', 'a': '1'}","{'h': '1.18026', 'a': '0.656048'}",2015-09-12 15:45:00,"{'w': 0.4857051004928101, 'd': 0.3088842915639401, 'l': 0.2054106079402033}",l,Chelsea,2015,EPL
131,True,h,"{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'h': '2', 'a': '0'}","{'h': '2.0687', 'a': '0.775312'}",2015-09-19 15:45:00,"{'w': 0.6743179145522716, 'd': 0.19633139990069695, 'l': 0.12935067951972984}",w,Chelsea,2015,EPL
148,True,a,"{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'h': '2', 'a': '2'}","{'h': '0.702109', 'a': '1.30593'}",2015-09-26 20:30:00,"{'w': 0.20061096676876855, 'd': 0.28861023319360524, 'l': 0.5107788000252675}",d,Chelsea,2015,EPL
157,True,h,"{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'h': '1', 'a': '3'}","{'h': '0.520175', 'a': '1.58246'}",2015-10-03 20:30:00,"{'w': 0.11906575287990512, 'd': 0.24535167685528933, 'l': 0.6355825700945247}",l,Chelsea,2015,EPL
164,True,h,"{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}","{'h': '2', 'a': '0'}","{'h': '1.22875', 'a': '0.795846'}",2015-10-17 18:00:00,"{'w': 0.4635818874848154, 'd': 0.2963922315006519, 'l': 0.24002588100919564}",w,Chelsea,2015,EPL
173,True,a,"{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'h': '2', 'a': '1'}","{'h': '0.77284', 'a': '1.1356'}",2015-10-24 18:00:00,"{'w': 0.2488106746169014, 'd': 0.3099776499975128, 'l': 0.4412116753837979}",l,Chelsea,2015,EPL
