id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,team,season,league
813,Salomón Rondón,34,2581,9,9.896931927651167,2,1.9187822239473462,71,28,1,1,F S,West Bromwich Albion,9,9.896931927651167,9.413141864351928,2.562900614924729,West Bromwich Albion,2015,EPL
804,Craig Dawson,38,3387,4,4.9939436465501785,0,3.273947911337018,38,28,3,0,D,West Bromwich Albion,4,4.9939436465501785,5.419562907889485,4.053239188157022,West Bromwich Albion,2015,EPL
811,Saido Berahino,31,1727,4,7.118001105263829,0,1.0141102001070976,35,18,0,0,F M S,West Bromwich Albion,4,5.595701085403562,7.9605226730927825,2.1189317824319005,West Bromwich Albion,2015,EPL
812,Craig Gardner,34,2037,3,4.136256244033575,3,3.0203902954235673,46,24,5,0,M S,West Bromwich Albion,3,3.3750872425734997,5.1864875964820385,1.7018211791291833,West Bromwich Albion,2015,EPL
990,James Morrison,18,1354,3,1.8907658848911524,3,1.1233719112351537,24,15,3,0,M S,West Bromwich Albion,3,1.1295968685299158,3.430091424845159,1.7143349926918745,West Bromwich Albion,2015,EPL
810,Stéphane Sessegnon,25,1770,2,1.287262612953782,2,2.786615217104554,31,27,1,0,F M S,West Bromwich Albion,2,1.287262612953782,6.163075953722,3.9116171952337027,West Bromwich Albion,2015,EPL
814,James McClean,35,2414,2,2.168414603918791,2,3.0264101019129157,31,29,7,1,F M S,West Bromwich Albion,2,2.168414603918791,5.10841834358871,1.4000553861260414,West Bromwich Albion,2015,EPL
805,Jonas Olsson,28,2019,1,0.9869292164221406,1,1.0481974948197603,6,4,5,0,D S,West Bromwich Albion,1,0.9869292164221406,1.9791093980893493,1.947945392690599,West Bromwich Albion,2015,EPL
806,Gareth McAuley,34,3060,1,0.5205572098493576,0,0.6936065852642059,7,7,4,1,D,West Bromwich Albion,1,0.5205572098493576,3.2130712745711207,3.1146106524392962,West Bromwich Albion,2015,EPL
807,Jonny Evans,30,2600,1,1.2419001199305058,1,0.7815928049385548,7,9,4,0,D M,West Bromwich Albion,1,1.2419001199305058,2.8226519897580147,2.218800075352192,West Bromwich Albion,2015,EPL
809,Darren Fletcher,38,3377,1,2.497494393028319,3,2.580059782601893,22,30,3,0,M,West Bromwich Albion,1,2.497494393028319,7.24373628385365,3.9017012156546116,West Bromwich Albion,2015,EPL
816,Rickie Lambert,19,604,1,1.4416358908638358,1,0.9207850070670247,14,11,2,0,F S,West Bromwich Albion,0,0.6804667999967933,1.3934175092726946,0.212576094083488,West Bromwich Albion,2015,EPL
664,Joleon Lescott,2,180,0,0,0,0,0,0,0,0,D,West Bromwich Albion,0,0,0.12288010213524103,0.12288010213524103,West Bromwich Albion,2015,EPL
803,Ben Foster,15,1350,0,0,0,0,0,0,1,0,GK,West Bromwich Albion,0,0,0.20529609732329845,0.20529609732329845,West Bromwich Albion,2015,EPL
808,Claudio Yacob,34,2862,0,0.17488109972327948,1,0.521934631280601,9,8,8,0,M S,West Bromwich Albion,0,0.17488109972327948,2.266810725443065,1.7137513048946857,West Bromwich Albion,2015,EPL
815,Alex Pritchard,2,58,0,0.07596279680728912,0,0,2,0,0,0,S,West Bromwich Albion,0,0.07596279680728912,0.06576680019497871,0.04007750004529953,West Bromwich Albion,2015,EPL
817,Sandro,12,382,0,0.04840079974383116,0,0.11875800043344498,3,1,0,0,M S,West Bromwich Albion,0,0.04840079974383116,0.19589929934591055,0.04429269954562187,West Bromwich Albion,2015,EPL
818,Victor Anichebe,10,355,0,1.1712062265723944,0,0.31019119545817375,13,5,0,0,F S,West Bromwich Albion,0,1.1712062265723944,1.362776305526495,0.3371986970305443,West Bromwich Albion,2015,EPL
819,James Chester,13,965,0,0,0,0.2575351018458605,0,4,5,0,D S,West Bromwich Albion,0,0,1.168112987652421,1.0365838836878538,West Bromwich Albion,2015,EPL
820,Boaz Myhill,23,2070,0,0,0,0,0,0,2,0,GK,West Bromwich Albion,0,0,1.0126017173752189,1.0126017173752189,West Bromwich Albion,2015,EPL
855,Cristian Gamboa,1,24,0,0.02293349988758564,0,0,1,0,1,0,S,West Bromwich Albion,0,0.02293349988758564,0.10200399905443192,0.07907070219516754,West Bromwich Albion,2015,EPL
879,Jonathan Leko,5,272,0,0,1,0.564852885901928,0,2,0,0,M S,West Bromwich Albion,0,0,0.8997139781713486,0.33486099541187286,West Bromwich Albion,2015,EPL
880,Callum McManaman,12,267,0,0.44442828744649887,1,0.24533430114388466,8,8,2,0,M S,West Bromwich Albion,0,0.44442828744649887,0.6491794921457767,0.20713379979133606,West Bromwich Albion,2015,EPL
893,Sébastien Pocognoli,1,33,0,0,1,0.16966499388217926,0,2,0,0,S,West Bromwich Albion,0,0,0.16966499388217926,0.07335220277309418,West Bromwich Albion,2015,EPL
904,Chris Brunt,22,1802,0,0.6611344888806343,3,2.363816289231181,18,21,7,0,D M S,West Bromwich Albion,0,0.6611344888806343,2.2422037860378623,1.7052833708003163,West Bromwich Albion,2015,EPL
993,Serge Gnabry,1,10,0,0.05847230181097984,0,0.01400769967585802,2,1,0,0,S,West Bromwich Albion,0,0.05847230181097984,0.03067909926176071,0,West Bromwich Albion,2015,EPL
1013,Sam Field,1,1,0,0,0,0,0,0,0,0,S,West Bromwich Albion,0,0,0,0,West Bromwich Albion,2015,EPL
1014,Tyler Roberts,1,15,0,0.15334799885749817,0,0,1,0,1,0,S,West Bromwich Albion,0,0.15334799885749817,0,0,West Bromwich Albion,2015,EPL
