id,isResult,h,a,goals,xG,datetime,forecast,season,league
461,True,"{'id': '91', 'title': 'Hull', 'short_title': 'HUL'}","{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'h': '2', 'a': '1'}","{'h': '0.740018', 'a': '2.45631'}",2016-08-13 15:30:00,"{'w': '0.0538', 'd': '0.1247', 'l': '0.8215'}",2016,EPL
462,True,"{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'id': '76', 'title': 'West Bromwich Albion', 'short_title': 'WBA'}","{'h': '0', 'a': '1'}","{'h': '0.990062', 'a': '0.684593'}",2016-08-13 18:00:00,"{'w': '0.4295', 'd': '0.3356', 'l': '0.2349'}",2016,EPL
463,True,"{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'h': '1', 'a': '1'}","{'h': '0.790063', 'a': '1.12348'}",2016-08-13 18:00:00,"{'w': '0.2313', 'd': '0.3322', 'l': '0.4365'}",2016,EPL
464,True,"{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}","{'id': '84', 'title': 'Swansea', 'short_title': 'SWA'}","{'h': '0', 'a': '1'}","{'h': '1.04903', 'a': '1.72089'}",2016-08-13 18:00:00,"{'w': '0.1626', 'd': '0.2888', 'l': '0.5486'}",2016,EPL
465,True,"{'id': '93', 'title': 'Middlesbrough', 'short_title': 'MID'}","{'id': '85', 'title': 'Stoke', 'short_title': 'STO'}","{'h': '1', 'a': '1'}","{'h': '1.80523', 'a': '0.485626'}",2016-08-13 18:00:00,"{'w': '0.7885', 'd': '0.1624', 'l': '0.0491'}",2016,EPL
466,True,"{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'id': '90', 'title': 'Watford', 'short_title': 'WAT'}","{'h': '1', 'a': '1'}","{'h': '0.937328', 'a': '0.180046'}",2016-08-13 18:00:00,"{'w': '0.5425', 'd': '0.3917', 'l': '0.0658'}",2016,EPL
467,True,"{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'id': '77', 'title': 'Sunderland', 'short_title': 'SUN'}","{'h': '2', 'a': '1'}","{'h': '1.95479', 'a': '1.09877'}",2016-08-13 20:30:00,"{'w': '0.598', 'd': '0.2506', 'l': '0.1514'}",2016,EPL
468,True,"{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'h': '1', 'a': '3'}","{'h': '0.522847', 'a': '1.91105'}",2016-08-14 16:30:00,"{'w': '0.0548', 'd': '0.159', 'l': '0.7862'}",2016,EPL
469,True,"{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'h': '3', 'a': '4'}","{'h': '1.18197', 'a': '1.6591'}",2016-08-14 19:00:00,"{'w': '0.2393', 'd': '0.2859', 'l': '0.4748'}",2016,EPL
470,True,"{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'h': '2', 'a': '1'}","{'h': '1.4603', 'a': '0.445604'}",2016-08-15 23:00:00,"{'w': '0.6858', 'd': '0.2362', 'l': '0.078'}",2016,EPL
471,True,"{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'h': '2', 'a': '0'}","{'h': '1.36553', 'a': '0.613233'}",2016-08-19 23:00:00,"{'w': '0.6019', 'd': '0.2712', 'l': '0.1269'}",2016,EPL
472,True,"{'id': '85', 'title': 'Stoke', 'short_title': 'STO'}","{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'h': '1', 'a': '4'}","{'h': '1.31066', 'a': '2.17198'}",2016-08-20 15:30:00,"{'w': '0.1427', 'd': '0.2554', 'l': '0.6019'}",2016,EPL
473,True,"{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}","{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'h': '2', 'a': '0'}","{'h': '0.197536', 'a': '0.939025'}",2016-08-20 18:00:00,"{'w': '0.0721', 'd': '0.373', 'l': '0.5549'}",2016,EPL
474,True,"{'id': '84', 'title': 'Swansea', 'short_title': 'SWA'}","{'id': '91', 'title': 'Hull', 'short_title': 'HUL'}","{'h': '0', 'a': '2'}","{'h': '1.14134', 'a': '2.18655'}",2016-08-20 18:00:00,"{'w': '0.135', 'd': '0.2041', 'l': '0.6609'}",2016,EPL
475,True,"{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'h': '1', 'a': '0'}","{'h': '2.25623', 'a': '0.357943'}",2016-08-20 18:00:00,"{'w': '0.8706', 'd': '0.1053', 'l': '0.0241'}",2016,EPL
476,True,"{'id': '90', 'title': 'Watford', 'short_title': 'WAT'}","{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'h': '1', 'a': '2'}","{'h': '0.804549', 'a': '1.75595'}",2016-08-20 18:00:00,"{'w': '0.1078', 'd': '0.2467', 'l': '0.6455'}",2016,EPL
477,True,"{'id': '76', 'title': 'West Bromwich Albion', 'short_title': 'WBA'}","{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'h': '1', 'a': '2'}","{'h': '2.01885', 'a': '1.83897'}",2016-08-20 18:00:00,"{'w': '0.3984', 'd': '0.2562', 'l': '0.3454'}",2016,EPL
478,True,"{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'h': '0', 'a': '0'}","{'h': '0.553693', 'a': '0.521509'}",2016-08-20 20:30:00,"{'w': '0.2918', 'd': '0.4486', 'l': '0.2596'}",2016,EPL
479,True,"{'id': '77', 'title': 'Sunderland', 'short_title': 'SUN'}","{'id': '93', 'title': 'Middlesbrough', 'short_title': 'MID'}","{'h': '1', 'a': '2'}","{'h': '1.4645', 'a': '0.854908'}",2016-08-21 16:30:00,"{'w': '0.5193', 'd': '0.2957', 'l': '0.185'}",2016,EPL
480,True,"{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'h': '1', 'a': '0'}","{'h': '1.69288', 'a': '0.39341'}",2016-08-21 19:00:00,"{'w': '0.7472', 'd': '0.1962', 'l': '0.0566'}",2016,EPL
