id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
468,True,h,"{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'h': '1', 'a': '3'}","{'h': '0.522847', 'a': '1.91105'}",2016-08-14 16:30:00,"{'w': 0.09245335162886854, 'd': 0.199793493510435, 'l': 0.7077531527354537}",l,Bournemouth,2016,EPL
480,True,a,"{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'h': '1', 'a': '0'}","{'h': '1.69288', 'a': '0.39341'}",2016-08-21 19:00:00,"{'w': 0.6977671448837254, 'd': 0.22165678594943158, 'l': 0.0805760687442676}",l,Bournemouth,2016,EPL
486,True,a,"{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'h': '1', 'a': '1'}","{'h': '2.659', 'a': '0.974014'}",2016-08-27 18:00:00,"{'w': 0.7316593886652405, 'd': 0.1542874069073867, 'l': 0.11405305395714374}",d,Bournemouth,2016,EPL
495,True,h,"{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'id': '76', 'title': 'West Bromwich Albion', 'short_title': 'WBA'}","{'h': '1', 'a': '0'}","{'h': '0.986511', 'a': '1.48347'}",2016-09-10 18:00:00,"{'w': 0.2513543330437596, 'd': 0.26174446285235686, 'l': 0.4869012040327735}",w,Bournemouth,2016,EPL
504,True,a,"{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'h': '4', 'a': '0'}","{'h': '3.38733', 'a': '0.389672'}",2016-09-17 18:00:00,"{'w': 0.9160939704851033, 'd': 0.06466659147725624, 'l': 0.01923654169349987}",l,Bournemouth,2016,EPL
517,True,h,"{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'h': '1', 'a': '0'}","{'h': '0.693594', 'a': '1.15724'}",2016-09-24 18:00:00,"{'w': 0.220610693245061, 'd': 0.31088574839305083, 'l': 0.4685035583595706}",w,Bournemouth,2016,EPL
525,True,a,"{'id': '90', 'title': 'Watford', 'short_title': 'WAT'}","{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'h': '2', 'a': '2'}","{'h': '1.23419', 'a': '1.35487'}",2016-10-01 18:00:00,"{'w': 0.33969774183546997, 'd': 0.26398894069939416, 'l': 0.39631331743897397}",d,Bournemouth,2016,EPL
533,True,h,"{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'id': '91', 'title': 'Hull', 'short_title': 'HUL'}","{'h': '6', 'a': '1'}","{'h': '2.92532', 'a': '0.388589'}",2016-10-15 18:00:00,"{'w': 0.8806281226397308, 'd': 0.09106643697180955, 'l': 0.028304948204727266}",w,Bournemouth,2016,EPL
541,True,h,"{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'h': '0', 'a': '0'}","{'h': '0.523371', 'a': '0.74529'}",2016-10-22 15:30:00,"{'w': 0.23003768695756327, 'd': 0.402068216197414, 'l': 0.36789409684501806}",d,Bournemouth,2016,EPL
2681,True,a,"{'id': '93', 'title': 'Middlesbrough', 'short_title': 'MID'}","{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'h': '2', 'a': '0'}","{'h': '1.44317', 'a': '1.54599'}",2016-10-29 18:00:00,"{'w': 0.35578409935901417, 'd': 0.2431541897880827, 'l': 0.4010617106800531}",l,Bournemouth,2016,EPL
2687,True,h,"{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'id': '77', 'title': 'Sunderland', 'short_title': 'SUN'}","{'h': '1', 'a': '2'}","{'h': '2.6457', 'a': '1.13672'}",2016-11-05 19:00:00,"{'w': 0.6953736265158941, 'd': 0.1635794052371209, 'l': 0.1410468269463589}",l,Bournemouth,2016,EPL
2699,True,a,"{'id': '85', 'title': 'Stoke', 'short_title': 'STO'}","{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'h': '0', 'a': '1'}","{'h': '1.60429', 'a': '1.24012'}",2016-11-19 19:00:00,"{'w': 0.45862495291361755, 'd': 0.24589515918787017, 'l': 0.29547988768754146}",w,Bournemouth,2016,EPL
2714,True,a,"{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'h': '3', 'a': '1'}","{'h': '2.8697', 'a': '2.0491'}",2016-11-27 18:15:00,"{'w': 0.5540119346842227, 'd': 0.17412579893478028, 'l': 0.2718618725159355}",l,Bournemouth,2016,EPL
3112,True,h,"{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'h': '4', 'a': '3'}","{'h': '2.54396', 'a': '1.26532'}",2016-12-04 17:30:00,"{'w': 0.6509979369256065, 'd': 0.17617023442233506, 'l': 0.1728317424144905}",w,Bournemouth,2016,EPL
