id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,team,season,league
606,Christian Benteke,36,3153,15,17.355868473649025,2,2.0585755221545696,105,32,10,0,F,Crystal Palace,13,14.311190653592348,13.202918304130435,4.11089089140296,Crystal Palace,2016,EPL
522,Wilfried Zaha,35,3033,7,5.570255206897855,9,4.54127549380064,49,38,8,0,F M S,Crystal Palace,7,5.570255206897855,12.498163945041597,3.0121044302359223,Crystal Palace,2016,EPL
633,James McArthur,29,2034,5,1.6981026465073228,3,2.3486888743937016,23,16,5,0,M S,Crystal Palace,5,1.6981026465073228,5.477223176509142,2.691358333453536,Crystal Palace,2016,EPL
516,Yohan Cabaye,32,2138,4,3.425436284393072,3,2.888524482026696,40,34,7,0,M S,Crystal Palace,4,2.6642672680318356,6.46074209548533,3.456773331388831,Crystal Palace,2016,EPL
512,Scott Dann,23,1746,3,1.3930323915556073,1,0.915567122399807,21,6,2,0,D S,Crystal Palace,3,1.3930323915556073,2.083009421825409,2.0511964187026024,Crystal Palace,2016,EPL
530,James Tomkins,24,1984,3,4.003372926265001,0,0.10124170035123825,14,2,4,0,D S,Crystal Palace,3,4.003372926265001,2.6131718987599015,2.555121699348092,Crystal Palace,2016,EPL
775,Andros Townsend,36,2542,3,3.331525790505111,4,5.83449300378561,56,51,4,0,F M S,Crystal Palace,3,3.331525790505111,9.206503234803677,2.9004562785848975,Crystal Palace,2016,EPL
519,Connor Wickham,8,406,2,1.089648500084877,0,0,10,0,1,0,F M S,Crystal Palace,2,1.089648500084877,1.2747620977461338,0.3482366017997265,Crystal Palace,2016,EPL
730,Patrick van Aanholt,11,712,2,0.9402940068393946,0,0.39817339554429054,10,7,1,0,D F S,Crystal Palace,2,0.9402940068393946,1.802566623315215,0.8191652093082666,Crystal Palace,2016,EPL
5549,Luka Milivojevic,14,1230,2,1.9874194264411926,0,0.6430021040141582,14,5,4,0,M,Crystal Palace,0,0.46508159674704075,2.551720794290304,1.9109944943338633,Crystal Palace,2016,EPL
517,Joe Ledley,18,1169,1,0.133109200745821,0,0.14763289596885443,3,6,1,0,M S,Crystal Palace,1,0.133109200745821,1.9581161011010408,1.718156697228551,Crystal Palace,2016,EPL
634,Fraizer Campbell,12,125,1,0.4415289834141731,0,0.05113080143928528,4,1,0,0,S,Crystal Palace,1,0.4415289834141731,0.5101623870432377,0.1331046037375927,Crystal Palace,2016,EPL
485,Mamadou Sakho,8,688,0,0.13585809990763664,0,0.27378640696406364,2,4,0,0,D,Crystal Palace,0,0.13585809990763664,1.6154647087678313,1.5743994070217013,Crystal Palace,2016,EPL
509,Wayne Hennessey,29,2610,0,0,0,0.0900442972779274,0,3,1,0,GK,Crystal Palace,0,0,1.6218599863350391,1.5807639881968498,Crystal Palace,2016,EPL
510,Joel Ward,38,3420,0,0.9386279787868261,1,0.8645517863333225,14,11,7,0,D M,Crystal Palace,0,0.9386279787868261,4.739611620083451,3.5180703196674585,Crystal Palace,2016,EPL
511,Damien Delaney,30,1999,0,0.21442625764757395,2,1.6946072950959206,5,6,8,0,D S,Crystal Palace,0,0.21442625764757395,1.6368580721318722,1.1091085858643055,Crystal Palace,2016,EPL
513,Pape Souaré,3,270,0,0.018196599557995796,0,0.14993800222873688,2,2,0,0,D,Crystal Palace,0,0.018196599557995796,0.3327016048133373,0.17560959979891777,Crystal Palace,2016,EPL
