id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,team,season,league
1691,Robert Snodgrass,20,1716,7,3.557406621053815,3,2.8229029159992933,39,45,2,0,F M S,Hull,5,2.0350685957819223,3.8668195586651564,2.5384264402091503,Hull,2016,EPL
599,Oumar Niasse,17,1083,4,3.604678697884083,1,0.807890597730875,26,10,3,1,F S,Hull,4,3.604678697884083,4.442887634038925,0.24271529726684093,Hull,2016,EPL
1698,Abel Hernández,24,1439,4,4.70654087793082,3,1.0438039964064956,39,13,0,0,F S,Hull,4,4.70654087793082,7.33278732188046,2.2358110826462507,Hull,2016,EPL
1690,Sam Clucas,37,3195,3,2.7785697178915143,1,1.5413982747122645,42,15,9,1,D M S,Hull,3,2.7785697178915143,7.731717757880688,4.405732207000256,Hull,2016,EPL
1744,Michael Dawson,22,1718,3,0.6878849286586046,0,0.2418445022776723,12,4,4,0,D S,Hull,3,0.6878849286586046,1.7646634876728058,1.6883539892733097,Hull,2016,EPL
1522,Andrea Ranocchia,16,1330,2,0.8233591802418232,2,0.5870831049978733,8,3,2,0,D S,Hull,2,0.8233591802418232,2.503325518220663,1.8369258865714073,Hull,2016,EPL
1687,Harry Maguire,29,2311,2,1.9734392035752535,2,0.8420128859579563,34,11,5,0,D S,Hull,2,1.9734392035752535,5.049389252439141,4.071343515999615,Hull,2016,EPL
1694,Adama Diomande,22,1149,2,2.5380394235253334,0,0.6628724932670593,23,13,1,0,D F M S,Hull,2,2.5380394235253334,3.5595774427056313,0.947289802134037,Hull,2016,EPL
4406,Lazar Markovic,12,1024,2,2.2206648513674736,0,0.445965301245451,12,8,4,0,M,Hull,2,2.2206648513674736,3.597358813509345,1.0627347063273191,Hull,2016,EPL
649,Ryan Mason,16,931,1,0.6050022980198264,0,0.3290861062705517,17,8,4,0,M S,Hull,1,0.6050022980198264,1.4432523986324668,0.7781335031613708,Hull,2016,EPL
1688,Andrew Robertson,33,2741,1,0.24547370243817568,2,1.393277415074408,7,19,5,0,D M S,Hull,1,0.24547370243817568,5.089046764187515,3.7431514635682106,Hull,2016,EPL
1689,Jake Livermore,21,1679,1,1.0678158951923251,1,0.7396699897944927,21,9,3,1,D M S,Hull,1,1.0678158951923251,3.4067531153559685,2.0575918946415186,Hull,2016,EPL
1692,Shaun Maloney,9,269,1,1.0631715841591358,2,0.6026207804679871,3,4,0,0,M S,Hull,1,1.0631715841591358,0.9583795014768839,0.4692807160317898,Hull,2016,EPL
1693,David Meyler,20,943,1,0.5081378016620874,0,0.5061498871073127,8,6,2,0,D M S,Hull,1,0.5081378016620874,1.6613527089357376,1.3635290022939444,Hull,2016,EPL
1695,Tom Huddlestone,31,2025,1,1.2344687096774578,0,1.0967805199325085,21,19,5,1,M S,Hull,0,0.47329969331622124,7.109625894576311,6.004909521900117,Hull,2016,EPL
2144,Alfred N&#039;Diaye,15,1286,1,1.190684880129993,0,0.13919119723141193,10,4,7,0,M,Hull,1,1.190684880129993,1.7029674910008907,1.085763880982995,Hull,2016,EPL
795,Dieumerci Mbokani,12,765,0,1.549893588759005,1,0.4510626122355461,14,8,0,0,F S,Hull,0,1.549893588759005,1.6962678991258144,0.37895250506699085,Hull,2016,EPL
1047,Will Keane,5,282,0,0.23658719658851624,0,0.1365969032049179,4,3,0,0,F S,Hull,0,0.23658719658851624,0.35174690932035446,0.07953940331935883,Hull,2016,EPL
1684,David Marshall,16,1440,0,0,0,0,0,0,0,0,GK,Hull,0,0,0.5114615065976977,0.5114615065976977,Hull,2016,EPL
1685,Ahmed Elmohamady,33,2509,0,0.21881670132279396,2,1.8537243753671646,9,26,3,1,D M S,Hull,0,0.21881670132279396,4.169781172648072,3.26802646741271,Hull,2016,EPL
1686,Curtis Davies,26,2153,0,0.7267857976257801,2,1.024655893445015,10,2,4,0,D S,Hull,0,0.7267857976257801,1.030676201917231,1.030676201917231,Hull,2016,EPL
1696,Markus Henriksen,15,623,0,0.12548080272972584,0,0.19587800465524197,3,3,1,0,M S,Hull,0,0.12548080272972584,0.5049767065793276,0.2456665951758623,Hull,2016,EPL
1697,Eldin Jakupovic,22,1980,0,0,0,0,0,0,0,0,GK,Hull,0,0,0.6517614088952541,0.6517614088952541,Hull,2016,EPL
1745,Josh Tymon,5,331,0,0,0,0.01258660014718771,0,1,1,0,D M S,Hull,0,0,0.7757121920585632,0.76312549225986,Hull,2016,EPL
1776,Jarrod Bowen,7,168,0,0.3194136917591095,0,0,3,0,0,0,M S,Hull,0,0.3194136917591095,0.4158182144165039,0.0964042991399765,Hull,2016,EPL
3231,Kamil Grosicki,15,1145,0,2.034929482266307,3,3.488165456801653,29,23,1,0,M S,Hull,0,2.034929482266307,4.8490224331617355,0.5821810998022556,Hull,2016,EPL
5550,Evandro,11,581,0,0.12123199831694365,0,0.7039093896746635,3,11,1,0,M S,Hull,0,0.12123199831694365,0.6327421013265848,0.35897520184516907,Hull,2016,EPL
5551,Omar Elabdellaoui,8,616,0,0,0,0.11205460131168365,0,4,0,0,D M S,Hull,0,0,0.9814699999988079,0.9345790017396212,Hull,2016,EPL
