id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
465,True,h,"{'id': '93', 'title': 'Middlesbrough', 'short_title': 'MID'}","{'id': '85', 'title': 'Stoke', 'short_title': 'STO'}","{'h': '1', 'a': '1'}","{'h': '1.80523', 'a': '0.485626'}",2016-08-13 18:00:00,"{'w': 0.6960941217576186, 'd': 0.21132218799249605, 'l': 0.09258368925200708}",d,Middlesbrough,2016,EPL
479,True,a,"{'id': '77', 'title': 'Sunderland', 'short_title': 'SUN'}","{'id': '93', 'title': 'Middlesbrough', 'short_title': 'MID'}","{'h': '1', 'a': '2'}","{'h': '1.4645', 'a': '0.854908'}",2016-08-21 16:30:00,"{'w': 0.5146392070279076, 'd': 0.26578096167611615, 'l': 0.21957983123647992}",w,Middlesbrough,2016,EPL
489,True,a,"{'id': '76', 'title': 'West Bromwich Albion', 'short_title': 'WBA'}","{'id': '93', 'title': 'Middlesbrough', 'short_title': 'MID'}","{'h': '0', 'a': '0'}","{'h': '0.696845', 'a': '0.396816'}",2016-08-28 16:30:00,"{'w': 0.3805802763342157, 'd': 0.4342221623848014, 'l': 0.18519756128098133}",d,Middlesbrough,2016,EPL
492,True,h,"{'id': '93', 'title': 'Middlesbrough', 'short_title': 'MID'}","{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'h': '1', 'a': '2'}","{'h': '0.611959', 'a': '1.12437'}",2016-09-10 18:00:00,"{'w': 0.19993995865472142, 'd': 0.31989559550594115, 'l': 0.4801644458377873}",l,Middlesbrough,2016,EPL
506,True,a,"{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'id': '93', 'title': 'Middlesbrough', 'short_title': 'MID'}","{'h': '3', 'a': '1'}","{'h': '1.17467', 'a': '0.178081'}",2016-09-17 20:30:00,"{'w': 0.6288106090767249, 'd': 0.31550346179543537, 'l': 0.05568592912498866}",l,Middlesbrough,2016,EPL
512,True,h,"{'id': '93', 'title': 'Middlesbrough', 'short_title': 'MID'}","{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'h': '1', 'a': '2'}","{'h': '0.361508', 'a': '1.4158'}",2016-09-24 18:00:00,"{'w': 0.09287781140794282, 'd': 0.2673626227955093, 'l': 0.6397595657590799}",l,Middlesbrough,2016,EPL
526,True,a,"{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'id': '93', 'title': 'Middlesbrough', 'short_title': 'MID'}","{'h': '1', 'a': '1'}","{'h': '0.883385', 'a': '0.852603'}",2016-10-01 18:00:00,"{'w': 0.3404635417557719, 'd': 0.33614046503709366, 'l': 0.32339599320705087}",d,Middlesbrough,2016,EPL
538,True,h,"{'id': '93', 'title': 'Middlesbrough', 'short_title': 'MID'}","{'id': '90', 'title': 'Watford', 'short_title': 'WAT'}","{'h': '0', 'a': '1'}","{'h': '0.528576', 'a': '0.0893749'}",2016-10-16 16:30:00,"{'w': 0.383606673592728, 'd': 0.5648155990371213, 'l': 0.0515777273701507}",l,Middlesbrough,2016,EPL
547,True,a,"{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'id': '93', 'title': 'Middlesbrough', 'short_title': 'MID'}","{'h': '0', 'a': '0'}","{'h': '0.711811', 'a': '1.55581'}",2016-10-22 18:00:00,"{'w': 0.16990577178268165, 'd': 0.2541846025212458, 'l': 0.5759096255607673}",d,Middlesbrough,2016,EPL
2681,True,h,"{'id': '93', 'title': 'Middlesbrough', 'short_title': 'MID'}","{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'h': '2', 'a': '0'}","{'h': '1.44317', 'a': '1.54599'}",2016-10-29 18:00:00,"{'w': 0.35578409935901417, 'd': 0.2431541897880827, 'l': 0.4010617106800531}",w,Middlesbrough,2016,EPL
2689,True,a,"{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'id': '93', 'title': 'Middlesbrough', 'short_title': 'MID'}","{'h': '1', 'a': '1'}","{'h': '2.49606', 'a': '0.208762'}",2016-11-05 19:00:00,"{'w': 0.8736754887884107, 'd': 0.10654507036115081, 'l': 0.01977937306685509}",d,Middlesbrough,2016,EPL
2705,True,h,"{'id': '93', 'title': 'Middlesbrough', 'short_title': 'MID'}","{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'h': '0', 'a': '1'}","{'h': '0.55976', 'a': '1.68738'}",2016-11-20 20:00:00,"{'w': 0.11877603329016974, 'd': 0.23173942435412156, 'l': 0.6494845419511983}",l,Middlesbrough,2016,EPL
2711,True,a,"{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'id': '93', 'title': 'Middlesbrough', 'short_title': 'MID'}","{'h': '2', 'a': '2'}","{'h': '2.0478', 'a': '0.425252'}",2016-11-26 19:00:00,"{'w': 0.7591246440742679, 'd': 0.17538316397780995, 'l': 0.06549218667063526}",d,Middlesbrough,2016,EPL
3114,True,h,"{'id': '93', 'title': 'Middlesbrough', 'short_title': 'MID'}","{'id': '91', 'title': 'Hull', 'short_title': 'HUL'}","{'h': '1', 'a': '0'}","{'h': '1.94961', 'a': '0.221339'}",2016-12-06 00:00:00,"{'w': 0.7965725094803018, 'd': 0.16886495908943366, 'l': 0.03456252866353235}",w,Middlesbrough,2016,EPL
3123,True,a,"{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'id': '93', 'title': 'Middlesbrough', 'short_title': 'MID'}","{'h': '1', 'a': '0'}","{'h': '1.72919', 'a': '0.493941'}",2016-12-11 18:15:00,"{'w': 0.6772970227254328, 'd': 0.22246818632172174, 'l': 0.1002347903911896}",l,Middlesbrough,2016,EPL
3127,True,h,"{'id': '93', 'title': 'Middlesbrough', 'short_title': 'MID'}","{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'h': '0', 'a': '3'}","{'h': '0.161583', 'a': '2.13526'}",2016-12-14 23:45:00,"{'w': 0.02077164165547744, 'd': 0.13838710746299546, 'l': 0.8408412417707797}",l,Middlesbrough,2016,EPL
3136,True,h,"{'id': '93', 'title': 'Middlesbrough', 'short_title': 'MID'}","{'id': '84', 'title': 'Swansea', 'short_title': 'SWA'}","{'h': '3', 'a': '0'}","{'h': '1.71549', 'a': '0.602249'}",2016-12-17 19:00:00,"{'w': 0.6442955502806452, 'd': 0.22976152089390584, 'l': 0.12594292832056428}",w,Middlesbrough,2016,EPL
3150,True,a,"{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}","{'id': '93', 'title': 'Middlesbrough', 'short_title': 'MID'}","{'h': '1', 'a': '0'}","{'h': '0.275704', 'a': '0.698814'}",2016-12-26 19:00:00,"{'w': 0.13116231271548928, 'd': 0.45365923538826136, 'l': 0.41517845189624775}",l,Middlesbrough,2016,EPL
3159,True,a,"{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'id': '93', 'title': 'Middlesbrough', 'short_title': 'MID'}","{'h': '2', 'a': '1'}","{'h': '2.53996', 'a': '0.64492'}",2016-12-31 15:00:00,"{'w': 0.7844707735818167, 'd': 0.14253793617227872, 'l': 0.07299120571480329}",l,Middlesbrough,2016,EPL
3330,True,h,"{'id': '93', 'title': 'Middlesbrough', 'short_title': 'MID'}","{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'h': '0', 'a': '0'}","{'h': '0.697108', 'a': '0.477078'}",2017-01-02 16:30:00,"{'w': 0.35980687102411923, 'd': 0.4207282622543216, 'l': 0.2194648667215577}",d,Middlesbrough,2016,EPL
3341,True,a,"{'id': '90', 'title': 'Watford', 'short_title': 'WAT'}","{'id': '93', 'title': 'Middlesbrough', 'short_title': 'MID'}","{'h': '0', 'a': '0'}","{'h': '0.835827', 'a': '0.325347'}",2017-01-14 19:00:00,"{'w': 0.4591884647171975, 'd': 0.40423235920790296, 'l': 0.13657917607487555}",d,Middlesbrough,2016,EPL
3351,True,h,"{'id': '93', 'title': 'Middlesbrough', 'short_title': 'MID'}","{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'h': '1', 'a': '3'}","{'h': '0.958825', 'a': '2.6558'}",2017-01-21 18:00:00,"{'w': 0.11195907071924019, 'd': 0.15367806322528946, 'l': 0.7343627178397685}",l,Middlesbrough,2016,EPL
3363,True,h,"{'id': '93', 'title': 'Middlesbrough', 'short_title': 'MID'}","{'id': '76', 'title': 'West Bromwich Albion', 'short_title': 'WBA'}","{'h': '1', 'a': '1'}","{'h': '1.18135', 'a': '1.25288'}",2017-01-31 22:45:00,"{'w': 0.34570957677798414, 'd': 0.27410006556415095, 'l': 0.38019035764780906}",d,Middlesbrough,2016,EPL
