id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,team,season,league
1715,Álvaro Negredo,36,2891,9,8.803118763957173,4,4.10040766838938,69,26,5,0,F S,Middlesbrough,7,7.28078123787418,11.963996449951082,2.7907413113862276,Middlesbrough,2016,EPL
1709,Cristhian Stuani,23,1369,4,2.8069687839597464,0,0.5279853157699108,21,7,4,0,F M S,Middlesbrough,4,2.8069687839597464,3.4125292748212814,0.5970664005726576,Middlesbrough,2016,EPL
1710,Marten de Roon,33,2779,4,2.8140534479171038,0,0.7112408000975847,29,11,8,0,M S,Middlesbrough,4,2.8140534479171038,6.81645785830915,5.116796193644404,Middlesbrough,2016,EPL
952,Gastón Ramírez,24,1561,2,3.113752471283078,3,3.0068857222795486,32,31,8,1,F M S,Middlesbrough,2,3.113752471283078,7.360805071890354,3.585045713931322,Middlesbrough,2016,EPL
508,Calum Chambers,24,2160,1,0.7083904268220067,1,0.6078136097639799,6,6,4,0,D,Middlesbrough,1,0.7083904268220067,3.522163027897477,3.043673548847437,Middlesbrough,2016,EPL
671,Rudy Gestede,16,514,1,1.292148396372795,0,0.7781423926353455,15,11,3,0,F S,Middlesbrough,1,1.292148396372795,2.2981619797647,0.29985570907592773,Middlesbrough,2016,EPL
822,Patrick Bamford,8,268,1,1.1101989895105362,0,0.08816120028495789,6,1,1,0,F S,Middlesbrough,1,1.1101989895105362,1.3680599927902222,0.7465719953179359,Middlesbrough,2016,EPL
1707,Ben Gibson,38,3420,1,0.8124675033614039,1,0.5862094834446907,15,3,4,0,D,Middlesbrough,1,0.8124675033614039,5.14988929592073,5.046647695824504,Middlesbrough,2016,EPL
1712,Stewart Downing,30,2214,1,2.140358505770564,3,2.293597299605608,29,29,1,0,D F M S,Middlesbrough,1,2.140358505770564,6.375499794259667,3.31012132903561,Middlesbrough,2016,EPL
1718,Daniel Ayala,14,913,1,1.2105267867445946,0,0,10,0,3,0,D S,Middlesbrough,1,1.2105267867445946,1.1888520075008273,1.1888520075008273,Middlesbrough,2016,EPL
5542,Grant Leadbitter,13,707,1,0.7558514047414064,0,0.2924201972782612,13,8,1,0,M S,Middlesbrough,1,0.7558514047414064,1.6179066002368927,0.8440810963511467,Middlesbrough,2016,EPL
583,Adlène Guédioura,5,125,0,0.1566690020263195,0,0.0815906971693039,6,1,0,0,S,Middlesbrough,0,0.1566690020263195,0.18973480351269245,0.0330657996237278,Middlesbrough,2016,EPL
662,Brad Guzan,10,900,0,0,0,0,0,0,0,0,GK,Middlesbrough,0,0,0.5046872161328793,0.5046872161328793,Middlesbrough,2016,EPL
900,Adama Traoré,27,1530,0,0.9504906889051199,1,1.4442803133279085,11,18,1,0,F M S,Middlesbrough,0,0.9504906889051199,3.7237889785319567,1.45962736569345,Middlesbrough,2016,EPL
1705,Víctor Valdés,28,2520,0,0,0,0,0,0,1,0,GK,Middlesbrough,0,0,2.2342843674123287,2.2342843674123287,Middlesbrough,2016,EPL
1706,Antonio Barragán,26,2195,0,0.08475709985941648,0,0.7534768879413605,3,9,5,0,D,Middlesbrough,0,0.08475709985941648,6.089803343638778,5.331347960978746,Middlesbrough,2016,EPL
1708,George Friend,24,1956,0,0.6226175986230373,2,1.149581279605627,15,11,4,0,D M S,Middlesbrough,0,0.6226175986230373,5.089261857792735,4.462229263037443,Middlesbrough,2016,EPL
1711,Adam Forshaw,34,2711,0,1.3408304303884506,1,2.229192676022649,28,28,4,0,M S,Middlesbrough,0,1.3408304303884506,7.789724363014102,5.232129832729697,Middlesbrough,2016,EPL
1713,Viktor Fischer,13,434,0,0.8227257113903761,3,1.5478860139846802,12,7,0,0,F M S,Middlesbrough,0,0.8227257113903761,1.8076523281633854,0.5335184875875711,Middlesbrough,2016,EPL
1714,Jordan Rhodes,6,207,0,0.6461863033473492,0,0.08885530009865761,6,2,0,0,F S,Middlesbrough,0,0.6461863033473492,0.7350423075258732,0.03951200097799301,Middlesbrough,2016,EPL
1716,Bernardo,11,978,0,0.022247749380767345,0,0,2,0,2,0,D S,Middlesbrough,0,0.022247749380767345,1.66798129491508,1.6542290952056646,Middlesbrough,2016,EPL
1717,Adam Clayton,34,2807,0,0.31516999937593937,2,1.287519589997828,11,20,10,0,M S,Middlesbrough,0,0.31516999937593937,5.896789850201458,4.714818635489792,Middlesbrough,2016,EPL
1752,Fabio,24,1856,0,0.14708230085670948,0,0.7305000070482492,5,16,8,0,D M S,Middlesbrough,0,0.14708230085670948,3.58852565754205,3.0109126269817352,Middlesbrough,2016,EPL
1753,David Nugent,4,36,0,0,0,0,0,0,0,0,S,Middlesbrough,0,0,0.08954309672117233,0.08954309672117233,Middlesbrough,2016,EPL
1757,Nsue,4,326,0,0.12293840199708939,0,0.06786009855568409,2,2,0,0,D M,Middlesbrough,0,0.12293840199708939,1.4043254982680082,1.305257998406887,Middlesbrough,2016,EPL
1782,Albert Adomah,2,119,0,0.38410771265625954,0,0.08954309672117233,4,1,0,0,M S,Middlesbrough,0,0.38410771265625954,1.3733236826956272,0.9232079982757568,Middlesbrough,2016,EPL
5576,James Husband,1,62,0,0,0,0,0,0,0,0,D,Middlesbrough,0,0,0.15693399310112,0.15693399310112,Middlesbrough,2016,EPL
