id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
465,True,a,"{'id': '93', 'title': 'Middlesbrough', 'short_title': 'MID'}","{'id': '85', 'title': 'Stoke', 'short_title': 'STO'}","{'h': '1', 'a': '1'}","{'h': '1.80523', 'a': '0.485626'}",2016-08-13 18:00:00,"{'w': 0.6960941217576186, 'd': 0.21132218799249605, 'l': 0.09258368925200708}",d,Stoke,2016,EPL
472,True,h,"{'id': '85', 'title': 'Stoke', 'short_title': 'STO'}","{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'h': '1', 'a': '4'}","{'h': '1.31066', 'a': '2.17198'}",2016-08-20 15:30:00,"{'w': 0.22546068547460188, 'd': 0.20407093390321704, 'l': 0.5704683692378633}",l,Stoke,2016,EPL
487,True,a,"{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'id': '85', 'title': 'Stoke', 'short_title': 'STO'}","{'h': '1', 'a': '0'}","{'h': '2.31835', 'a': '0.187415'}",2016-08-27 18:00:00,"{'w': 0.8582586154507457, 'd': 0.12111644492224087, 'l': 0.020624913226315586}",l,Stoke,2016,EPL
493,True,h,"{'id': '85', 'title': 'Stoke', 'short_title': 'STO'}","{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'h': '0', 'a': '4'}","{'h': '1.01771', 'a': '2.77025'}",2016-09-10 18:00:00,"{'w': 0.1122111544839805, 'd': 0.14834878798375206, 'l': 0.739439806526456}",l,Stoke,2016,EPL
508,True,a,"{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'id': '85', 'title': 'Stoke', 'short_title': 'STO'}","{'h': '4', 'a': '1'}","{'h': '1.31366', 'a': '1.20308'}",2016-09-18 17:15:00,"{'w': 0.39201808520745324, 'd': 0.26848949009183976, 'l': 0.3394924246833291}",l,Stoke,2016,EPL
513,True,h,"{'id': '85', 'title': 'Stoke', 'short_title': 'STO'}","{'id': '76', 'title': 'West Bromwich Albion', 'short_title': 'WBA'}","{'h': '1', 'a': '1'}","{'h': '0.979673', 'a': '0.270862'}",2016-09-24 18:00:00,"{'w': 0.5316042841898809, 'd': 0.36752861236373013, 'l': 0.1008671034461638}",d,Stoke,2016,EPL
527,True,a,"{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'id': '85', 'title': 'Stoke', 'short_title': 'STO'}","{'h': '1', 'a': '1'}","{'h': '2.80988', 'a': '1.20043'}",2016-10-02 15:00:00,"{'w': 0.7084181113575844, 'd': 0.15484014395680368, 'l': 0.13674144526868992}",d,Stoke,2016,EPL
535,True,h,"{'id': '85', 'title': 'Stoke', 'short_title': 'STO'}","{'id': '77', 'title': 'Sunderland', 'short_title': 'SUN'}","{'h': '2', 'a': '0'}","{'h': '2.29543', 'a': '0.587572'}",2016-10-15 18:00:00,"{'w': 0.760462993726347, 'd': 0.1610557251404777, 'l': 0.07848125789863278}",w,Stoke,2016,EPL
545,True,a,"{'id': '91', 'title': 'Hull', 'short_title': 'HUL'}","{'id': '85', 'title': 'Stoke', 'short_title': 'STO'}","{'h': '0', 'a': '2'}","{'h': '0.701606', 'a': '1.04273'}",2016-10-22 18:00:00,"{'w': 0.2421823248904509, 'd': 0.32798772049151226, 'l': 0.4298299546174947}",w,Stoke,2016,EPL
2686,True,h,"{'id': '85', 'title': 'Stoke', 'short_title': 'STO'}","{'id': '84', 'title': 'Swansea', 'short_title': 'SWA'}","{'h': '3', 'a': '1'}","{'h': '2.16407', 'a': '1.10058'}",2016-11-01 00:00:00,"{'w': 0.6159591989292641, 'd': 0.20009784578461112, 'l': 0.18394294443982875}",w,Stoke,2016,EPL
