id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,team,season,league
872,Peter Crouch,27,1319,7,5.874591821338981,2,3.2038370687514544,37,17,3,0,F S,Stoke,7,5.874591821338981,7.918542893603444,1.76161540299654,Stoke,2016,EPL
480,Joe Allen,36,2942,6,5.681928737089038,2,4.653242416679859,40,28,9,0,M S,Stoke,6,5.681928737089038,13.03703667782247,6.203425923362374,Stoke,2016,EPL
865,Marko Arnautovic,32,2742,6,9.1962870080024,5,7.129753512330353,60,50,9,1,F M,Stoke,6,8.43511831946671,17.06825363636017,4.3215431571006775,Stoke,2016,EPL
863,Jonathan Walters,23,1278,4,4.316956800408661,2,0.8909997064620256,25,12,1,0,F M S,Stoke,3,3.555787784047425,4.777144096791744,1.0050326082855463,Stoke,2016,EPL
888,Xherdan Shaqiri,21,1721,4,2.6227936781942844,2,4.274763828143477,48,41,2,0,F M,Stoke,4,2.6227936781942844,8.980961941182613,5.187847092747688,Stoke,2016,EPL
871,Bojan,9,474,3,2.816583713516593,0,0.15535229817032814,10,4,1,0,F M S,Stoke,1,0.5330776115879416,1.2773735206574202,0.6525818966329098,Stoke,2016,EPL
622,Wilfried Bony,10,702,2,2.4631300158798695,0,0.8356749005615711,21,7,1,0,F S,Stoke,2,2.4631300158798695,3.3504210747778416,0.9201749879866838,Stoke,2016,EPL
860,Marc Muniesa,10,644,1,0.2343004997819662,0,0.08589959889650345,6,4,2,0,D S,Stoke,1,0.2343004997819662,0.9746139943599701,0.7004662081599236,Stoke,2016,EPL
868,Mame Biram Diouf,27,1381,1,2.9089983757585287,2,1.3079153932631016,20,10,3,0,D F M S,Stoke,1,2.9089983757585287,4.550066946074367,1.8803899977356195,Stoke,2016,EPL
873,Charlie Adam,24,1504,1,2.73026436381042,3,2.478656131774187,40,29,7,0,M S,Stoke,0,1.9690957078710198,7.209516323171556,4.998237669467926,Stoke,2016,EPL
886,Ryan Shawcross,35,3150,1,1.2419532062485814,1,0.2228154968470335,20,5,6,0,D,Stoke,1,1.2419532062485814,3.5476493537425995,3.4264743514358997,Stoke,2016,EPL
1743,Bruno Martins Indi,35,3149,1,1.6193588357418776,0,0.12825839594006538,18,2,5,0,D,Stoke,1,1.6193588357418776,4.1969079012051225,4.108620801009238,Stoke,2016,EPL
811,Saido Berahino,13,724,0,2.089484676718712,0,0.5703176073729992,13,5,0,0,F S,Stoke,0,2.089484676718712,2.3914042934775352,0.7065926790237427,Stoke,2016,EPL
856,Jack Butland,5,450,0,0,0,0,0,0,0,0,GK,Stoke,0,0,1.2550198249518871,1.2550198249518871,Stoke,2016,EPL
857,Phil Bardsley,15,1177,0,0.2093588998541236,0,1.0495597086846828,11,9,4,1,D S,Stoke,0,0.2093588998541236,3.4351272778585553,2.362387888133526,Stoke,2016,EPL
858,Philipp Wollscheid,2,180,0,0.014228399842977524,0,0,1,0,1,0,D,Stoke,0,0.014228399842977524,0.12557999789714813,0.12557999789714813,Stoke,2016,EPL
859,Geoff Cameron,19,1626,0,1.2535540219396353,1,0.8354027923196554,11,10,1,0,D M S,Stoke,0,1.2535540219396353,6.05404089204967,4.396531563252211,Stoke,2016,EPL
861,Giannelli Imbula,12,800,0,0.3351894011721015,0,0.29054589942097664,9,5,1,0,M S,Stoke,0,0.3351894011721015,1.7243009898811579,1.2839813735336065,Stoke,2016,EPL
862,Glenn Whelan,30,2285,0,0.10786660015583038,1,1.351826086640358,6,21,5,0,M S,Stoke,0,0.10786660015583038,9.216523863375187,8.183302354067564,Stoke,2016,EPL
864,Ibrahim Afellay,12,363,0,0.6516735907644033,0,0.32635998725891113,6,1,0,0,M S,Stoke,0,0.6516735907644033,1.3029332906007767,0.9591432958841324,Stoke,2016,EPL
887,Erik Pieters,36,3151,0,0.7645714906975627,1,1.5609517879784107,9,18,4,0,D M S,Stoke,0,0.7645714906975627,9.09391677705571,7.22167808143422,Stoke,2016,EPL
889,Shay Given,5,450,0,0,0,0,0,0,1,0,GK,Stoke,0,0,0.33202291280031204,0.33202291280031204,Stoke,2016,EPL
944,Glen Johnson,23,1952,0,0.45994141045957804,0,1.4694390036165714,8,11,1,0,D M S,Stoke,0,0.45994141045957804,6.955055627971888,5.458870630711317,Stoke,2016,EPL
1742,Lee Grant,28,2520,0,0,0,0,0,0,1,0,GK,Stoke,0,0,3.7630604319274426,3.7630604319274426,Stoke,2016,EPL
1764,Ramadan Sobhi,17,840,0,0.5948705971240997,1,1.4871754087507725,4,9,2,0,M S,Stoke,0,0.5948705971240997,3.717141054570675,2.2913616001605988,Stoke,2016,EPL
1777,Julien Ngoy,5,39,0,0.12737710028886795,0,0.09213949739933014,2,1,0,0,S,Stoke,0,0.12737710028886795,0.2195165976881981,0,Stoke,2016,EPL
