id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
7122,True,a,"{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'id': '84', 'title': 'Swansea', 'short_title': 'SWA'}","{'h': '0', 'a': '0'}","{'h': '2.21748', 'a': '0.406196'}",2017-08-12 15:00:00,"{'w': 0.7918644836426714, 'd': 0.15414170852360465, 'l': 0.05399379295686506}",d,Swansea,2017,EPL
7129,True,h,"{'id': '84', 'title': 'Swansea', 'short_title': 'SWA'}","{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'h': '0', 'a': '4'}","{'h': '0.304164', 'a': '3.41021'}",2017-08-19 12:30:00,"{'w': 0.013712113130623583, 'd': 0.05701127560046231, 'l': 0.9292734741748525}",l,Swansea,2017,EPL
7141,True,a,"{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'id': '84', 'title': 'Swansea', 'short_title': 'SWA'}","{'h': '0', 'a': '2'}","{'h': '0.818951', 'a': '0.966783'}",2017-08-26 15:00:00,"{'w': 0.2949471934450939, 'd': 0.3291364110153894, 'l': 0.3759163955393126}",w,Swansea,2017,EPL
7157,True,h,"{'id': '84', 'title': 'Swansea', 'short_title': 'SWA'}","{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'h': '0', 'a': '1'}","{'h': '1.48574', 'a': '1.03177'}",2017-09-10 16:00:00,"{'w': 0.4766085760110857, 'd': 0.26058758880091687, 'l': 0.2628038351151786}",l,Swansea,2017,EPL
7166,True,a,"{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'id': '84', 'title': 'Swansea', 'short_title': 'SWA'}","{'h': '0', 'a': '0'}","{'h': '1.17894', 'a': '0.154074'}",2017-09-16 17:30:00,"{'w': 0.6382751241924833, 'd': 0.3137968690303755, 'l': 0.047928006774142405}",d,Swansea,2017,EPL
7171,True,h,"{'id': '84', 'title': 'Swansea', 'short_title': 'SWA'}","{'id': '90', 'title': 'Watford', 'short_title': 'WAT'}","{'h': '1', 'a': '2'}","{'h': '1.50811', 'a': '1.25817'}",2017-09-23 15:00:00,"{'w': 0.4306815675396781, 'd': 0.25231279451860206, 'l': 0.31700563784566516}",l,Swansea,2017,EPL
7183,True,a,"{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'id': '84', 'title': 'Swansea', 'short_title': 'SWA'}","{'h': '1', 'a': '0'}","{'h': '0.692185', 'a': '0.178568'}",2017-09-30 15:00:00,"{'w': 0.4411450551243417, 'd': 0.47200156253236747, 'l': 0.08685338234328914}",l,Swansea,2017,EPL
7196,True,h,"{'id': '84', 'title': 'Swansea', 'short_title': 'SWA'}","{'id': '219', 'title': 'Huddersfield', 'short_title': 'HUD'}","{'h': '2', 'a': '0'}","{'h': '1.65446', 'a': '0.596086'}",2017-10-14 15:00:00,"{'w': 0.6317180197742874, 'd': 0.23783001491956238, 'l': 0.13045196499576986}",w,Swansea,2017,EPL
7206,True,h,"{'id': '84', 'title': 'Swansea', 'short_title': 'SWA'}","{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'h': '1', 'a': '2'}","{'h': '0.559618', 'a': '1.80814'}",2017-10-21 15:00:00,"{'w': 0.10814274004372376, 'd': 0.21534875470372625, 'l': 0.6765085042330341}",l,Swansea,2017,EPL
7209,True,a,"{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'id': '84', 'title': 'Swansea', 'short_title': 'SWA'}","{'h': '2', 'a': '1'}","{'h': '2.37777', 'a': '0.8355'}",2017-10-28 15:00:00,"{'w': 0.716486911024244, 'd': 0.1697653050717486, 'l': 0.11374774738485711}",l,Swansea,2017,EPL
7225,True,h,"{'id': '84', 'title': 'Swansea', 'short_title': 'SWA'}","{'id': '220', 'title': 'Brighton', 'short_title': 'BRI'}","{'h': '0', 'a': '1'}","{'h': '1.24557', 'a': '0.874927'}",2017-11-04 15:00:00,"{'w': 0.4486473177460288, 'd': 0.29095603563341643, 'l': 0.2603966466140807}",l,Swansea,2017,EPL
7233,True,a,"{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}","{'id': '84', 'title': 'Swansea', 'short_title': 'SWA'}","{'h': '2', 'a': '0'}","{'h': '1.5427', 'a': '0.431402'}",2017-11-18 15:00:00,"{'w': 0.6514469462837968, 'd': 0.24788263354750353, 'l': 0.10067042004806125}",l,Swansea,2017,EPL
7240,True,h,"{'id': '84', 'title': 'Swansea', 'short_title': 'SWA'}","{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'h': '0', 'a': '0'}","{'h': '0.879594', 'a': '0.449075'}",2017-11-25 15:00:00,"{'w': 0.4404137057458724, 'd': 0.3802331022136935, 'l': 0.17935319204038516}",d,Swansea,2017,EPL
7255,True,a,"{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'id': '84', 'title': 'Swansea', 'short_title': 'SWA'}","{'h': '1', 'a': '0'}","{'h': '2.30012', 'a': '0.0411427'}",2017-11-29 19:45:00,"{'w': 0.8902383177006996, 'd': 0.10552803641789407, 'l': 0.004233622028608717}",l,Swansea,2017,EPL
7263,True,a,"{'id': '85', 'title': 'Stoke', 'short_title': 'STO'}","{'id': '84', 'title': 'Swansea', 'short_title': 'SWA'}","{'h': '2', 'a': '1'}","{'h': '1.24743', 'a': '0.320601'}",2017-12-02 15:00:00,"{'w': 0.6047625910790786, 'd': 0.300537135465035, 'l': 0.09470027344932364}",l,Swansea,2017,EPL
7271,True,h,"{'id': '84', 'title': 'Swansea', 'short_title': 'SWA'}","{'id': '76', 'title': 'West Bromwich Albion', 'short_title': 'WBA'}","{'h': '1', 'a': '0'}","{'h': '1.01101', 'a': '0.25228'}",2017-12-09 15:00:00,"{'w': 0.5489749104866458, 'd': 0.3595633087363179, 'l': 0.09146178077668642}",w,Swansea,2017,EPL
7281,True,h,"{'id': '84', 'title': 'Swansea', 'short_title': 'SWA'}","{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'h': '0', 'a': '4'}","{'h': '0.589496', 'a': '3.56828'}",2017-12-13 19:45:00,"{'w': 0.029198135102500127, 'd': 0.07047184473159851, 'l': 0.9003246705158955}",l,Swansea,2017,EPL
7293,True,a,"{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'id': '84', 'title': 'Swansea', 'short_title': 'SWA'}","{'h': '3', 'a': '1'}","{'h': '2.01756', 'a': '0.766224'}",2017-12-18 20:00:00,"{'w': 0.6664050851877596, 'd': 0.2012675507768951, 'l': 0.13232735969318798}",l,Swansea,2017,EPL
7299,True,h,"{'id': '84', 'title': 'Swansea', 'short_title': 'SWA'}","{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'h': '1', 'a': '1'}","{'h': '0.546613', 'a': '1.25546'}",2017-12-23 15:00:00,"{'w': 0.1617416750206826, 'd': 0.29912548055289606, 'l': 0.5391328444192494}",d,Swansea,2017,EPL
