id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
9204,True,a,"{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}","{'h': '0', 'a': '0'}","{'h': '1.01994', 'a': '1.40827'}",2018-08-12 15:30:00,"{'w': 0.27274951711959844, 'd': 0.2683119719959536, 'l': 0.4589385108492212}",d,Burnley,2018,EPL
9214,True,h,"{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}","{'id': '90', 'title': 'Watford', 'short_title': 'WAT'}","{'h': '1', 'a': '3'}","{'h': '0.392642', 'a': '1.9171'}",2018-08-19 15:30:00,"{'w': 0.06670941168281343, 'd': 0.1893209841060163, 'l': 0.7439696019952448}",l,Burnley,2018,EPL
9220,True,a,"{'id': '228', 'title': 'Fulham', 'short_title': 'FLH'}","{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}","{'h': '4', 'a': '2'}","{'h': '1.92459', 'a': '1.56882'}",2018-08-26 17:00:00,"{'w': 0.4628780217491345, 'd': 0.21965796370799875, 'l': 0.31746401205832103}",l,Burnley,2018,EPL
9232,True,h,"{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}","{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'h': '0', 'a': '2'}","{'h': '1.09923', 'a': '2.90359'}",2018-09-02 15:00:00,"{'w': 0.11413228099576933, 'd': 0.14331785959653373, 'l': 0.7425494103580669}",l,Burnley,2018,EPL
9244,True,a,"{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}","{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}","{'h': '1', 'a': '0'}","{'h': '3.3916', 'a': '0.208994'}",2018-09-16 12:30:00,"{'w': 0.9408350793414675, 'd': 0.0503762019868568, 'l': 0.008785778692778629}",l,Burnley,2018,EPL
9253,True,h,"{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}","{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'h': '4', 'a': '0'}","{'h': '2.29417', 'a': '0.976413'}",2018-09-22 14:00:00,"{'w': 0.669457965122972, 'd': 0.18439988488095893, 'l': 0.1461421269249086}",w,Burnley,2018,EPL
9265,True,a,"{'id': '227', 'title': 'Cardiff', 'short_title': 'CAR'}","{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}","{'h': '1', 'a': '2'}","{'h': '1.56707', 'a': '0.111527'}",2018-09-30 15:00:00,"{'w': 0.755329005012276, 'd': 0.22070723403965453, 'l': 0.023963760798883724}",w,Burnley,2018,EPL
9272,True,h,"{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}","{'id': '219', 'title': 'Huddersfield', 'short_title': 'HUD'}","{'h': '1', 'a': '1'}","{'h': '0.353128', 'a': '1.02549'}",2018-10-06 14:00:00,"{'w': 0.12597470655303072, 'd': 0.35175562905415136, 'l': 0.5222696643923909}",d,Burnley,2018,EPL
9281,True,a,"{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}","{'h': '5', 'a': '0'}","{'h': '4.48577', 'a': '0.370236'}",2018-10-20 14:00:00,"{'w': 0.96571838474323, 'd': 0.0271708689278439, 'l': 0.007039579995053496}",l,Burnley,2018,EPL
9295,True,h,"{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}","{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'h': '0', 'a': '4'}","{'h': '0.269828', 'a': '3.01621'}",2018-10-28 12:30:00,"{'w': 0.016725539819918114, 'd': 0.07462434145940314, 'l': 0.9086494027174993}",l,Burnley,2018,EPL
9298,True,a,"{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}","{'h': '4', 'a': '2'}","{'h': '2.55739', 'a': '0.882514'}",2018-11-03 15:00:00,"{'w': 0.7353721140439737, 'd': 0.15710278608436515, 'l': 0.10752500771067498}",l,Burnley,2018,EPL
9310,True,a,"{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}","{'h': '0', 'a': '0'}","{'h': '1.5091', 'a': '0.368393'}",2018-11-10 15:00:00,"{'w': 0.6618212980999952, 'd': 0.2505932745223964, 'l': 0.08758542728814796}",d,Burnley,2018,EPL
9326,True,h,"{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}","{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'h': '1', 'a': '2'}","{'h': '1.49487', 'a': '1.67701'}",2018-11-26 20:00:00,"{'w': 0.34376974990688103, 'd': 0.23442835064570347, 'l': 0.4218018989964091}",l,Burnley,2018,EPL
9333,True,a,"{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}","{'h': '2', 'a': '0'}","{'h': '2.03785', 'a': '0.302477'}",2018-12-01 15:00:00,"{'w': 0.7895326054139554, 'd': 0.16545154950980412, 'l': 0.045015840125179674}",l,Burnley,2018,EPL
9343,True,h,"{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}","{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'h': '1', 'a': '3'}","{'h': '1.05809', 'a': '2.73897'}",2018-12-05 19:45:00,"{'w': 0.12070615406087928, 'd': 0.15283369359308915, 'l': 0.7264599344264172}",l,Burnley,2018,EPL
9354,True,h,"{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}","{'id': '220', 'title': 'Brighton', 'short_title': 'BRI'}","{'h': '1', 'a': '0'}","{'h': '1.81251', 'a': '0.951507'}",2018-12-08 15:00:00,"{'w': 0.5761903666509559, 'd': 0.2286483055490188, 'l': 0.19516132674705938}",w,Burnley,2018,EPL
9359,True,a,"{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}","{'h': '1', 'a': '0'}","{'h': '1.74625', 'a': '0.451196'}",2018-12-15 15:00:00,"{'w': 0.6930306722069659, 'd': 0.2174379916250554, 'l': 0.08953133552746598}",l,Burnley,2018,EPL
9376,True,a,"{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}","{'h': '3', 'a': '1'}","{'h': '1.4656', 'a': '1.03237'}",2018-12-22 12:30:00,"{'w': 0.47119832934192696, 'd': 0.2624864669800563, 'l': 0.26631520361747146}",l,Burnley,2018,EPL
9385,True,h,"{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}","{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'h': '1', 'a': '5'}","{'h': '1.88646', 'a': '1.8875'}",2018-12-26 15:00:00,"{'w': 0.3929406398195394, 'd': 0.21370660487477558, 'l': 0.39335275171154677}",l,Burnley,2018,EPL
9395,True,h,"{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}","{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'h': '2', 'a': '0'}","{'h': '2.89884', 'a': '0.656044'}",2018-12-30 14:15:00,"{'w': 0.8282336675783221, 'd': 0.11495439690074112, 'l': 0.05681149543490533}",w,Burnley,2018,EPL
9401,True,a,"{'id': '219', 'title': 'Huddersfield', 'short_title': 'HUD'}","{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}","{'h': '1', 'a': '2'}","{'h': '0.621818', 'a': '2.66309'}",2019-01-02 19:45:00,"{'w': 0.06343927906507008, 'd': 0.1303653005387153, 'l': 0.8061952669995224}",w,Burnley,2018,EPL
9415,True,h,"{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}","{'id': '228', 'title': 'Fulham', 'short_title': 'FLH'}","{'h': '2', 'a': '1'}","{'h': '0.809801', 'a': '0.903255'}",2019-01-12 15:00:00,"{'w': 0.3047782753733077, 'd': 0.33837649467175257, 'l': 0.35684522995485296}",w,Burnley,2018,EPL
9418,True,a,"{'id': '90', 'title': 'Watford', 'short_title': 'WAT'}","{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}","{'h': '0', 'a': '0'}","{'h': '1.06981', 'a': '1.97256'}",2019-01-19 15:00:00,"{'w': 0.2008975905935985, 'd': 0.21580315529300562, 'l': 0.5832992508846158}",d,Burnley,2018,EPL
9432,True,a,"{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}","{'h': '2', 'a': '2'}","{'h': '3.23417', 'a': '0.934603'}",2019-01-29 20:00:00,"{'w': 0.8154154833494, 'd': 0.1119796924964644, 'l': 0.0726031573331933}",d,Burnley,2018,EPL
9445,True,h,"{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}","{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'h': '1', 'a': '1'}","{'h': '2.00175', 'a': '0.787747'}",2019-02-02 15:00:00,"{'w': 0.6578371269820775, 'd': 0.20395103058876388, 'l': 0.13821183851317279}",d,Burnley,2018,EPL
9449,True,a,"{'id': '220', 'title': 'Brighton', 'short_title': 'BRI'}","{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}","{'h': '1', 'a': '3'}","{'h': '1.31614', 'a': '1.83041'}",2019-02-09 17:30:00,"{'w': 0.27617360789083123, 'd': 0.2284544949975684, 'l': 0.49537189589796277}",w,Burnley,2018,EPL
9464,True,h,"{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}","{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'h': '2', 'a': '1'}","{'h': '1.08514', 'a': '0.845211'}",2019-02-23 12:30:00,"{'w': 0.40757660382481226, 'd': 0.3119851762766856, 'l': 0.2804382198975307}",w,Burnley,2018,EPL
9473,True,a,"{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}","{'h': '2', 'a': '0'}","{'h': '1.70312', 'a': '1.74201'}",2019-02-26 20:00:00,"{'w': 0.3796013132375529, 'd': 0.22472999765383883, 'l': 0.3956686880303944}",l,Burnley,2018,EPL
9484,True,h,"{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}","{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'h': '1', 'a': '3'}","{'h': '1.90872', 'a': '0.706284'}",2019-03-02 15:00:00,"{'w': 0.6591959200031771, 'd': 0.21047005280938375, 'l': 0.13033402509620365}",l,Burnley,2018,EPL
9490,True,a,"{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}","{'h': '4', 'a': '2'}","{'h': '4.12341', 'a': '0.471571'}",2019-03-10 12:00:00,"{'w': 0.9448089386684545, 'd': 0.04163017283851583, 'l': 0.013532822888236264}",l,Burnley,2018,EPL
9504,True,h,"{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}","{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'h': '1', 'a': '2'}","{'h': '1.17008', 'a': '0.608954'}",2019-03-16 15:00:00,"{'w': 0.49544078452145784, 'd': 0.3122747887685483, 'l': 0.1922844267072931}",l,Burnley,2018,EPL
9515,True,h,"{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}","{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}","{'h': '2', 'a': '0'}","{'h': '0.572695', 'a': '0.397928'}",2019-03-30 15:00:00,"{'w': 0.3241768016688615, 'd': 0.4702280393180484, 'l': 0.20559515901308978}",w,Burnley,2018,EPL
