id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
9201,True,h,"{'id': '228', 'title': 'Fulham', 'short_title': 'FLH'}","{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'h': '0', 'a': '2'}","{'h': '0.638076', 'a': '1.07816'}",2018-08-11 17:00:00,"{'w': 0.2155034913938197, 'd': 0.326358297929237, 'l': 0.4581382106760806}",l,Fulham,2018,EPL
9209,True,a,"{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'id': '228', 'title': 'Fulham', 'short_title': 'FLH'}","{'h': '3', 'a': '1'}","{'h': '3.26713', 'a': '1.44253'}",2018-08-18 17:00:00,"{'w': 0.7288350593108605, 'd': 0.1370546831943996, 'l': 0.13410837504410406}",l,Fulham,2018,EPL
9220,True,h,"{'id': '228', 'title': 'Fulham', 'short_title': 'FLH'}","{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}","{'h': '4', 'a': '2'}","{'h': '1.92459', 'a': '1.56882'}",2018-08-26 17:00:00,"{'w': 0.4628780217491345, 'd': 0.21965796370799875, 'l': 0.31746401205832103}",w,Fulham,2018,EPL
9233,True,a,"{'id': '220', 'title': 'Brighton', 'short_title': 'BRI'}","{'id': '228', 'title': 'Fulham', 'short_title': 'FLH'}","{'h': '2', 'a': '2'}","{'h': '2.68216', 'a': '1.51555'}",2018-09-01 14:00:00,"{'w': 0.6237043080394817, 'd': 0.17468196938287248, 'l': 0.2016135547486454}",d,Fulham,2018,EPL
9239,True,a,"{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'id': '228', 'title': 'Fulham', 'short_title': 'FLH'}","{'h': '3', 'a': '0'}","{'h': '4.91621', 'a': '0.342698'}",2018-09-15 14:00:00,"{'w': 0.9770434509946113, 'd': 0.018422949861091227, 'l': 0.004344012547745681}",l,Fulham,2018,EPL
9247,True,h,"{'id': '228', 'title': 'Fulham', 'short_title': 'FLH'}","{'id': '90', 'title': 'Watford', 'short_title': 'WAT'}","{'h': '1', 'a': '1'}","{'h': '1.77245', 'a': '1.76133'}",2018-09-22 11:30:00,"{'w': 0.3914642060043363, 'd': 0.22161303419985054, 'l': 0.38692275829574374}",d,Fulham,2018,EPL
9262,True,a,"{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'id': '228', 'title': 'Fulham', 'short_title': 'FLH'}","{'h': '3', 'a': '0'}","{'h': '2.31538', 'a': '0.536317'}",2018-09-29 14:00:00,"{'w': 0.7757323618645557, 'd': 0.15503774094223652, 'l': 0.06922987122379078}",l,Fulham,2018,EPL
9274,True,h,"{'id': '228', 'title': 'Fulham', 'short_title': 'FLH'}","{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'h': '1', 'a': '5'}","{'h': '1.31588', 'a': '1.13706'}",2018-10-07 11:00:00,"{'w': 0.40704058634121854, 'd': 0.27173267211307695, 'l': 0.32122674153017294}",l,Fulham,2018,EPL
9282,True,a,"{'id': '227', 'title': 'Cardiff', 'short_title': 'CAR'}","{'id': '228', 'title': 'Fulham', 'short_title': 'FLH'}","{'h': '4', 'a': '2'}","{'h': '1.7562', 'a': '0.947712'}",2018-10-20 14:00:00,"{'w': 0.5640919271642383, 'd': 0.23424918011389695, 'l': 0.20165889203065906}",l,Fulham,2018,EPL
9289,True,h,"{'id': '228', 'title': 'Fulham', 'short_title': 'FLH'}","{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'h': '0', 'a': '3'}","{'h': '0.383833', 'a': '2.10555'}",2018-10-27 14:00:00,"{'w': 0.05554694112811599, 'd': 0.16483516970655288, 'l': 0.7796178815748831}",l,Fulham,2018,EPL
9306,True,a,"{'id': '219', 'title': 'Huddersfield', 'short_title': 'HUD'}","{'id': '228', 'title': 'Fulham', 'short_title': 'FLH'}","{'h': '1', 'a': '0'}","{'h': '0.51433', 'a': '0.354166'}",2018-11-05 20:00:00,"{'w': 0.30637552421298037, 'd': 0.49956430800422924, 'l': 0.19406016778279025}",l,Fulham,2018,EPL
9313,True,a,"{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'id': '228', 'title': 'Fulham', 'short_title': 'FLH'}","{'h': '2', 'a': '0'}","{'h': '2.22417', 'a': '0.571301'}",2018-11-11 12:00:00,"{'w': 0.7526719314935362, 'd': 0.16713616919128443, 'l': 0.0801918838471028}",l,Fulham,2018,EPL
9320,True,h,"{'id': '228', 'title': 'Fulham', 'short_title': 'FLH'}","{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'h': '3', 'a': '2'}","{'h': '1.3875', 'a': '1.67163'}",2018-11-24 15:00:00,"{'w': 0.3193803608124606, 'd': 0.23774377885449538, 'l': 0.4428758599480053}",w,Fulham,2018,EPL
