id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
9200,True,h,"{'id': '219', 'title': 'Huddersfield', 'short_title': 'HUD'}","{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'h': '0', 'a': '3'}","{'h': '0.396115', 'a': '2.31427'}",2018-08-11 17:00:00,"{'w': 0.048372098664190226, 'd': 0.1429645698171994, 'l': 0.8086633057087279}",l,Huddersfield,2018,EPL
9213,True,a,"{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'id': '219', 'title': 'Huddersfield', 'short_title': 'HUD'}","{'h': '6', 'a': '1'}","{'h': '4.60356', 'a': '0.663731'}",2018-08-19 15:30:00,"{'w': 0.9464344521684128, 'd': 0.0379261477293494, 'l': 0.015545170585963539}",l,Huddersfield,2018,EPL
9219,True,h,"{'id': '219', 'title': 'Huddersfield', 'short_title': 'HUD'}","{'id': '227', 'title': 'Cardiff', 'short_title': 'CAR'}","{'h': '0', 'a': '0'}","{'h': '0.203453', 'a': '1.06351'}",2018-08-25 17:00:00,"{'w': 0.0704387264971764, 'd': 0.34601269842749605, 'l': 0.5835485750746155}",d,Huddersfield,2018,EPL
9229,True,a,"{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'id': '219', 'title': 'Huddersfield', 'short_title': 'HUD'}","{'h': '1', 'a': '1'}","{'h': '0.616013', 'a': '0.660035'}",2018-09-01 14:00:00,"{'w': 0.2839638835975985, 'd': 0.4047042651821053, 'l': 0.31133185122029516}",d,Huddersfield,2018,EPL
9240,True,h,"{'id': '219', 'title': 'Huddersfield', 'short_title': 'HUD'}","{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'h': '0', 'a': '1'}","{'h': '0.87744', 'a': '0.746631'}",2018-09-15 14:00:00,"{'w': 0.36270108395494294, 'd': 0.3489678519850523, 'l': 0.28833106405995274}",l,Huddersfield,2018,EPL
9250,True,a,"{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'id': '219', 'title': 'Huddersfield', 'short_title': 'HUD'}","{'h': '3', 'a': '1'}","{'h': '1.80404', 'a': '0.688176'}",2018-09-22 14:00:00,"{'w': 0.6412785659063148, 'd': 0.2220639136648077, 'l': 0.1366575194397242}",l,Huddersfield,2018,EPL
9261,True,h,"{'id': '219', 'title': 'Huddersfield', 'short_title': 'HUD'}","{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'h': '0', 'a': '2'}","{'h': '0.339245', 'a': '2.33733'}",2018-09-29 14:00:00,"{'w': 0.0396056838701322, 'd': 0.13516598145395084, 'l': 0.825228305361749}",l,Huddersfield,2018,EPL
9272,True,a,"{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}","{'id': '219', 'title': 'Huddersfield', 'short_title': 'HUD'}","{'h': '1', 'a': '1'}","{'h': '0.353128', 'a': '1.02549'}",2018-10-06 14:00:00,"{'w': 0.12597470655303072, 'd': 0.35175562905415136, 'l': 0.5222696643923909}",d,Huddersfield,2018,EPL
9284,True,h,"{'id': '219', 'title': 'Huddersfield', 'short_title': 'HUD'}","{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'h': '0', 'a': '1'}","{'h': '0.638341', 'a': '0.663819'}",2018-10-20 16:30:00,"{'w': 0.2921479022956885, 'd': 0.39997565364746407, 'l': 0.307876444056846}",l,Huddersfield,2018,EPL
9291,True,a,"{'id': '90', 'title': 'Watford', 'short_title': 'WAT'}","{'id': '219', 'title': 'Huddersfield', 'short_title': 'HUD'}","{'h': '3', 'a': '0'}","{'h': '2.29622', 'a': '0.479655'}",2018-10-27 14:00:00,"{'w': 0.7862020095015588, 'd': 0.15227650276137855, 'l': 0.061521464399411065}",l,Huddersfield,2018,EPL
9306,True,h,"{'id': '219', 'title': 'Huddersfield', 'short_title': 'HUD'}","{'id': '228', 'title': 'Fulham', 'short_title': 'FLH'}","{'h': '1', 'a': '0'}","{'h': '0.51433', 'a': '0.354166'}",2018-11-05 20:00:00,"{'w': 0.30637552421298037, 'd': 0.49956430800422924, 'l': 0.19406016778279025}",w,Huddersfield,2018,EPL
9311,True,h,"{'id': '219', 'title': 'Huddersfield', 'short_title': 'HUD'}","{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'h': '1', 'a': '1'}","{'h': '1.17524', 'a': '1.44113'}",2018-11-10 15:00:00,"{'w': 0.3079638684211618, 'd': 0.2601982405604089, 'l': 0.4318378909678142}",d,Huddersfield,2018,EPL
9325,True,a,"{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}","{'id': '219', 'title': 'Huddersfield', 'short_title': 'HUD'}","{'h': '0', 'a': '2'}","{'h': '0.701036', 'a': '0.627281'}",2018-11-25 16:00:00,"{'w': 0.3251638347875771, 'd': 0.3948724039443623, 'l': 0.2799637612680584}",w,Huddersfield,2018,EPL
9332,True,h,"{'id': '219', 'title': 'Huddersfield', 'short_title': 'HUD'}","{'id': '220', 'title': 'Brighton', 'short_title': 'BRI'}","{'h': '1', 'a': '2'}","{'h': '0.558083', 'a': '1.67998'}",2018-12-01 15:00:00,"{'w': 0.1190674850482812, 'd': 0.23270158222872514, 'l': 0.6482309323416728}",l,Huddersfield,2018,EPL
9338,True,a,"{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'id': '219', 'title': 'Huddersfield', 'short_title': 'HUD'}","{'h': '2', 'a': '1'}","{'h': '1.07393', 'a': '1.5631'}",2018-12-04 19:45:00,"{'w': 0.2609435260980291, 'd': 0.25260358670814653, 'l': 0.48645288704885914}",l,Huddersfield,2018,EPL
9356,True,a,"{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'id': '219', 'title': 'Huddersfield', 'short_title': 'HUD'}","{'h': '1', 'a': '0'}","{'h': '2.02156', 'a': '0.308361'}",2018-12-08 15:00:00,"{'w': 0.785262552955744, 'd': 0.16809318651956454, 'l': 0.046644256068208476}",l,Huddersfield,2018,EPL
