id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
9205,True,h,"{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'h': '4', 'a': '0'}","{'h': '4.34421', 'a': '0.404253'}",2018-08-12 15:30:00,"{'w': 0.9589215883107116, 'd': 0.032020352981077124, 'l': 0.009007958728614558}",w,Liverpool,2018,EPL
9216,True,a,"{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'h': '0', 'a': '2'}","{'h': '0.368608', 'a': '2.82183'}",2018-08-20 22:00:00,"{'w': 0.028936424301754377, 'd': 0.09646483257548327, 'l': 0.8745984275426923}",w,Liverpool,2018,EPL
9223,True,h,"{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'id': '220', 'title': 'Brighton', 'short_title': 'BRI'}","{'h': '1', 'a': '0'}","{'h': '1.81412', 'a': '0.535616'}",2018-08-25 19:30:00,"{'w': 0.6843036236030057, 'd': 0.2131873630511434, 'l': 0.1025090122805155}",w,Liverpool,2018,EPL
9227,True,a,"{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'h': '1', 'a': '2'}","{'h': '0.981217', 'a': '1.22722'}",2018-09-01 11:30:00,"{'w': 0.2944762454771793, 'd': 0.28775641150291165, 'l': 0.4177673430144452}",w,Liverpool,2018,EPL
9237,True,a,"{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'h': '1', 'a': '2'}","{'h': '0.788168', 'a': '3.01015'}",2018-09-15 11:30:00,"{'w': 0.06699979896647734, 'd': 0.11677564159487207, 'l': 0.8162238608060963}",w,Liverpool,2018,EPL
9249,True,h,"{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'h': '3', 'a': '0'}","{'h': '1.77893', 'a': '0.310467'}",2018-09-22 14:00:00,"{'w': 0.7398839385746367, 'd': 0.20215273961, 'l': 0.05796332099481688}",w,Liverpool,2018,EPL
9264,True,a,"{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'h': '1', 'a': '1'}","{'h': '1.77638', 'a': '1.74071'}",2018-09-29 16:30:00,"{'w': 0.3962163268490627, 'd': 0.22216607997468216, 'l': 0.38161759175740906}",d,Liverpool,2018,EPL
9276,True,h,"{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'h': '0', 'a': '0'}","{'h': '0.433994', 'a': '1.07481'}",2018-10-07 15:30:00,"{'w': 0.14822126121715526, 'd': 0.3370167609716945, 'l': 0.514761977810325}",d,Liverpool,2018,EPL
9284,True,a,"{'id': '219', 'title': 'Huddersfield', 'short_title': 'HUD'}","{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'h': '0', 'a': '1'}","{'h': '0.638341', 'a': '0.663819'}",2018-10-20 16:30:00,"{'w': 0.2921479022956885, 'd': 0.39997565364746407, 'l': 0.307876444056846}",w,Liverpool,2018,EPL
9288,True,h,"{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'id': '227', 'title': 'Cardiff', 'short_title': 'CAR'}","{'h': '4', 'a': '1'}","{'h': '2.30176', 'a': '0.643117'}",2018-10-27 14:00:00,"{'w': 0.7483652297644429, 'd': 0.164511050658585, 'l': 0.08712369550447645}",w,Liverpool,2018,EPL
9303,True,a,"{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'h': '1', 'a': '1'}","{'h': '1.62321', 'a': '1.19558'}",2018-11-03 17:30:00,"{'w': 0.4732787382440335, 'd': 0.2453909017928049, 'l': 0.2813303597194633}",d,Liverpool,2018,EPL
9313,True,h,"{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'id': '228', 'title': 'Fulham', 'short_title': 'FLH'}","{'h': '2', 'a': '0'}","{'h': '2.22417', 'a': '0.571301'}",2018-11-11 12:00:00,"{'w': 0.7526719314935362, 'd': 0.16713616919128443, 'l': 0.0801918838471028}",w,Liverpool,2018,EPL
9318,True,a,"{'id': '90', 'title': 'Watford', 'short_title': 'WAT'}","{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'h': '0', 'a': '3'}","{'h': '0.673382', 'a': '1.45314'}",2018-11-24 15:00:00,"{'w': 0.17268049138160368, 'd': 0.2677877281003333, 'l': 0.5595317804645901}",w,Liverpool,2018,EPL
9330,True,h,"{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'h': '1', 'a': '0'}","{'h': '3.07574', 'a': '1.23014'}",2018-12-02 16:15:00,"{'w': 0.7416132289462769, 'd': 0.13870482655015753, 'l': 0.11968103601823911}",w,Liverpool,2018,EPL
9343,True,a,"{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}","{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'h': '1', 'a': '3'}","{'h': '1.05809', 'a': '2.73897'}",2018-12-05 19:45:00,"{'w': 0.12070615406087928, 'd': 0.15283369359308915, 'l': 0.7264599344264172}",w,Liverpool,2018,EPL
9355,True,a,"{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'h': '0', 'a': '4'}","{'h': '0.279142', 'a': '1.80619'}",2018-12-08 12:30:00,"{'w': 0.050453859618121065, 'd': 0.1952724022696473, 'l': 0.7542737371072619}",w,Liverpool,2018,EPL
9362,True,h,"{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'h': '3', 'a': '1'}","{'h': '2.60435', 'a': '0.658049'}",2018-12-16 16:00:00,"{'w': 0.790668980781203, 'd': 0.13801770813589054, 'l': 0.07131319515986506}",w,Liverpool,2018,EPL
9367,True,a,"{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}","{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'h': '0', 'a': '2'}","{'h': '0.763821', 'a': '2.16356'}",2018-12-21 20:00:00,"{'w': 0.11872678652421918, 'd': 0.18601628281523866, 'l': 0.6952569198485414}",w,Liverpool,2018,EPL
9381,True,h,"{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'h': '4', 'a': '0'}","{'h': '3.24988', 'a': '0.456309'}",2018-12-26 15:00:00,"{'w': 0.8964791824043583, 'd': 0.07696219594472566, 'l': 0.026556855003432862}",w,Liverpool,2018,EPL
9391,True,h,"{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'h': '5', 'a': '1'}","{'h': '3.7053', 'a': '1.08186'}",2018-12-29 17:30:00,"{'w': 0.8399375694647877, 'd': 0.09456490495405633, 'l': 0.0654892288821041}",w,Liverpool,2018,EPL
9400,True,a,"{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'h': '2', 'a': '1'}","{'h': '1.00357', 'a': '1.3801'}",2019-01-03 20:00:00,"{'w': 0.27319365379182386, 'd': 0.2715778463674039, 'l': 0.4552284998140485}",l,Liverpool,2018,EPL
9416,True,a,"{'id': '220', 'title': 'Brighton', 'short_title': 'BRI'}","{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'h': '0', 'a': '1'}","{'h': '0.384198', 'a': '2.2665'}",2019-01-12 15:00:00,"{'w': 0.048584891745618974, 'd': 0.14683266949849072, 'l': 0.8045824190236142}",w,Liverpool,2018,EPL
9422,True,h,"{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'h': '4', 'a': '3'}","{'h': '2.8299', 'a': '0.695213'}",2019-01-19 15:00:00,"{'w': 0.812433261250826, 'd': 0.12293950182787196, 'l': 0.06462690998213583}",w,Liverpool,2018,EPL
9436,True,h,"{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'h': '1', 'a': '1'}","{'h': '0.576336', 'a': '1.1272'}",2019-01-30 20:00:00,"{'w': 0.18811139675632763, 'd': 0.3209504820100092, 'l': 0.49093812123205754}",d,Liverpool,2018,EPL
9437,True,a,"{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'h': '1', 'a': '1'}","{'h': '0.791319', 'a': '1.12475'}",2019-02-04 20:00:00,"{'w': 0.25643830514731836, 'd': 0.3103811779051775, 'l': 0.4331805169459362}",d,Liverpool,2018,EPL
9455,True,h,"{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'h': '3', 'a': '0'}","{'h': '2.53003', 'a': '0.390995'}",2019-02-09 15:00:00,"{'w': 0.8383396105010102, 'd': 0.12189955724513828, 'l': 0.039760751808941106}",w,Liverpool,2018,EPL
9459,True,a,"{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'h': '0', 'a': '0'}","{'h': '0.474869', 'a': '0.380519'}",2019-02-24 14:05:00,"{'w': 0.2805230227384389, 'd': 0.5054762905619298, 'l': 0.21400068669963085}",d,Liverpool,2018,EPL
9476,True,h,"{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'id': '90', 'title': 'Watford', 'short_title': 'WAT'}","{'h': '5', 'a': '0'}","{'h': '2.74266', 'a': '0.630423'}",2019-02-27 20:00:00,"{'w': 0.8145723484988914, 'd': 0.12467828683887339, 'l': 0.06074914305675964}",w,Liverpool,2018,EPL
9483,True,a,"{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'h': '0', 'a': '0'}","{'h': '0.241879', 'a': '0.811272'}",2019-03-03 16:15:00,"{'w': 0.10473681226185654, 'd': 0.42072117042667717, 'l': 0.4745420173114508}",d,Liverpool,2018,EPL
9490,True,h,"{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}","{'h': '4', 'a': '2'}","{'h': '4.12341', 'a': '0.471571'}",2019-03-10 12:00:00,"{'w': 0.9448089386684545, 'd': 0.04163017283851583, 'l': 0.013532822888236264}",w,Liverpool,2018,EPL
9502,True,a,"{'id': '228', 'title': 'Fulham', 'short_title': 'FLH'}","{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'h': '1', 'a': '2'}","{'h': '0.915765', 'a': '2.73437'}",2019-03-17 14:15:00,"{'w': 0.09983249749448735, 'd': 0.14509730800700027, 'l': 0.7550699810974985}",w,Liverpool,2018,EPL
9510,True,h,"{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'h': '2', 'a': '1'}","{'h': '1.0931', 'a': '1.04822'}",2019-03-31 15:30:00,"{'w': 0.3634364603888794, 'd': 0.29597565468309245, 'l': 0.3405878849264014}",w,Liverpool,2018,EPL
9520,True,a,"{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'h': '1', 'a': '3'}","{'h': '0.718394', 'a': '2.00654'}",2019-04-05 20:00:00,"{'w': 0.12374804820887873, 'd': 0.20006702753666356, 'l': 0.6761849202135805}",w,Liverpool,2018,EPL
9531,True,h,"{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'h': '2', 'a': '0'}","{'h': '1.30839', 'a': '0.873177'}",2019-04-14 16:30:00,"{'w': 0.4671307255149315, 'd': 0.2836596323234758, 'l': 0.249209642148867}",w,Liverpool,2018,EPL
9544,True,a,"{'id': '227', 'title': 'Cardiff', 'short_title': 'CAR'}","{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'h': '0', 'a': '2'}","{'h': '1.1187', 'a': '2.42404'}",2019-04-21 16:00:00,"{'w': 0.1591276126950529, 'd': 0.17965126851079508, 'l': 0.6612210720817867}",w,Liverpool,2018,EPL
9551,True,h,"{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'id': '219', 'title': 'Huddersfield', 'short_title': 'HUD'}","{'h': '5', 'a': '0'}","{'h': '3.58922', 'a': '0.1624'}",2019-04-26 20:00:00,"{'w': 0.9552679446859289, 'd': 0.03929407833769502, 'l': 0.00543224833038491}",w,Liverpool,2018,EPL
9559,True,a,"{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'h': '2', 'a': '3'}","{'h': '1.29707', 'a': '1.48081'}",2019-05-04 18:45:00,"{'w': 0.33187185278782644, 'd': 0.2527448416507227, 'l': 0.41538330548104896}",w,Liverpool,2018,EPL
9571,True,h,"{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}","{'h': '2', 'a': '0'}","{'h': '1.70197', 'a': '0.883861'}",2019-05-12 14:00:00,"{'w': 0.5671792116700228, 'd': 0.2391118488172987, 'l': 0.1937089390585651}",w,Liverpool,2018,EPL
