id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,team,season,league
770,Ayoze Pérez,37,2950,12,8.294695003889501,2,4.0325940903276205,55,45,2,0,F M S,Newcastle United,12,8.294695003889501,15.605246301740408,5.627834742888808,Newcastle United,2018,EPL
813,Salomón Rondón,32,2616,11,10.63538501597941,7,3.4131863601505756,89,32,1,0,F S,Newcastle United,11,10.63538501597941,15.463678646832705,4.218267355114222,Newcastle United,2018,EPL
76,Fabian Schär,24,2007,4,2.1653389893472195,1,0.7358659468591213,25,11,12,0,D S,Newcastle United,4,2.1653389893472195,5.651491337455809,4.65700698364526,Newcastle United,2018,EPL
875,Ciaran Clark,11,850,3,0.46525671146810055,0,0.052879698574543,7,2,1,0,D S,Newcastle United,3,0.46525671146810055,1.9674739316105843,1.6370069235563278,Newcastle United,2018,EPL
461,Matt Ritchie,36,2965,2,4.438610089942813,8,5.112595105543733,41,60,9,0,D M S,Newcastle United,1,2.9162715887650847,10.178969887085259,4.69108683988452,Newcastle United,2018,EPL
866,Joselu,16,565,2,1.805323009379208,0,0.012054899707436562,17,2,1,0,F S,Newcastle United,2,1.805323009379208,2.326708705164492,0.7505005151033401,Newcastle United,2018,EPL
47,Yoshinori Muto,17,512,1,1.0190250873565674,0,0.31324220448732376,6,5,1,0,F M S,Newcastle United,1,1.0190250873565674,1.3042729999870062,0.7278854101896286,Newcastle United,2018,EPL
689,Kenedy,25,1347,1,2.407705088146031,1,0.8153685946017504,31,11,1,0,D M S,Newcastle United,1,1.646536116488278,4.687828887254,2.716439800336957,Newcastle United,2018,EPL
727,DeAndre Yedlin,29,2476,1,1.1860909033566713,2,2.1516155572608113,11,28,6,1,D S,Newcastle United,1,1.1860909033566713,6.88816512003541,4.478997932747006,Newcastle United,2018,EPL
769,Jonjo Shelvey,16,932,1,0.7167933150194585,1,1.8579730316996574,23,25,1,0,M S,Newcastle United,1,0.7167933150194585,3.268730702344328,1.9959057094529271,Newcastle United,2018,EPL
2344,Christian Atsu,28,1464,1,2.1465520886704326,0,1.7553911916911602,28,18,2,0,M S,Newcastle United,1,2.1465520886704326,5.759218544699252,2.516271322965622,Newcastle United,2018,EPL
6062,Isaac Hayden,25,1865,1,0.8647690005600452,4,2.4501220830716193,22,22,3,1,D M S,Newcastle United,1,0.8647690005600452,5.393953524529934,2.8308156207203865,Newcastle United,2018,EPL
7078,Sean Longstaff,9,694,1,0.753583425655961,0,0.5980704165995121,8,5,2,0,M S,Newcastle United,1,0.753583425655961,2.932642356492579,2.1394783705472946,Newcastle United,2018,EPL
708,Federico Fernández,19,1486,0,0.08289749920368195,1,0.4301623059436679,4,5,2,0,D S,Newcastle United,0,0.08289749920368195,2.922757290303707,2.6451697051525116,Newcastle United,2018,EPL
723,Ki Sung-yueng,18,1302,0,0.15218030009418726,1,1.0775400139391422,8,16,2,0,M S,Newcastle United,0,0.15218030009418726,3.2162829311564565,3.0649863574653864,Newcastle United,2018,EPL
766,Jamaal Lascelles,32,2751,0,0.3995888289064169,1,1.2035105116665363,11,3,4,0,D,Newcastle United,0,0.3995888289064169,3.302876438945532,3.2938694320619106,Newcastle United,2018,EPL
853,Paul Dummett,26,1976,0,0.28301640413701534,0,0.35097829811275005,9,4,1,0,D S,Newcastle United,0,0.28301640413701534,3.7821312323212624,3.462332950439304,Newcastle United,2018,EPL
1181,Antonio Barreca,1,3,0,0,0,0,0,0,0,0,S,Newcastle United,0,0,0,0,Newcastle United,2018,EPL
1719,Javier Manquillo,18,1098,0,0.0830365028232336,3,0.6845879955217242,2,8,2,0,D S,Newcastle United,0,0.0830365028232336,2.6393714547157288,1.9537235535681248,Newcastle United,2018,EPL
4471,Mohamed Diamé,29,2172,0,1.0539293810725212,0,0.1333967000246048,20,2,3,0,M S,Newcastle United,0,1.0539293810725212,5.13216845318675,4.3882328337058425,Newcastle United,2018,EPL
5073,Florian Lejeune,12,1057,0,0.27656339574605227,0,0.2914360947906971,7,6,0,0,D,Newcastle United,0,0.27656339574605227,2.3515912909060717,2.2786528896540403,Newcastle United,2018,EPL
6063,Jacob Murphy,9,293,0,0.03307679947465658,1,0.6086339950561523,2,1,0,0,M S,Newcastle United,0,0.03307679947465658,0.6417107945308089,0,Newcastle United,2018,EPL
6532,Martin Dubravka,38,3420,0,0,0,0,0,0,1,0,GK,Newcastle United,0,0,3.691717497073114,3.691717497073114,Newcastle United,2018,EPL
7420,Miguel Almirón,10,774,0,1.5924233999103308,0,0.6939392052590847,19,13,0,0,F M S,Newcastle United,0,1.5924233999103308,3.5701114013791084,1.5125924311578274,Newcastle United,2018,EPL
