id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
9199,True,h,"{'id': '90', 'title': 'Watford', 'short_title': 'WAT'}","{'id': '220', 'title': 'Brighton', 'short_title': 'BRI'}","{'h': '2', 'a': '0'}","{'h': '1.42372', 'a': '0.45504'}",2018-08-11 17:00:00,"{'w': 0.6137264618279298, 'd': 0.2689901513519874, 'l': 0.11728338677964471}",w,Watford,2018,EPL
9214,True,a,"{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}","{'id': '90', 'title': 'Watford', 'short_title': 'WAT'}","{'h': '1', 'a': '3'}","{'h': '0.392642', 'a': '1.9171'}",2018-08-19 15:30:00,"{'w': 0.06670941168281343, 'd': 0.1893209841060163, 'l': 0.7439696019952448}",w,Watford,2018,EPL
9224,True,h,"{'id': '90', 'title': 'Watford', 'short_title': 'WAT'}","{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'h': '2', 'a': '1'}","{'h': '1.14596', 'a': '1.21905'}",2018-08-26 15:30:00,"{'w': 0.3427635579247194, 'd': 0.2788010984350402, 'l': 0.3784353436334479}",w,Watford,2018,EPL
9236,True,h,"{'id': '90', 'title': 'Watford', 'short_title': 'WAT'}","{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'h': '2', 'a': '1'}","{'h': '0.454309', 'a': '0.582521'}",2018-09-02 15:00:00,"{'w': 0.2299382622111631, 'd': 0.4548077118765603, 'l': 0.3152540259122761}",w,Watford,2018,EPL
9243,True,h,"{'id': '90', 'title': 'Watford', 'short_title': 'WAT'}","{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'h': '1', 'a': '2'}","{'h': '1.17523', 'a': '1.64902'}",2018-09-15 16:30:00,"{'w': 0.2720946218836463, 'd': 0.24367993990551082, 'l': 0.48422543791105294}",l,Watford,2018,EPL
9247,True,a,"{'id': '228', 'title': 'Fulham', 'short_title': 'FLH'}","{'id': '90', 'title': 'Watford', 'short_title': 'WAT'}","{'h': '1', 'a': '1'}","{'h': '1.77245', 'a': '1.76133'}",2018-09-22 11:30:00,"{'w': 0.3914642060043363, 'd': 0.22161303419985054, 'l': 0.38692275829574374}",d,Watford,2018,EPL
9263,True,a,"{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'id': '90', 'title': 'Watford', 'short_title': 'WAT'}","{'h': '2', 'a': '0'}","{'h': '1.57061', 'a': '2.62141'}",2018-09-29 14:00:00,"{'w': 0.2184759495280864, 'd': 0.1796507994774186, 'l': 0.6018731249962392}",l,Watford,2018,EPL
9268,True,h,"{'id': '90', 'title': 'Watford', 'short_title': 'WAT'}","{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'h': '0', 'a': '4'}","{'h': '1.06613', 'a': '3.28471'}",2018-10-06 14:00:00,"{'w': 0.08494544438139746, 'd': 0.11686647889991285, 'l': 0.7981860694005235}",l,Watford,2018,EPL
9278,True,a,"{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}","{'id': '90', 'title': 'Watford', 'short_title': 'WAT'}","{'h': '0', 'a': '2'}","{'h': '0.47391', 'a': '1.0684'}",2018-10-20 14:00:00,"{'w': 0.16246775089472393, 'd': 0.3366869918661327, 'l': 0.5008452572383845}",w,Watford,2018,EPL
9291,True,h,"{'id': '90', 'title': 'Watford', 'short_title': 'WAT'}","{'id': '219', 'title': 'Huddersfield', 'short_title': 'HUD'}","{'h': '3', 'a': '0'}","{'h': '2.29622', 'a': '0.479655'}",2018-10-27 14:00:00,"{'w': 0.7862020095015588, 'd': 0.15227650276137855, 'l': 0.061521464399411065}",w,Watford,2018,EPL
