id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
9205,True,a,"{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'h': '4', 'a': '0'}","{'h': '4.34421', 'a': '0.404253'}",2018-08-12 15:30:00,"{'w': 0.9589215883107116, 'd': 0.032020352981077124, 'l': 0.009007958728614558}",l,West Ham,2018,EPL
9208,True,h,"{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'h': '1', 'a': '2'}","{'h': '1.10275', 'a': '1.69077'}",2018-08-18 17:00:00,"{'w': 0.24792113403515595, 'd': 0.24092026610191178, 'l': 0.5111585994461907}",l,West Ham,2018,EPL
9222,True,a,"{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'h': '3', 'a': '1'}","{'h': '1.7852', 'a': '1.17924'}",2018-08-25 17:00:00,"{'w': 0.5157380512395204, 'd': 0.23263842953235017, 'l': 0.25162351836513874}",l,West Ham,2018,EPL
9228,True,h,"{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}","{'h': '0', 'a': '1'}","{'h': '0.888887', 'a': '1.22301'}",2018-09-01 14:00:00,"{'w': 0.2684336903146749, 'd': 0.29293613997136947, 'l': 0.4386301697089077}",l,West Ham,2018,EPL
9245,True,a,"{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'h': '1', 'a': '3'}","{'h': '1.26774', 'a': '1.52437'}",2018-09-16 15:00:00,"{'w': 0.31645929362896014, 'd': 0.25085567904972556, 'l': 0.4326850272105363}",w,West Ham,2018,EPL
9255,True,h,"{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'h': '0', 'a': '0'}","{'h': '1.0177', 'a': '1.88344'}",2018-09-23 12:30:00,"{'w': 0.20093215557143812, 'd': 0.2229328809960197, 'l': 0.5761349616792476}",d,West Ham,2018,EPL
9257,True,h,"{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'h': '3', 'a': '1'}","{'h': '1.3029', 'a': '0.865739'}",2018-09-29 11:30:00,"{'w': 0.46743065563362185, 'd': 0.2845588340317565, 'l': 0.24801051032261473}",w,West Ham,2018,EPL
9267,True,a,"{'id': '220', 'title': 'Brighton', 'short_title': 'BRI'}","{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'h': '1', 'a': '0'}","{'h': '1.02566', 'a': '1.43652'}",2018-10-05 19:00:00,"{'w': 0.26944857780328174, 'd': 0.2654331404522657, 'l': 0.465118281698324}",l,West Ham,2018,EPL
9279,True,h,"{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'h': '0', 'a': '1'}","{'h': '0.544268', 'a': '1.11777'}",2018-10-20 14:00:00,"{'w': 0.1790954917131359, 'd': 0.32398084336044886, 'l': 0.4969236649249876}",l,West Ham,2018,EPL
9293,True,a,"{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'h': '1', 'a': '1'}","{'h': '1.95344', 'a': '1.56009'}",2018-10-27 16:30:00,"{'w': 0.470982702218743, 'd': 0.21823214750105085, 'l': 0.3107851473005134}",d,West Ham,2018,EPL
