id,isResult,side,h,a,goals,xG,datetime,forecast,result,team,season,league
11647,True,h,"{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'h': '0', 'a': '0'}","{'h': '0.87159', 'a': '1.2246'}",2019-08-10 15:00:00,"{'w': 0.26308048039121357, 'd': 0.29357745630138543, 'l': 0.4433420633022764}",d,Crystal Palace,2019,EPL
11660,True,a,"{'id': '238', 'title': 'Sheffield United', 'short_title': 'SHE'}","{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'h': '1', 'a': '0'}","{'h': '1.84778', 'a': '0.241912'}",2019-08-18 14:00:00,"{'w': 0.7727989786198157, 'd': 0.18552648470450686, 'l': 0.04167453531533999}",l,Crystal Palace,2019,EPL
11669,True,a,"{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'h': '1', 'a': '2'}","{'h': '2.23561', 'a': '0.676993'}",2019-08-24 15:00:00,"{'w': 0.7291315176890407, 'd': 0.17344235366229652, 'l': 0.09742611211982716}",w,Crystal Palace,2019,EPL
11676,True,h,"{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}","{'h': '1', 'a': '0'}","{'h': '1.41394', 'a': '0.30354'}",2019-08-31 15:00:00,"{'w': 0.6571894974868273, 'd': 0.2652366697498857, 'l': 0.07757383272648717}",w,Crystal Palace,2019,EPL
11687,True,a,"{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'h': '4', 'a': '0'}","{'h': '1.04944', 'a': '0.577323'}",2019-09-14 14:00:00,"{'w': 0.46516510429391306, 'd': 0.33495660619421425, 'l': 0.19987828951128167}",l,Crystal Palace,2019,EPL
11697,True,h,"{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}","{'h': '1', 'a': '1'}","{'h': '0.984777', 'a': '1.75572'}",2019-09-22 13:00:00,"{'w': 0.21041479521915477, 'd': 0.23469741734684985, 'l': 0.5548877867452084}",d,Crystal Palace,2019,EPL
11709,True,h,"{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'id': '79', 'title': 'Norwich', 'short_title': 'NOR'}","{'h': '2', 'a': '0'}","{'h': '1.80497', 'a': '0.712129'}",2019-09-28 14:00:00,"{'w': 0.635200611958434, 'd': 0.22290723657599473, 'l': 0.14189215046960357}",w,Crystal Palace,2019,EPL
11720,True,a,"{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'h': '1', 'a': '2'}","{'h': '1.23577', 'a': '2.0682'}",2019-10-05 17:30:00,"{'w': 0.2237565002355371, 'd': 0.2106812557824197, 'l': 0.5655622379680104}",w,Crystal Palace,2019,EPL
11726,True,h,"{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'h': '0', 'a': '2'}","{'h': '0.616864', 'a': '4.02104'}",2019-10-19 17:30:00,"{'w': 0.021861983785762717, 'd': 0.0533759235001927, 'l': 0.9247409427180661}",l,Crystal Palace,2019,EPL
11733,True,a,"{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'h': '2', 'a': '2'}","{'h': '1.54014', 'a': '1.77892'}",2019-10-27 16:30:00,"{'w': 0.3359962655844822, 'd': 0.22787130468792371, 'l': 0.4361324287891577}",d,Crystal Palace,2019,EPL
